,,Ville,Type du bien,Disponibilité,État du bien,Revenu cadastral,Toilette,Cave,Type de chauffage,Référence,Année de construction,Chambres,Cuisine,Salle de bain,Totale habitable,Living,Chambre 1,PEB Label,PEB Code unique,E-Spec,E Total,Emission CO2,Jardin,Terrain,Chambre 2,Terrasse,Chambre 3,Chambre 4,Chambre 5,Prix,Garage,Salle à manger,Parking
0,4045413,Liege,Commerce,Vendu,Bon état,1 311 €,1,Oui,Gaz,,,,,,,,,,,,,,,,,,,,,,,,
1,109 000 €,Liege,Appartement,Vendu,à rafraîchir,696 €,1,Oui,Gaz,4226044,1975,1,3.88 m2,2.98 m2,50 m2,26.17 m2,10.57 m2,,20201215016442,160 kWh/m²/an,9101 kWh/an,30 Co2,,,,,,,,,,,
2,109 000 €,Liege,Appartement,Vendu,à rafraîchir,765 €,1,Oui,Gaz,2021367,1967,1,6.15 m2,,50 m2,20.26 m2,12.44 m2,,20210512008398,298 kWh/m²/an,16601 kWh/an,59 Co2,,,,,,,,,,,
3,4337874,Liege,Appartement,Vendu,Bon état,431 €,1,Oui,Gaz,,,1,4.1 m2,1,30 m2,16.12 m2,,,20201008013343,142 kWh/m²/an,4748 kWh/an,26 Co2,,,,,,,,,,,
4,109 000 €,Liege,Maison,Vendu,Bon état,270 €,1,Oui,Gaz (chau. centr.),4076658,,2,1,1,53 m2,17.55 m2,10.93 m2,,20171102000146,163 kWh/m²/an,11317 kWh/an,30 Co2,35 m2,30 m2,16.96 m2,,,,,,,,
5,109 000 €,Seraing,Maison,À vendre,Bon état,183 €,1,Oui,Electrique,2021364,,1,5.35 m2,1,63 m2,17.69 m2,20.98 m2,,20210406011043,657 kWh/m²/an,35608 kWh/an,14 Co2,,70 m2,,,,,,,,,
6,115 000 €,Liege,Appartement,Vendu,Bon état,686 €,1,Oui,Gaz,2021383,1973,1,4.9 m2,3.79 m2,54 m2,20.66 m2,12.17 m2,,20210629025635,153 kWh/m²/an,8670 kWh/an,29 Co2,,,,,,,,,,,
7,2020320,Liege,Appartement,Vendu,Bon état,832 €,1,Oui,Gaz,,1969,1,4.76 m2,3 m2,57 m2,24.96 m2,15.01 m2,,20200915021984,158 kWh/m²/an,10932 kWh/an,33 Co2,,,,,,,,,,,
8,119 000 €,Seraing,Maison,Vendu,à rénover,413 €,1,Oui,Poêle à mazout,2020311,1936,2,12.55 m2,1,90 m2,14.19 m2,12.64 m2,,20200621018695,349 kWh/m²/an,35484 kWh/an,85 Co2,72 m2,138 m2,13.11 m2,,,,,,,,
9,119 000 €,Waremme,Maison,Vendu,à rafraîchir,567 €,2,Oui,Mazout (chauf. centr.),2020303,,2,6.09 m2,1,102 m2,22.62 m2,10.29 m2,,20200603014827,419 kWh/m²/an,42010 kWh/an,105 Co2,Oui,,15.87 m2,1,,,,,,,
