,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Toilettes,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Prix,Immeuble de rapport,Surface de la chambre 5,Cave,Grenier,Surface du jardin,Orientation du jardin,Terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accès sécurisé / alarme,Piscine,Jardin,Panneaux photovoltaïques,Panneaux solaires,Revenu cadastral,Nombre de façades,Type d’environnement,Salles de bains,Adresse,Site internet,Quartier ou lieu-dit,Année de construction,Largeur de la façade à rue,Salle à manger,Salles de douche,Bureau,Porte blindée,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Largeur du terrain à rue,Accessible aux personnes avec un handicap,Surface constructible totale au sol,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Parlophone,Référence externe,Combien de feux ouverts ?,Surface de bureau,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Chauffe-eau commun,Type de construction,Obligation de construire,Buanderie,Disponible le,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Niveau E (performance énergétique globale),Nom de l'agent,Salon,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Description libre du PEB,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Charges mensuelles
0,À définir,Bon,1,1,110 m²,42 m²,Équipée,15 m²,4,22 m²,16 m²,16 m²,18 m²,Non,2,Non,728 m²,Connecté,Oui,30 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Oui,415.000 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À définir,Bon,1,1,700 m²,39 m²,Équipée,20 m²,10,24 m²,19 m²,12 m²,78 m²,10 m²,4,Oui,50000 m²,Connecté,Oui,50000 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Oui,1.350.000 €,Oui,"Chaussée de Bruxelles 2
1470 - Genappe",Non,Oui,Non,Sud,Oui,Sud,Oui,Non,Non,Non,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,À définir,Excellent état,1,,170 m²,31 m²,Hyper équipée,13 m²,5,12 m²,12 m²,25 m²,25 m²,Non,2,Oui,Connecté,,Oui,4 m²,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Oui,295.000 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",,Non,,,,,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,À définir,Bon,1,1,Équipée,,,5,,Non,,,,,1,Non,Connecté,,Oui,Oui,,C,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Oui,545.000 €,2.087 €,"Chaussée de Bruxelles 2
1470 - Genappe",,,,,Oui,Sud,Non,Non,Non,Oui,Non communiqué,Sud,Oui,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,À définir,Excellent état,1,,109 m²,33 m²,Hyper équipée,10 m²,2,16 m²,28 m²,Non,,,1,Non,Connecté,,Oui,Oui,Sud,C,20210618016370,Non communiqué,Non communiqué,Non,,Oui,270.000 €,Non,"Chaussée de Bruxelles 2
1470 - Genappe",,,,,7 m²,,227 kWh/m²,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,À la livraison,Excellent état,,2,,200 m²,,,,5,,,,,,,,497 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,440.000 €,,,,,,,,,,,,,,,,,4,"Zone d'habitat (résidentiel, urbain ou rural)",2,"Rue Campagne du Moulin 7
4470 - St-Georges-sur-Meuse",M. Mariani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,À rénover,1,3,,200 m²,40 m²,,12 m²,6,17 m²,9 m²,9 m²,14 m²,Non,3,Non,2000 m²,Non connecté,Oui,30 m²,309 kWh/m²,D,20180306020531,77 kg CO₂/m²,74196 kWh/an,Mazout,,Oui,445.000 €,Non,12 m²,,,2000 m²,,,Sud,,,,,,,,2.297 €,4,Pays,2,"Avenue de Wisterzée 48 b17
1490 - Court-Saint-Etienne",68,Brabant wallon centre,1976,16 m,Oui,1,Oui,Non,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,Excellent état,2,4,,230 m²,37 m²,Hyper équipée,12 m²,4,11 m²,14 m²,16 m²,36 m²,,2,Non,1860 m²,Connecté,Non,50 m²,428 kWh/m²,F,20210630015103,Non communiqué,87355 kWh/an,Mazout,,Oui,Faire offre à partir de 445.000 €,Non,,Oui,Oui,,,,,,Non,Oui,Non,,,,736 €,4,Pays,1,"Grand Place 2
1470 - Genappe",4399584,Genappe,1850,14 m,,1,,,,,Non,Non,Non,17.5 m,Non,145 m²,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,1,4,,188 m²,48 m²,,,3,,,,,,2,Non,1380 m²,,,20 m²,112 kWh/m²,B,20200206511640,Non communiqué,26452 kWh/an,Gaz,Non,Non,495.000 €,Non,,,,700 m²,Sud-ouest,,,,,,,,Non,Non,1.653 €,4,,1,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6810 - 1470,,2019,,,1,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,À rénover,1,,,,13 m²,Équipée,9 m²,2,14 m²,15 m²,,,,2,Non,243 m²,Connecté,Oui,,149 kWh/m²,B,2011201019819,Non communiqué,9563 kWh/an,Gaz,,Oui,Faire offre à partir de 275.000 €,Oui,,,,150 m²,,,,,Non,,,,,,512 €,2,Urbain,2,"Grand Place 2
1470 - Genappe",4442440,Genappe,1900,,Oui,2,,,,,Non,Non,Non,5.85 m,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
