,À partir de,État du bâtiment,Nombre de façades,Salon,Salle à manger,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Grenier,Surface du terrain,Raccordement à l'égout,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Nom de l'agent,Surface habitable,Meublé,Attestation as-built,Type de chauffage,Double vitrage,Site internet,Parkings intérieurs,Largeur du terrain à rue,Surface du jardin,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Pompe à chaleur,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Type d’environnement,Combien de feux ouverts ?,Parkings extérieurs,Visite virtuelle,Surface du salon,Salles de douche,Surface de la terrasse,"Eau, gaz & électricité",Type de zone inondable,Jardin,Orientation du jardin,Année de construction,Largeur de la façade à rue,Surface de la cuisine,Surface de la chambre 5,Surface constructible totale au sol,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Dressing,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Buanderie,Surface de la cave,Surface du grenier,Concierge,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Lieu de la vente,Séance unique,Modalités de visite,Attestation de conformité des citernes à mazout,Droit d'achat prioritaire possible,Mise à prix,Surface de bureau,Permis de bâtir obtenu,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Durée maximale de la rente,Informations supplémentaires,Quartier ou lieu-dit,Disponible le,Isolé,Surface de l'espace professionnel,Obligation de construire,Niveau E (performance énergétique globale)
0,Après la signature de l’acte,Bon,2,Oui,Oui,Équipée,2,1,1,Oui,Oui,104 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Faire offre à partir de 205.000 €,458 €,Non,"Rue des Frcres Taymans, 34
1480 - TUBIZE",Vanessa POZZAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,À rafraîchir,3,,,Équipée,3,1,,Oui,,364 m²,,Oui,318 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,275.000 €,562 €,Non,"Rue de Bruxelles 295 A
1480 - Tubize",,185 m²,Non,Non,Gaz,Oui,4287 - 87459843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,Bon,3,,,Équipée,3,1,1,Oui,,230 m²,,,350 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,280.000 €,,Non,"Rue De Mons 46
1480 - Tubize",,140 m²,Non,Non,Gaz,Oui,2874 - 2342,1,10 m,90 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,À rénover,,,,,4,,,,,,,,501 kWh/m²,F,202106090152218,Non communiqué,88163 kWh/an,Faire offre à partir de 165.000 €,466 €,Non,"Rue des Frcres Taymans, 34
1480 - TUBIZE",Sylvie LECOCQ,,,,Gaz,,,,,,12 m²,20 m²,9 m²,16 m²,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,À rénover,,,,,3,,,,,,,,627 kWh/m²,G,20210616007896,Non communiqué,72721 kWh/an,Faire offre à partir de 250.000 €,634 €,Non,"Rue des Frcres Taymans, 34
1480 - TUBIZE",Sylvie LECOCQ,,,,Gaz,Oui,,,,,15 m²,13 m²,6 m²,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)","Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Excellent état,2,,,Équipée,4,1,2,Oui,,,,Oui,253 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,299.000 €,,Non,"Rue de Bruxelles 295 A
1480 - Tubize",,160 m²,Non,Non,Gaz,Oui,4485 - 87459885,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,À rénover,2,,,,18 m²,1,,,,45 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Faire offre à partir de 120.000 €,187 €,Non,"Rue du Virginal 83
7090 - Hennuyères",4521599,,65 m²,70 m²,,,,,2,,,16 m²,12 m²,1,,,,,,,,1,165 m²,3,Non,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Selon le locataire,À rafraîchir,3,,,Semi-équipée,2,1,1,,Oui,460 m²,Connecté,,532 kWh/m²,G,20210322027775,Non communiqué,66121 kWh/an,200.000 €,,Non,"Rue de Bruxelles 27
1480 - Tubize",,,Non,,Mazout,,4531076,1,,,,,,,,,,,,,3,,,1,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,Fraîchement rénové,3,,,Équipée,3,1,,,,440 m²,,Oui,Non communiqué,E,Non communiqué,Non communiqué,Non communiqué,350.000 €,,Non,"Rue de Bruxelles 295 A
1480 - Tubize",,140 m²,Non,Non,Gaz,Oui,4493 - 87459908,1,,,,,,,,,,,,,1,,,,,,,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,À rafraîchir,2,,,Semi-équipée,4,,2,Oui,,,,,352 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,215.000 €,,Non,"Rue de Bruxelles 295 A
1480 - Tubize",,120 m²,Non,Non,Gaz,Oui,4358 - 87459871,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
