,État du bâtiment,Nombre de façades,Chambres,Bureau,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Année de construction,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Surface de bureau,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Salon,Cave,Terrasse,Nom de l'agent,Surface de la cave,Niveau E (performance énergétique globale),Référence externe,Salles de douche,Grenier,Quartier ou lieu-dit,Dressing,Buanderie,Surface du grenier,Disponible le,Largeur du terrain à rue,Attestation as-built,Surface constructible totale au sol,Visite virtuelle,Isolé,Attestation de conformité des citernes à mazout,Jardin,Nombre d'annexes,Obligation de construire,Combien de feux ouverts ?,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Surface de l'espace professionnel,Nom du bien,Description libre du PEB,Pourcentage loué,Revenu mensuel actuel
0,Bon,2,3,Non,Non,Non,127 m²,Non connecté,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,338.000 €,1.804 €,Oui,"Basiliekstraat 136
1500 - Halle",4929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,Non connecté,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,325.000 €,803 €,Non,"Basiliekstraat 136
1500 - Halle",4667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bon,3,5,Oui,Non,Non,359 m²,Connecté,Oui,Non communiqué,Non communiqué,20210920-0002466341-RES-1,152 kg CO₂/m²,Non communiqué,Oui,395.000 €,1.722 €,Non,,,Après la signature de l’acte,1986,7 m,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",178 m²,25 m²,Oui,Équipée,19 m²,14 m²,13 m²,11 m²,24 m²,8 m²,1,2,11 m²,Oui,Oui,Non,Non,Non,210 m²,Sud-ouest,30 m²,Sud-ouest,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Gaz,Non,Oui,Non,Non,Oui,Maison bel-étage,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,À rafraîchir,2,3,,,,108 m²,,,420 kWh/m²,E,2347418-1 en 2347414-1,Non communiqué,Non communiqué,Oui,290.000 €,1.425 €,,"Albertstraat 1
1500 - Halle",,Après la signature de l’acte,1900,,,,Urbain,146 m²,,Oui,Équipée,,,,,,,2,2,,,,,,,,,,,,,,Oui,,,,,,,,Gaz,,,,,,,,,,Zone non inondable,,Oui,Oui,Oui,Wim Destryker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,À rafraîchir,4,3,Oui,Non,Non,706 m²,Non connecté,Non,288 kWh/m²,C,20210928-0002470091-RES-1,Non communiqué,Non communiqué,Oui,240.000 €,585 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",,,1899,,,,,90 m²,,,Équipée,13 m²,,,,,,1,,6 m²,Oui,,,,,,,,,,,,,,,,,,,,Électrique,Non,Non,Non,Non,,,Non,Non,Non,Zone non inondable,Zone agricole,,,Oui,,6 m²,288,363,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bon,2,3,,Non,,254 m²,Connecté,Oui,178 kWh/m²,B,20210803-0002447525-RES-1,Non communiqué,Non communiqué,Oui,399.000 €,882 €,Non,"Claesplein 18
1502 - Lembeek",4429994,Après la signature de l’acte,1969,,1,,Urbain,120 m²,,,Hyper équipée,,13 m²,14 m²,9 m²,,,1,2,,,,,,,,,,,,Non,,Oui,,,,,,,,Gaz,,,,,,,,,,,,,,Oui,,,,,1,Oui,,,,,,,,,,,,,,,,,,,,,,,,
6,À rafraîchir,2,4,,,,183 m²,,,356 kWh/m²,D,2445751-Res-1,Non communiqué,Non communiqué,Oui,309.000 €,,,"Albertstraat 1
1500 - Halle",,Après la signature de l’acte,1956,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,1,2,,,,,,Oui,,,,,,,,,,,,,,,,Gaz,,,,,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,,,Wim Destryker,,,,,Oui,Don Bosco,,,,,,,,,,,,,,,,,,,,,,,
7,À rafraîchir,2,3,,,,190 m²,Connecté,Oui,745 kWh/m²,F,2440244-Res-1,Non communiqué,Non communiqué,,319.000 €,,,"Albertstraat 1
1500 - Halle",,Après la signature de l’acte,1960,,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,1,2,,,,,,Oui,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Oui,Oui,Destryker Wim,,,,,Oui,St. Rochus,,,,,,,,,,,,,,,,,,,,,,,
8,,2,5,Oui,Non,Non,334 m²,Connecté,Oui,306 kWh/m²,D,202108020002447363-RES-1,Non communiqué,Non communiqué,Oui,485.000 €,1.065 €,Oui,"Alsembergsesteenweg 570
1653 - Dworp",,,1953,,,,,204 m²,,,,20 m²,,,,,,3,,4 m²,Oui,,,,,,,,,,,,,,,,,,,,Gaz,Non,Non,Non,Non,Oui,Immeuble à appartements,Non,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,33 m²,306,356,,,,,,,,,,,,,,,,,,,,,,,,,,
9,À rafraîchir,3,2,,,,350 m²,Connecté,Oui,545 kWh/m²,F,0002446904-Res-1,Non communiqué,Non communiqué,Oui,279.000 €,505 €,,"Albertstraat 1
1500 - Halle",,Après la signature de l’acte,,,1,2,Urbain,,,Oui,Semi-équipée,,,,,,,1,2,,,,,,Oui,,,,,,,,,,,,,,,,Gaz,,,,,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Oui,Oui,Destryker Wim,,,,,Oui,St. Rochus,,,,,,,,,,,,,,,,,,,,,,,
10,Fraîchement rénové,2,3,,,,205 m²,Connecté,Oui,127 kWh/m²,B,20210713-0002441590-RES-1,Non communiqué,Non communiqué,Oui,385.000 €,639 €,Non,"Claesplein 18
1502 - Lembeek",4505641,,1937,,,,Urbain,151 m²,23 m²,Oui,,24 m²,39 m²,21 m²,12 m²,,,1,1,,,,,,,,,,,,,,,,,,,,Oui,,Gaz,,,Oui,,,,,,,Zone non inondable,,,Oui,Oui,,,,,,Oui,Halle,,,,,,,,,,,,,,,,,,,,,,,
11,Fraîchement rénové,2,2,Oui,Non,Non,180 m²,Connecté,Oui,Non communiqué,Non communiqué,202109290002470253RES1,Non communiqué,Non communiqué,Oui,299.000 €,557 €,Non,,,Après la signature de l’acte,1931,4 m,,,,112 m²,17 m²,Oui,Équipée,10 m²,17 m²,18 m²,,,,1,2,10 m²,Oui,Non,Non,Non,Non,110 m²,Sud,22 m²,Sud,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Gaz,Oui,Non,Oui,Non,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,17 m²,126,,,,,Oui,Oui,6 m²,,,,,,,,,,,,,,,,,,,,
