,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Toilettes,Surface de l'espace professionnel,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Dressing,Salles de bains,Bureau,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Permis de bâtir obtenu,Obligation de construire,Surface de la cave,Surface du grenier,Jardin,Orientation du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Salon,Cave,Mise à prix,Parkings intérieurs,Salle à manger,Salles de douche,Surface constructible totale au sol,Buanderie,Surface de bureau,Nom de l'agent,Attestation as-built,Combien de feux ouverts ?,Niveau E (performance énergétique globale),Disponible le,Orientation de la terrasse,Pourcentage loué,Revenu mensuel actuel,Référence externe,Isolé,Climatisation,Jacuzzi,Sauna,Internet,Charges mensuelles,Nombre d'annexes,Nom du bien
0,Après la signature de l’acte,Geraardsbergen,1900,À rénover,15 m,4,1,"Zone d'habitat (résidentiel, urbain ou rural)",338 m²,48 m²,Hyper équipée,45 m²,5,13 m²,14 m²,11 m²,10 m²,13 m²,1,66 m²,Oui,Non,1130 m²,20 m,Connecté,Non,600 m²,Oui,540 kWh/m²,F,2400273,Non communiqué,Non communiqué,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,984 €,Non,"BRUGSTRAAT 31 BUS 4
9500 - Geraardsbergen",4495549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1976,À rafraîchir,10.3 m,3,4,,103 m²,23 m²,Semi-équipée,8 m²,3,10 m²,14 m²,9 m²,,,1,,,Non,411 m²,15.8 m,,,,,341 kWh/m²,D,UC:2461984-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,577 €,Non,"Marktplein 16
1570 - Galmaarden",spir1441,Non,1,Non,Non,Mazout,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,Zone inondable potentielle,,,,Non,"Brusselsestraat 43
9660 - Brakel",Modern nieuwbouwproj,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,Zone inondable potentielle,,,,Non,"Brusselsestraat 43
9660 - Brakel",Pastorij nieuwbouwpr,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,1989,Fraîchement rénové,,4,,,365 m²,57 m²,Hyper équipée,16 m²,3,15 m²,17 m²,26 m²,,,2,,,Non,981 m²,,,,,,262 kWh/m²,C,UC: 2085595-1,Non communiqué,Non communiqué,Oui,Oui,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",615.000 €,1.908 €,Non,"Marktplein 16
1570 - Galmaarden",spir1436,Non,1,Non,Non,Mazout,Non,Oui,Non,60 m²,62 m²,Oui,Est,25 m²,Non,Non,Non,Non,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,,1957,À rénover,8 m,2,,,,,,,3,,,,,,2,,,Non,703 m²,,,Oui,600 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Non,,,229.000 €,,Non,,,Non,1,Non,,,Non,,,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Maison bel-étage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,1956,À rénover,,4,,,,28 m²,Semi-équipée,20 m²,3,12 m²,13 m²,13 m²,,,2,,,Non,223 m²,14.22 m,,,,,498 kWh/m²,E,UC: 2470495-RES1,Non communiqué,Non communiqué,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",165.000 €,708 €,Non,"Marktplein 16
1570 - Galmaarden",spir1453,Non,1,Non,Non,Gaz,Non,Oui,Non,9 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,,1983,Bon,10 m,4,,,,47 m²,Équipée,17 m²,3,15 m²,9 m²,14 m²,,,1,,,Non,1357 m²,15.65 m,,,,,227 kWh/m²,C,UC: 2458361-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,1.232 €,Non,"Marktplein 16
1570 - Galmaarden",spir1438,Non,1,Non,Non,Électrique,Non,Oui,Non,,28 m²,,,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1994,,2,,,Oui,,,,,,,1,,,,,,Oui,,Oui,,304 kWh/m²,,,,,D,20210825-0002455776-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,,,,832 €,,,"Kapellestraat 63/A
1570 - Galmaarden",Annelies VAN HOLEN,,,,Oui,,,,,190.000 €,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
zaterdag 9/10 van 10u-14u; zaterdag 16/10 van 10u-14u",Après la signature de l’acte,3,1,414 m²,Non,,,,,,,,,,,,,,,,,,,,,,,
9,2011,,3,,,1,,,,,1,,Oui,,,,,,,,114 kWh/m²,,B,,,,,,202105090002413157RES1,Non communiqué,Non communiqué,Oui,Non,,Zone non inondable,310.000 €,,1.066 €,,,"Kapellestraat 63/A
1570 - Galmaarden",Annelies VAN HOLEN,,,,Oui,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,Non,"nl :
zat. 18/9 en 25/9 van 10u-12u of na afspraak: 0468/21.67.87 en 0497/83.64.70",Après la signature de l’acte,Oui,Équipée,886 m²,Non,Oui,2,,,,,,,,,,,,,,,,,,,,,
