,État du bâtiment,Largeur de la façade à rue,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de bains,Toilettes,Surface de bureau,Bureau,Surface de la cave,Surface du grenier,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Quartier ou lieu-dit,Parkings intérieurs,Visite virtuelle,Permis de bâtir obtenu,Salles de douche,Cave,Meublé,Surface du terrain,Orientation du jardin,Attestation as-built,Revenu cadastral,Année de construction,Nombre de façades,Salle à manger,Porte blindée,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Salon,Terrasse,Surface constructible totale au sol,Combien de feux ouverts ?,Espace professionnel,Grenier,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Buanderie,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Jardin,Orientation de la terrasse,Référence externe,Obligation de construire,Type d’environnement,Attestation de conformité des citernes à mazout,Nom de l'agent,Isolé,Type de construction,Charges mensuelles,Parkings extérieurs,Pourcentage loué,Revenu mensuel actuel,Surface de l'espace professionnel
0,À rafraîchir,6 m,350 m²,28 m²,Équipée,20 m²,6,28 m²,20 m²,28 m²,12 m²,20 m²,Oui,3,5,12 m²,Oui,80 m²,38 m²,Non,Non,Non,Non,6 m,Non connecté,Oui,20 m²,6 m²,269 kWh/m²,E,20120924-0000116633-01-0,Non communiqué,Non communiqué,Gaz,Oui,750.000 €,Non,"Tramlaan 249
1933 - Sterrebeek",680C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,Immédiatement,30 décembre 2020 - 00:00,Bruxelles,113,33 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bon,,430 m²,,Hyper équipée,,6,,,,,,,1,4,,,,,Non,,,,,,,115 m²,,267 kWh/m²,E,Non communiqué,53 kg CO₂/m²,Non communiqué,Mazout,Oui,850.000 €,Oui,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",8184 - 654657899,Après la signature de l’acte,,,,,,2,Oui,Non,255 m²,Sud-ouest,Non,3.564 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5 m,Oui,,,4,4,,,,,,,Non,,,,,,,,,,,Oui,40 m²,207 kWh/m²,,D,20210623-0000591301-01-8,41 kg CO₂/m²,Non communiqué,207,Non,Non,1.881 €,"Rue Archimède 17
1000 - Bruxelles ville",,,,,,,295 m²,,,,Non,Connecté,,,Oui,1938,2,30 m²,137 m²,Gaz,Non,Non,Non,Oui,Non,Non,Zone non inondable,Autre type de zone,680.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,À rénover,,255 m²,,,,6,,,,,,,1,,,,,,,,,,,Connecté,Oui,,,572 kWh/m²,G,20210827-0000594649-01-4,104 kg CO₂/m²,Non communiqué,Gaz,Oui,539.000 €,Non,"Rue Archimède 17
1000 - Bruxelles ville",,,,,,,,,,Non,100 m²,,,,1938,2,Oui,Non,572,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,Autre type de zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,À rafraîchir,,400 m²,,Équipée,,6,16 m²,16 m²,16 m²,16 m²,,,5,4,,,,,,,,,,Connecté,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,1.075.000 €,Oui,"Chaussée de Waterloo 1382
1180 - Uccle",4342638,À définir,,,,,,,,Non,,,,,1908,2,,,,,,,,,,,,,Oui,Oui,450 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Bon,,300 m²,34 m²,Équipée,,5,,,,,,,1,2,,,,,Non,,,,,,,,16 m²,313 kWh/m²,F,Non communiqué,62 kg CO₂/m²,Non communiqué,Gaz,Oui,475.000 €,Non,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",8182 - 654657923,Après la signature de l’acte,,,,,,1,Oui,Non,,,Non,1.414 €,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Excellent état,,350 m²,,Équipée,,4,,,,,,,1,,,Oui,,,,,,,,,Oui,,,467 kWh/m²,G,20190602-0000550667-01-9,87 kg CO₂/m²,Non communiqué,Gaz,,890.000 €,Non,"Avenue Capouillet 58 A
1410 - Waterloo",,Après la signature de l’acte,,,1,,,,Oui,Non,171 m²,,,2.117 €,,2,Oui,,,,,,,,,,,,Oui,Oui,,1,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,2,,,,,,,277 m²,,,,,,,,,,,,,,,G,20201022-0000577011-01-7,Non communiqué,Non communiqué,"Zone d’hab. ZICHEE, en bordure d’un esp. struct.",,,,"Boulevard Lambermontlaan, 374
1030 - Schaerbeek",Pascale RATLIFF BOURGEON,,4,,,,,,,,,457 kWh/m²,,,Non,,,,,,,,,,,,,,,,,,,,,Non,(àpd. 4/10 jusqu’au 15/11 incl.) : lun. de 13-15h et jeu. de 14-16h. MASQUE OBLIGATOIRE.,Après la signature de l’acte,400.000 €,3.703 €,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,511 kWh/m²,,,,,,,,,,,,,,,,,,,,,,20190325-0000546369-01-7,Non communiqué,Non communiqué,250.000 €,2.369 €,,,,Marie LECLERCQ,,,5,,,,190 m²,,,,,G,,,"Avenue Louise, 213 / 11
1050 - Bruxelles-Quartier Louise",,,,,,,,,,,,,,,,,,,,,Non,(àpd 28/8) : mercr. de 11-13h et sam. de 15-17h.,Après la signature de l’acte,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,Semi-équipée,,4,,,,,,Non,1,3,,Non,,,Non,Non,Non,Non,,,Oui,105 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,598.000 €,Non,,,Après la signature de l’acte,,,,,,2,Oui,Non,370 m²,,,,,2,Oui,Non,,Non,Non,Non,Oui,,,,,,Oui,,,,Non,Oui,,,,,,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,
11,À rénover,,205 m²,,Semi-équipée,,6,,,,,,,,,,,,,,,,,,,,,,490 kWh/m²,G,Non communiqué,98 kg CO₂/m²,Non communiqué,Gaz,,459.000 €,Oui,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4229 - 2135,Après la signature de l’acte,,,,,,,Oui,Non,380 m²,,Non,,1912,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,174 m²,40 m²,Hyper équipée,,3,,,,,,,1,3,,,,,Non,,,,,,,93 m²,20 m²,100 kWh/m²,C,Non communiqué,19 kg CO₂/m²,Non communiqué,Gaz,Oui,485.000 €,Non,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",8112 - 654657864,Après la signature de l’acte,,,,,,2,,Non,,,Non,,1894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,À rénover,,30 m²,Semi-équipée,6,,1,,,,,,,3,Oui,,,,,,,,,,,50 m²,20 m²,350 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Non,490.000 €,,Non,"Rue Victor Hugo 81
1030 - Schaerbeek",1909 - 1948,,,,,,250 m²,,,Non,Oui,,,Gaz,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Fraîchement rénové,,291 m²,,Américaine hyper-équipée,,7,,,,,,,,3,,,,,,,,,,,Oui,,8 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,750.000 €,Non,"Rue Washington 128b
1050 - Bruxelles",8760 - 903,Après la signature de l’acte,,,,,,3,Oui,Non,,,Non,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,372 m²,,Pas équipée,,5,,,,,,,,,,,,,Non,,,,,,,,,395 kWh/m²,G,Non communiqué,78 kg CO₂/m²,Non communiqué,,Oui,640.000 €,Oui,"Place des chasseurs Ardennais 24-26
1030 - Schaerbeek",7790 - 654657596,,,,,,,,Oui,Non,177 m²,,Non,,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
