,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Toilettes,Surface de bureau,Bureau,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Accès sécurisé / alarme,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,À partir de,Site internet,Parkings extérieurs,Salles de douche,Surface du jardin,Surface de la terrasse,Surface constructible totale au sol,Type de zone inondable,Dressing,Espace professionnel,Cave,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Attestation as-built,Attestation de conformité des citernes à mazout,Type de construction,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Grenier,Parlophone,Piscine,Disponible le,Largeur de la façade à rue,Type d’environnement,Visite virtuelle,Surface de la chambre 5,Largeur du terrain à rue,Ascenseur,Accessible aux personnes avec un handicap,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Orientation du jardin,Pompe à chaleur,Panneaux solaires,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Mise à prix,Surface de la cave,Concierge,Interphone vidéo,Panneaux photovoltaïques,Chauffe-eau commun,Procédure pour violation de la réglementation urbanistique,Combien de feux ouverts ?,Buanderie,Salon,Jardin,Nombre d'annexes,Climatisation,Isolé,Nom de l'agent,Revenu mensuel actuel,Surface de l'espace professionnel,Niveau E (performance énergétique globale),Obligation de construire,Jacuzzi,Sauna,Internet,Surface du grenier,Charges mensuelles
0,1987,Bon,4,2,200 m²,37 m²,Oui,Hyper équipée,17 m²,4,23 m²,10 m²,16 m²,16 m²,2,3,21 m²,Oui,Non,Oui,1189 m²,Connecté,Non,Oui,Oui,470 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,669.000 €,3.336 €,Non,"Winderickxplein 25
1652 - Alsemberg",4499928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Rijmenamseweg 83A
2820 - Bonheiden",,À définir,4233044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1960,,3,1,130 m²,47 m²,,,6 m²,3,13 m²,11 m²,8 m²,,1,2,,,Non,Oui,569 m²,Connecté,Oui,,Oui,598 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,450.000 €,1.802 €,Non,"Chaussee de la Hulpe 268
1170 - Watermael-Boitsfort",,Après la signature de l’acte,4297890,1,1,360 m²,6 m²,160 m²,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,À rafraîchir,3,,170 m²,30 m²,Oui,Équipée,,3,30 m²,30 m²,12 m²,,1,,,Non,Non,Non,440 m²,Connecté,Oui,,,576 kWh/m²,F,20210421-0002404726,Non communiqué,Non communiqué,Gaz,Oui,470.000 €,1.199 €,Non,,,Immédiatement,,,,320 m²,20 m²,,,Non,Non,Oui,Oui,Non,Non,Non,Nord-ouest,Non,Non,Toutes sortes,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1993,Bon,4,2,554 m²,,,Américaine hyper-équipée,,4,,,,,4,4,,Oui,Non,,10300 m²,Connecté,,Oui,,179 kWh/m²,B,202000619-0002248007-RES-1,Non communiqué,Non communiqué,,Oui,2.620.000 €,,Non,"Avenue Winston Churchill 228
1180 - Uccle",4290724,Après la signature de l’acte,,8,4,10000 m²,,,,,,Oui,,,,,,,,,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1890,Bon,3,1,50 m²,Équipée,,24 m²,5,30 m²,22 m²,17 m²,12 m²,12 m²,1,14 m²,Oui,Oui,820 m²,,11 m,Oui,600 m²,,Non,C,202109100002462353RES1,Non communiqué,Non communiqué,Gaz,Oui,150 m²,1.921 €,Non,"Avenue Louise 433
1050 - Bruxelles",4499151,,À définir,,2,3,32 m²,Non,Zone non inondable,730.000 €,,,Oui,,,,,,,,,,Non,,221 kWh/m²,28 février 2022 - 00:00,11 m,Isolé,238 m²,2,Connecté,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1998,Bon,3,1,Oui,,Pas équipée,3,,11 m²,11 m²,12 m²,1,,2,Oui,,,305 m²,,Connecté,Non,130 m²,170 kWh/m²,,B,202108300002457802,7292 kg CO₂/m²,Non communiqué,Gaz,Oui,Zone non inondable,1.990 €,Non,"Avenue Reine Astrid 215
1410 - Waterloo",4516216,,Après la signature de l’acte,,3,,Oui,,,495.000 €,,,,,,,,,,,,,Non,,,,,Isolé,200 m²,,,,,Bruxelles Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,,2,2,5,26 m²,,,,18 m²,16 m²,22 m²,15 m²,3,3,Oui,1299 m²,Oui,,,Connecté,Ouest,,,,20210823-0002454731-RES-1,Non communiqué,Non communiqué,Gaz,Non,Non,Non,,"Avenue Brugmann, 480
1180 - Uccle",Maximilien MARCHANT,,,1981,,343 m²,11 m²,333 kWh/m²,,,4.090 €,,,,,,,927 m²,,,,,,,,,,,,31 m²,1,,,,,Non,"Chaque mercredi du 29 septembre au 13 octobre 2021 inclus, de 10h à 12h et chaque samedi du 25 septembre au 9 octobre 2021 inclus, de 16 heures 30 à 18 heures 30. MASQUES ET GEL (NON FOURNIS) OBLIGATOIRES",Après la signature de l’acte,D,Oui,Oui,Non,Zone non inondable,795.000 €,Non,,,,,,,,,,,,,,,,,,,,,,,
8,2002,Bon,4,3,436 m²,40 m²,Oui,Pas équipée,31 m²,4,40 m²,31 m²,28 m²,,2,,,,Non,,2524 m²,,Oui,Oui,,218 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,1.500.000 €,5.418 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",,Après la signature de l’acte,6564 - 3296,2,,,,,Zone inondable potentielle,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1960,Excellent état,4,,176 m²,38 m²,,,24 m²,3,18 m²,17 m²,11 m²,,1,3,22 m²,Oui,Non,Non,1553 m²,Non connecté,Oui,,Oui,260 kWh/m²,C,2016070500018770531,11870 kg CO₂/m²,Non communiqué,Gaz,Oui,1.390.000 €,5.656 €,Non,"Drève Richelle, 118
1410 - Waterloo",,Après la signature de l’acte,3969969,,1,,,227 m²,,Oui,,,Non,Non,Non,Oui,,Non,Non,,,Oui,Oui,Non,,,,,,,Non,Non,,,,,,Non,Non,,Non,Non,,80 m²,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,
