,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Chambres,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Quartier ou lieu-dit,État du bâtiment,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Type de chauffage,Prix,Référence externe,Parkings extérieurs,Salon,Double vitrage,Année de construction,Cave,Grenier,Surface de la terrasse,Porte blindée,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur de la façade à rue,Terrain à front de rue,Largeur du terrain à rue,Informations supplémentaires,Nom de l'agent,Combien de feux ouverts ?,Surface de la chambre 4,Surface de bureau,Bureau,Espace professionnel,Surface de la cave,Surface du grenier,Jardin,Orientation du jardin,Orientation de la terrasse,Attestation as-built,Dressing,Buanderie,Terrain boisé,Terrain arrière,Terrain plat,Surface de la chambre 5,Surface de l'espace professionnel,Surface du jardin,Parlophone,Accès sécurisé / alarme,Surface constructible totale au sol,Visite virtuelle,Concierge,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Type de construction,Isolé,Description libre du PEB,Disponible le,Obligation de construire,Nombre d'annexes,Nom du bien,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
0,Non,"nl :
Het goed zal - zonder voorafgaandelijke afspraak - kunnen bezocht worden op dinsdag 21/09, 28/09, 5/10, 12/10 en 19/10 én donderdag 23/09, 30/09, 7/10 en 14/10, telkens van 10.00 uur tot 12.00 uur.",À définir,2,472 kWh/m²,E,20200215-0002248793-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,100.000 €,607 €,Non,"Beerselsestraat, 63 / 1
1651 - Lot",Alain VAN ROYEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,À définir,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,"Rijmenamseweg 83A
2820 - Bonheiden",4233044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,Après la signature de l’acte,3,530 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,Zone non inondable,,,Non,"Winderickxplein 25
1652 - Alsemberg",,Grand Beersel,À rénover,3,1,Isolé,146 m²,22 m²,Oui,Américaine semi-équipée,6 m²,19 m²,13 m²,8 m²,1,1,2,Non,240 m²,Connecté,Oui,Oui,Non,Oui,Gaz,359.000 €,4411121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,Après la signature de l’acte,3,470 kWh/m²,E,20110327-0000797265-00000007-8,Non communiqué,Non communiqué,,,,,,,Non,"Rue des Chartriers 2
7000 - Mons",4323655,,Bon,4,,,231 m²,,,Équipée,,,,,1,,,Non,1107 m²,Connecté,Non,Oui,,,Mazout,Faire offre à partir de 490.000 €,,5,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,À définir,3,714 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,,,,,748 €,Non,"Winderickxplein 25
1652 - Alsemberg",,,Bon,3,1,Urbain,100 m²,37 m²,,,,14 m²,22 m²,,1,,,,717 m²,Connecté,Oui,,,,Mazout,369.000 €,4506884,,,,1954,Oui,Oui,18 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,2,438 kWh/m²,E,20210617-0002430670-RES-1,Non communiqué,Non communiqué,,Non,Non,Zone non inondable,,290 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",,,À rénover,2,,,86 m²,,Oui,,8 m²,,,,1,,,Non,153 m²,Connecté,Oui,Oui,,,Gaz,199.000 €,339,,,Oui,1874,,,,Non,438,Non,Non,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,Après la signature de l’acte,3,490 kWh/m²,E,20210118-0002361190-RES-1,Non communiqué,Non communiqué,,,,Zone d'inondation reconnue,,495 €,Non,"Poststraat 51
1500 - Halle",,,Bon,2,,"Zone d'habitat (résidentiel, urbain ou rural)",99 m²,28 m²,,Équipée,8 m²,16 m²,14 m²,10 m²,1,,2,,68 m²,Connecté,,,,,Gaz,215.000 €,,,,,1899,Oui,Oui,6 m²,,,Non,,Non,,,,5 m,Oui,5 m,Informations urbanistiques en demande,Bob TEURLINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,Après la signature de l’acte,4,205 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone d'inondation reconnue,,1.416 €,,"Winderickxplein 9
1652 - Alsemberg",,Kanaal - Vaart,Excellent état,3,3,"Zone d'habitat (résidentiel, urbain ou rural)",315 m²,30 m²,Oui,Équipée,,19 m²,22 m²,22 m²,2,,2,,1670 m²,,Oui,,,,Gaz,675.000 €,,5,,Oui,,,,30 m²,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",17.5 m,,,,,1,25 m²,45 m²,Oui,Oui,10 m²,60 m²,Oui,Sud-ouest,Sud-ouest,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,Après la signature de l’acte,3,450 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,,,,589 €,Non,"Postweg 119
1602 - Vlezenbeek",,,À rafraîchir,2,,,125 m²,30 m²,,Équipée,,,,,,1,1,Non,243 m²,,,,,,Gaz,269.000 €,1700 - 6826828,,,Oui,,Oui,,,,,,,,,,,,,,,,,,,,,,,Oui,Ouest,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,3,353 kWh/m²,D,20111007-0000488713-00000008-2,Non communiqué,Non communiqué,,,,,,763 €,Non,"Bergensesteenweg 273
1600 - Sint-Pieters-Leeuw",,,Excellent état,,1,,164 m²,,,,6 m²,12 m²,12 m²,6 m²,,,1,,189 m²,Connecté,Oui,,,,Gaz,349.000 €,Dreef 9,,,Oui,1967,,,,,,,,,,,,,Non,,,,,,,Non,,,,Oui,Est,,,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
