,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Salles de douche,Toilettes,Cave,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Visite virtuelle,Meublé,Porte blindée,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Dressing,Bureau,Largeur du terrain à rue,Attestation de conformité des citernes à mazout,Obligation de construire,Salon,Buanderie,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Jardin,Orientation du jardin,Surface du jardin,Terrasse,Type d’environnement,Surface de bureau,Surface de la cave,Surface du grenier,Accès sécurisé / alarme,Surface de la chambre 5,Espace professionnel,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Combien de feux ouverts ?,Isolé,Surface constructible totale au sol,Grenier,Attestation as-built,Référence externe,Disponible le,Nombre d'annexes,Nom de l'agent,Lieu de la vente,Séance unique,Mise à prix,Modalités de visite,Surface de l'espace professionnel
0,Après la signature de l’acte,Dilbeek,1958,Excellent état,9 m,3,1,3,170 m²,20 m²,Oui,Américaine équipée,7 m²,4,13 m²,11 m²,14 m²,20 m²,1,1,2,Oui,394 m²,Connecté,Oui,475 kWh/m²,E,20200528,Non communiqué,Non communiqué,Gaz,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,1.212 €,Non,"Ninoofsesteenweg 85
1700 - Dilbeek",4411053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1956,Bon,,4,,,Hyper équipée,,,3,,1,,,,,Non,,,,Connecté,Oui,931 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,931,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",895.000 €,3.390 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,590 m²,Non,4433 m²,Mazout,Non,Non,Non,Oui,Non,Non,Zone inondable potentielle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,À rénover,,4,1,1,175 m²,25 m²,Oui,,10 m²,3,30 m²,30 m²,,,2,2,2,,,,,847 kWh/m²,F,202006040002277114RES1,Non communiqué,Non communiqué,Gaz,Oui,,,,415.000 €,,Non,"Boulevard Theo Lambert 94
1070 - Bruxelles",4283616,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,4,,,,,,,,,493 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,Autre type de zone,436.246 €,,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9679,,Non,,,Non,,,,,,,Non,Non,10 m,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,7 m,,1,,143 m²,,,,,3,,,,,1,,2,,493 m²,Connecté,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,498.635 €,,Non,"Burgemeester De Cocklaan 10/1
9320 - Aalst",SDB21092805,,,,,,,,,,,,Non,Non,,,,Oui,Oui,Non,Non,Non,Non,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,1970,Bon,7.5 m,2,2,2,290 m²,,,,,6,,,,,3,,3,,291 m²,,Oui,151 kWh/m²,B,201609120001893765-1,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",665.000 €,2.880 €,Oui,"Prinsenstraat 53
1850 - Grimbergen",,,,,,,,,,,,Non,,,,,,,,,,,,,,75 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Immédiatement,CENTRUM,1900,Excellent état,4.2 m,2,,,90 m²,,,,,1,30 m²,,,,1,,1,,54 m²,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,139.000 €,,,"Itterbeeksebaan, 196
1700 - Dilbeek",,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",30 m²,30 m²,12 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,À définir,,2003,Excellent état,,3,1,1,280 m²,50 m²,,Équipée,,5,18 m²,14 m²,13 m²,12 m²,,2,3,,400 m²,Connecté,Oui,158 kWh/m²,B,20140319-0001556906-00000002-9,Non communiqué,Non communiqué,Gaz,Oui,,,,599.000 €,1.394 €,Non,,,,Non,Non,,Non,Non,Non,Oui,,,,Oui,Oui,,,,,Oui,Non,Non,Oui,Oui,,Sud-ouest,300 m²,,Pays,9 m²,,,Oui,11 m²,Oui,12 m²,Sud-ouest,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,,,,,
8,Après la signature de l’acte,Proximité Berchem-St-Agathe,,À rénover,6.5 m,3,,,18 m²,Oui,4 m²,,3,16 m²,13 m²,1,,,1,,24 m²,,8 m,,,F,20210806-0002448734-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,,,295.000 €,654 €,"Rue Baron Guillaume Van Hamme 6
1180 - Uccle",,,,135 m²,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,135 m²,,,,,,,,,,Oui,Sud-est,754 kWh/m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,255 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,,1952,,,3,1,1,27 m²,Américaine équipée,,7 m²,5,14 m²,11 m²,9 m²,1,,2,,9 m²,,24 m,Oui,Oui,E,2450661,Non communiqué,Non communiqué,Mazout,Oui,Oui,Non,459.000 €,,1.016 €,Non,"Astridlaan 1
1700 - Dilbeek",4445704,,143 m²,1031 m²,,,,,,,Non,Non,Zone non inondable,,,Connecté,,,,,,,,,,,,Non,Isolé,,Non,,,,,,,,Non,Oui,,,,,,490 kWh/m²,,,,,,,,,,,,,,,,
