,État du bâtiment,Salon,Type de cuisine,Chambres,Dressing,Toilettes,Bureau,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO?,Consommation théorique totale d'énergie primaire,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Permis de bâtir obtenu,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Année de construction,Nombre de façades,Visite virtuelle,Surface habitable,Salles de bains,Espace professionnel,Cave,Porte blindée,Raccordement à l'égout,"Eau, gaz & électricité",Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Niveau E (performance énergétique globale),Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Revenu cadastral,Surface du salon,Surface de la cuisine,Surface de la cave,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Buanderie,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Nombre d'annexes,Concierge,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Salle à manger,Largeur du terrain à rue,Quartier ou lieu-dit,Surface de la chambre 4,Grenier,Surface constructible totale au sol,Disponible le,Salles de douche,Terrasse,Surface du grenier,Référence externe,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Combien de feux ouverts ?,Jardin,Surface de l'espace professionnel,Attestation as-built,Isolé,Surface de la chambre 5,Nom de l'agent,Pourcentage loué
0,Bon,Oui,Équipée,3,Non,2,Non,Non,347 m²,533 kWh/m²,F,20210519-0002417326-res-1,Non communiqué,Non communiqué,Non,Mazout,Non,Oui,Oui,Non,Non,Non,Non,Bien immobilier situé tout ou en partie dans une zone inondable délimitée,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,Non,"Leuvensestraat 170
1800 - Vilvoorde",Steenvoorde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Bon,,4,3,,,Oui,Non,Connecté,F,Non communiqué,Non communiqué,Non communiqué,618,,Non,Non,Oui,Non,,Non,Non,Zone inondable potentielle,Zone agricole,899.000 €,2.375 €,"Ninoofsesteenweg, 255
1700 - Dilbeek",,,À définir,1850,4,399 m²,Hyper équipée,Oui,Oui,Non,618 kWh/m²,Oui,Non,Non,Oui,Non,Gaz,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bon,,,3,,,,Non,869 m²,842 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Mazout,Non,Oui,Oui,,Non,Non,Non,Zone non inondable,Zone agricole,379.000 €,Non,"Ninoofsesteenweg, 255
1700 - Dilbeek",,Après la signature de l’acte,1962,4,,178 m²,2,,,Oui,Connecté,Oui,Non,Non,Non,842,Non,Non,Non,1.162 €,33 m²,20 m²,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,À rénover,,,3,Non,2,Oui,Non,620 m²,Non communiqué,Non communiqué,20140505-0001580631-00000020-6,Non communiqué,Non communiqué,"Oui, conforme",Gaz,Non,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,Non,,,Après la signature de l’acte,1918,3,,234 m²,2,Oui,,Non,Connecté,Oui,Non,Non,Non,,Non,Non,Non,1.232 €,28 m²,19 m²,13 m²,12 m,1,4,Pays,36 m²,16 m²,16 m²,Oui,20 m²,Non,Non,Non,Non,478 m²,Ouest,1 m²,Ouest,1,Non,Non,Non,Non,Non,Non,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,
4,Excellent état,,,1,,3,,Oui,839 m²,Non communiqué,Non communiqué,Non communiqué,66 kg CO?/m²,Non communiqué,,Gaz,,Oui,,,,,,,,310.000 €,Non,"Patattestraat 66
1755 - Kester",Rudi Van Driessche,Après la signature de l’acte,1965,3,,130 m²,1,,,,Connecté,Oui,,,,,,,,502 €,10 m²,7 m²,,8 m,,8,"Zone d'habitat (résidentiel, urbain ou rural)",16 m²,,,,,,,,,,,46 m²,,,,,,,,,,,Oui,8 m,,,,,,,,,,,,,,,,,,,,,,
5,Bon,,Semi-équipée,4,,1,,Non,1024 m²,Non communiqué,Non communiqué,20210624-0002433358-res-1,Non communiqué,Non communiqué,,Gaz,,Oui,Oui,,Non,Non,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",332.000 €,Non,"Ninoofsesteenweg 1036
1703 - Schepdaal",4395794,Après la signature de l’acte,1959,3,,182 m²,1,,Oui,,Connecté,Oui,Non,,Oui,,,,,728 €,16 m²,10 m²,,7 m,,4,Urbain,16 m²,16 m²,7 m²,,,,,,,730 m²,,48 m²,,,,,,,,,Non,,Oui,10 m,Ternat,21 m²,Oui,177 m²,,,,,,,,,,,,,,,,,,
6,Bon,,Équipée,3,,2,Oui,Non,500 m²,269 kWh/m²,C,20170915-0001993877-1,Non communiqué,Non communiqué,,Mazout,,Oui,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",385.000 €,Non,"Nieuwstraat 32b1
1730 - Asse",4446227,Après la signature de l’acte,1981,3,,188 m²,1,,Oui,,Connecté,Non,,,,,,,,1.207 €,44 m²,14 m²,,7 m,1,3,Urbain,13 m²,24 m²,,,6 m²,,,,,290 m²,,,,,,,,,,,,,,7 m,,,Oui,,30 septembre 2021 - 00:00,1,Oui,,,,,,,,,,,,,,,
7,Bon,,Équipée,2,,2,,,1135 m²,952 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Mazout,,Oui,Oui,,Non,Non,Non,Zone non inondable,,374.000 €,Non,"Astridlaan 1
1700 - Dilbeek",4437398,Après la signature de l’acte,1963,4,,136 m²,1,,,,,,,,,,,,,899 €,33 m²,12 m²,,,1,2,Urbain,17 m²,12 m²,,,,,,,,,,,,,,,,,,,,,,14.5 m,,,,,,,Oui,,,,,,,,,,,,,,,
8,Bon,,Hyper équipée,3,,1,,Non,163 m²,268 kWh/m²,C,246242,Non communiqué,Non communiqué,,Gaz,,,Oui,,,Non,,Zone inondable potentielle,,279.000 €,Non,"Brusselbaan 110
1790 - Affligem",4513927,Après la signature de l’acte,1979,2,,140 m²,1,,,,Connecté,Oui,,,,,,,,704 €,30 m²,10 m²,,6.75 m,1,3,Urbain,12 m²,12 m²,9 m²,,,,,,,120 m²,,20 m²,,,,,,,,,,,,6.75 m,,,,50 m²,,,,,,,,,,,,,,,,,,
9,À rénover,,,4,,2,,Non,2430 m²,271 kWh/m²,C,2279516,Non communiqué,Non communiqué,,,,,Oui,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",570.000 €,Non,"Brusselbaan 110
1790 - Affligem",4518252,Après la signature de l’acte,1980,4,,330 m²,1,,,,Connecté,Non,,,,,,,,,80 m²,20 m²,10 m²,11 m,2,5,Pays,25 m²,25 m²,25 m²,,,,,,,2200 m²,,20 m²,,,,Oui,,Oui,,,,,Oui,18 m,,15 m²,,185 m²,,,,80 m²,,,,,,,,,,,,,,
