,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Surface de la cave,Surface du terrain,Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Largeur de la façade à rue,Combien de feux ouverts ?,Surface de la chambre 4,Dressing,Bureau,Espace professionnel,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Parlophone,Climatisation,Jacuzzi,Sauna,Internet,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Surface constructible totale au sol,Salle à manger,Surface du grenier,Raccordement à l'égout,Attestation de conformité des citernes à mazout,Procédure pour violation de la réglementation urbanistique,Cave,Site internet,Grenier,Obligation de construire,Revenu cadastral,Buanderie,Autorisation de lotissement,Surface de l'espace professionnel,Salon,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Jardin,Niveau E (performance énergétique globale),Quartier ou lieu-dit,Disponible le,Surface de bureau,Surface de la chambre 5,Informations supplémentaires,Pourcentage loué,Revenu mensuel actuel,Isolé,Description libre du PEB,Nom de l'agent
0,Après la signature de l’acte,1977,Bon,4,2,4,"Zone d'habitat (résidentiel, urbain ou rural)",404 m²,55 m²,Hyper équipée,43 m²,6,18 m²,11 m²,12 m²,3,1,3,40 m²,2539 m²,Oui,Non,Non,Oui,Oui,Non,456 kWh/m²,E,2429025,Non communiqué,Non communiqué,Mazout,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",855.000 €,Non,"Astridlaan 1
1700 - Dilbeek",4389181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À définir,2006,Excellent état,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",,200 m²,,Hyper équipée,20 m²,4,18 m²,16 m²,8 m²,1,,2,,154 m²,,Non,Non,Non,Non,Non,139 kWh/m²,B,te verkrijgen bij bezoek,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,365.000 €,Non,,7 m,1,9 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,7 m,Oui,70 m²,Sud,8 m²,Sud,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Maison bel-étage,84 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,1981,Excellent état,3,1,,Isolé,234 m²,28 m²,Oui,15 m²,3,18 m²,14 m²,13 m²,1,1,2,26 m²,71 m²,12.12 m,533 kWh/m²,,,,,,F,2427106,Non communiqué,Non communiqué,"Oui, conforme",Oui,88 m²,Non,"Zone d'habitat (résidentiel, urbain ou rural)",415.000 €,Non,"Burchtstraat 12
9400 - Ninove",4374812,10.39 m,,,,,,351 m²,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,Non,Hyper équipée,Non,Non,Mazout,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,,À rafraîchir,3,1,1,Isolé,,190 m²,40 m²,Équipée,21 m²,3,23 m²,11 m²,12 m²,2,2,3,,2242 m²,Oui,,,,,,472 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Zone non inondable,,365.000 €,Non,"Nieuwstraat 32b1
1730 - Asse",9 m,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,,,,Oui,,Connecté,,,Oui,4360434,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,2021,Excellent état,3,,1,Urbain,,170 m²,24 m²,Hyper équipée,17 m²,3,25 m²,13 m²,12 m²,1,,2,,169 m²,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,349.000 €,Non,"Brusselbaan 90
9300 - Aalst",5 m,,,,,,,,,,,,5 m,Oui,,,18 m²,,,,,,,,,,,Oui,,,,,,,Connecté,,,,4529322,Oui,,,,,,,,,,,,,,,,,,,,,,,
5,,1964,Excellent état,,1,,,,190 m²,,Équipée,,3,,,,2,,2,,122 m²,Oui,,,,,,476 kWh/m²,E,2432680-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",309.000 €,Oui,"Nieuwstraat 9
9450 - Denderhoutem",8 m,,,Non,Non,,,,Non,Non,Non,Non,8 m,Oui,,,,,,,,,,,,,,,,Oui,,,,,Connecté,,Non,,1770 Liedekerke - St,,Non,1.259 €,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,,Excellent état,2,,,Urbain,,110 m²,30 m²,Hyper équipée,8 m²,2,27 m²,13 m²,,1,,1,,73 m²,,,,,,,197 kWh/m²,B,20210609-0002426940-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,199.000 €,Non,"Brusselbaan 90
9300 - Aalst",4 m,,,,,,,,,,,,4 m,Oui,,,20 m²,,,,,,,,,,,,,,,,,,Connecté,,,,4529248,Oui,,262 €,,,,,,,,,,,,,,,,,,,,,
7,,1949,À rénover,3,1,,,126 m²,32 m²,Oui,17 m²,2,17 m²,16 m²,1,,1,,Non,,285 m²,,,,,,,Non communiqué,in aanvraag,Non communiqué,Non communiqué,Non,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",229.000 €,763 €,"Edingsesteenweg 144
1755 - Gooik",2048 - 1170,,,,,,,414 m²,,,,,,,,5 m²,,Non communiqué,,,,,,,,Oui,,,,,Non,,,Pas équipée,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,,Fraîchement rénové,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",,127 m²,32 m²,Équipée,,3,17 m²,9 m²,9 m²,1,1,2,,71 m²,,,,,,,162 kWh/m²,B,20211006-0002472840-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",265.000 €,,"Brusselsesteenweg 89
9400 - Ninove",,,,,,,Non,,,,,,,Oui,,,10 m²,,,,,,,,Non,,,,,,,,,13 m²,Connecté,Non,Non,,,,,445 €,Oui,Non,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,1993,Excellent état,3,1,5,"Zone d'habitat (résidentiel, urbain ou rural)",,221 m²,27 m²,Hyper équipée,6 m²,2,18 m²,15 m²,,2,,2,,428 m²,,,,,,,161 kWh/m²,B,2392076,Non communiqué,Non communiqué,Mazout,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",394.000 €,Oui,"Brusselbaan 110
1790 - Affligem",5.8 m,,,,,,Non,,,,,,8.8 m,Oui,,,21 m²,,,,,,,,,,,Oui,,Oui,,152 m²,Oui,,Connecté,,Non,,4515725,,,1.601 €,,Non,42 m²,,,,,,,,,,,,,,,,,,
