,À partir de,Disponible le,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Chambres,Salles de bains,Toilettes,Bureau,Grenier,Meublé,Surface du terrain,"Eau, gaz & électricité",Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Panneaux solaires,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Parkings extérieurs,Surface du salon,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de bureau,Surface du jardin,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Porte blindée,Raccordement à l'égout,Type de chauffage,Combien de feux ouverts ?,Type de cuisine,Cave,Largeur de la façade à rue,Salon,Nom de l'agent,Surface de l'espace professionnel,Surface du grenier,Largeur du terrain à rue,Surface de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Surface constructible totale au sol,Quartier ou lieu-dit,Salles de douche,Orientation du jardin,Attestation as-built,Visite virtuelle,Buanderie,Référence externe,Dressing,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Espace professionnel,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Chauffe-eau commun,Obligation de construire,Nom du bien,Nombre d'annexes,Type de construction,Niveau E (performance énergétique globale),Orientation de la terrasse,Charges mensuelles,Isolé,Pourcentage loué,Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente
0,À définir,1 mai 2022 - 00:00,1990,Excellent état,4,2,Urbain,220 m²,4,1,2,Oui,Oui,Non,905 m²,Non,Oui,Non,Non,Oui,107 kWh/m²,B,0002456601,Non communiqué,Non communiqué,Oui,Oui,Oui,Oui,Zone non inondable,688.000 €,1.524 €,Non,"Kerkstraat 84
9255 - Buggenhout",4456418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Zone non inondable,,,Non,"Kalkovenlaan 77
1785 - Merchtem",O19006,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,,1996,Excellent état,4,1,"Zone d'habitat (résidentiel, urbain ou rural)",376 m²,5,2,2,Oui,,,949 m²,Non,Oui,,,,206 kWh/m²,C,20210303-00023381589-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone non inondable,799.000 €,1.732 €,Non,"Hoogstraat 70
9250 - Waasmunster",4366615,,,4,30 m²,Oui,12 m²,20 m²,15 m²,15 m²,18 m²,770 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1936,,3,1,,200 m²,6,1,1,Non,,Non,759 m²,Non,,,,,389 kWh/m²,D,Certificaat-20160810-0001885709-1,Non communiqué,Non communiqué,,Oui,,,,420.000 €,887 €,Non,"Rue Verhasseltstraat 2/1
1780 - Wemmel",,,,,36 m²,,21 m²,12 m²,16 m²,16 m²,,,,20 m²,21 m²,25 m²,Non,Non connecté,Mazout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Non,"Kalkovenlaan 77
1785 - Merchtem",O19006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,1970,,,1,,,4,1,1,Non,,Non,403 m²,Oui,,,,,523 kWh/m²,F,20210607-0002425486-RES-1,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone non inondable,365.000 €,912 €,Non,"Kalkovenlaan 77
1785 - Merchtem",O21027,Non,Non,,29 m²,,11 m²,22 m²,16 m²,12 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",11 m²,,,Non,Connecté,,1,Équipée,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,3,,,Non,,Non,365 m²,Non,,,,,592 kWh/m²,F,20210929-0002470236-RES-1,Non communiqué,Non communiqué,,Non,,Non,Zone non inondable,235.000 €,319 €,Non,"Kalkovenlaan 77
1785 - Merchtem",O21036,Non,Non,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,Connecté,,,,,17.3 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Immédiatement,,1985,À rénover,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,3,,,,,Non,275 m²,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,15 kg CO₂/m²,Non communiqué,,Oui,,,,288.000 €,,,"Waarbeek 15
1730 - Asse",,,,,,,,,,,,,,,,,,Connecté,,,,,,,Niel Roesems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,2,,,,,,,,,,670 m²,Oui,,,,,167 kWh/m²,B,20120426-000115101-00000003-2,Non communiqué,Non communiqué,,Oui,Oui,Oui,Zone non inondable,590.000 €,,Oui,"Kalkovenlaan 77
1785 - Merchtem",O12022J,Non,Non,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,,1996,Excellent état,3,3,Isolé,430 m²,3,2,3,Oui,,Non,2550 m²,Oui,,,,,197 kWh/m²,B,0002405401,Non communiqué,Non communiqué,,,Oui,Non,Zone non inondable,850.000 €,1.697 €,Non,"Brusselbaan 110
1790 - Affligem",4532086,Non,Non,5,60 m²,,25 m²,40 m²,21 m²,30 m²,25 m²,2300 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Gaz,,Hyper équipée,,20 m,,,25 m²,80 m²,23 m,200 m²,Oui,Oui,Oui,580 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Après la signature de l’acte,,1972,À rénover,4,1,Isolé,170 m²,4,1,2,Oui,,Non,720 m²,Oui,Oui,,,,934 kWh/m²,F,2443192,Non communiqué,Non communiqué,,,Oui,Non,Zone non inondable,365.000 €,1.145 €,Non,"Brusselbaan 110
1790 - Affligem",4417423,Non,Non,1,36 m²,,12 m²,16 m²,13 m²,12 m²,8 m²,,"Zone d'habitat (résidentiel, urbain ou rural)",14 m²,,,,Connecté,Mazout,,,,10 m,,,,60 m²,15.65 m,,,,,115 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,1 septembre 2021 - 00:00,1971,Bon,3,1,"Zone d'habitat (résidentiel, urbain ou rural)",240 m²,4,2,2,,Oui,Non,453 m²,Oui,,Non,Oui,Non,313 kWh/m²,D,Non communiqué,313 kg CO₂/m²,Non communiqué,,,,,Zone non inondable,399.000 €,,Non,"Rue Potaerdenberg 31
1070 - Anderlecht",4506794,,,2,45 m²,,8 m²,15 m²,13 m²,13 m²,,320 m²,,11 m²,,,,Connecté,Gaz,,Hyper équipée,,7.26 m,,,,,135 m,47 m²,,,,275 m²,Brabant Flamand,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Après la signature de l’acte,,1920,À rénover,2,,Pays,110 m²,2,1,2,,,Non,229 m²,Oui,,,,,608 kWh/m²,F,0002469485,Non communiqué,Non communiqué,,,,Non,Zone non inondable,235.000 €,230 €,Non,"Brusselbaan 110
1790 - Affligem",4521504,,,1,15 m²,,10 m²,15 m²,8 m²,,,150 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Électrique,,Semi-équipée,,5 m,,,,,5 m,,,,,70 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Après la signature de l’acte,,,À rénover,3,1,,195 m²,4,1,2,,,Non,684 m²,,,,,,413 kWh/m²,E,20211002-0002471785-RES-1,Non communiqué,Non communiqué,,,,,,239.000 €,1.028 €,Non,"Markt 37
1780 - Wemmel",3999 - V21WEM/023,,,,37 m²,,10 m²,17 m²,17 m²,14 m²,,430 m²,,10 m²,,,,,Gaz,,Semi-équipée,,8 m,,,,,8 m,60 m²,,,,,,1,Ouest,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,1 avril 2022 - 00:00,1994,Bon,4,3,,75 m²,29 m²,3,Oui,Oui,,3115 m²,17.7 m,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",2.045 €,Non,"Edingsesteenweg 144
1755 - Gooik",2074 - 1188,,Non,,3,Équipée,,4,22 m²,16 m²,14 m²,,105 m²,950.000 €,3,,,,,Oui,,23 m²,Non,11 m,,,,,2785 m²,Non communiqué,,,,,,,,Gaz,422 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Après la signature de l’acte,,,À rafraîchir,4,2,Centre commercial,404 m²,6,3,3,,,Non,1114 m²,Oui,Oui,,,,578 kWh/m²,F,2443178,Non communiqué,Non communiqué,,,Oui,Non,Zone non inondable,420.000 €,1.331 €,Non,"Brusselbaan 110
1790 - Affligem",4451808,Non,Non,10,40 m²,,22 m²,25 m²,23 m²,22 m²,,250 m²,"Zone d'habitat (résidentiel, urbain ou rural)",19 m²,15 m²,25 m²,,Connecté,Gaz,,Équipée,,6.5 m,,,,,20 m,,,,,281 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Après la signature de l’acte,,1969,À rafraîchir,3,2,Pays,135 m²,2,1,1,,,Non,790 m²,Oui,Oui,,,,1002 kWh/m²,F,2421995,Non communiqué,Non communiqué,,,Oui,Non,Zone inondable potentielle,279.000 €,827 €,Non,"Brusselbaan 110
1790 - Affligem",4367054,Non,Non,6,20 m²,,9 m²,13 m²,13 m²,,,450 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,40 m²,,Non connecté,Électrique,,Hyper équipée,,6 m,,,,,10 m,,,,,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Après la signature de l’acte,,1962,Bon,4,4,,242 m²,2,1,2,,,Non,1500 m²,Oui,,,,,713 kWh/m²,F,Certificaat-20210603-0002423932-RES-1.pdf,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone non inondable,575.000 €,2.057 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782553 - 2021/217/M,Non,Non,4,70 m²,,,20 m²,14 m²,,,1000 m²,Zone d'habitat mixte (habitat & activité économique),,,,Oui,,Gaz,1,Semi-équipée,,,,,,,30 m,30 m²,,Oui,,,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Après la signature de l’acte,,1990,,4,2,Pays,220 m²,2,1,2,,,Non,4100 m²,Oui,,,,,420 kWh/m²,E,0001748216,Non communiqué,Non communiqué,,,Oui,Non,Zone d'inondation reconnue,649.000 €,1.789 €,Non,"Brusselbaan 110
1790 - Affligem",4529343,Non,Non,5,50 m²,,25 m²,20 m²,20 m²,,,4100 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,Mazout,,Équipée,,11 m,,,,220 m²,17 m,20 m²,,,,225 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Après la signature de l’acte,,1975,Bon,4,3,,190 m²,3,1,2,,,Non,606 m²,Oui,,,,,920 kWh/m²,F,Certificaat-20210628-0002434794-RES-1.pdf,Non communiqué,Non communiqué,,Oui,Oui,Non,Zone d'inondation reconnue,398.000 €,1.182 €,Non,"Meyskensstraat 222
1780 - Wemmel",1782477 - 2021/248/M,,,3,36 m²,,14 m²,17 m²,13 m²,12 m²,,300 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,Gaz,1,Équipée,Oui,,,,,,19 m,13 m²,,,,,,,,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Après la signature de l’acte,,1985,Excellent état,4,1,Pays,201 m²,3,1,2,Oui,Oui,,2651 m²,Non,,,,,164 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,,,,695.000 €,1.140 €,Non,"Brusselbaan 90
9300 - Aalst",4532220,,,6,38 m²,,14 m²,30 m²,17 m²,10 m²,6 m²,1250 m²,,,,,,Connecté,,,Hyper équipée,,19 m,,,,,29 m,55 m²,,,Oui,,Affligem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Après la signature de l’acte,,,Bon,2,,Isolé,120 m²,2,1,2,,,Non,720 m²,Oui,,,,,206 kWh/m²,C,2447355,Non communiqué,Non communiqué,,,Oui,Non,Zone non inondable,210.000 €,242 €,Non,"Brusselbaan 110
1790 - Affligem",4453613,Non,Non,,32 m²,,12 m²,22 m²,13 m²,,,640 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,Connecté,,,Équipée,,9 m,,,,,9 m,40 m²,,,,75 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,À définir,,1939,Bon,3,,Urbain,163 m²,4,1,2,,,Non,466 m²,Oui,Oui,,,,497 kWh/m²,E,2471228,Non communiqué,Non communiqué,,,,Non,Zone inondable potentielle,329.000 €,686 €,Non,"Brusselbaan 110
1790 - Affligem",4528342,Non,Non,2,30 m²,,26 m²,21 m²,12 m²,12 m²,,200 m²,"Zone d'habitat (résidentiel, urbain ou rural)",8 m²,,18 m²,,Connecté,Gaz,,Hyper équipée,,6 m,,,,,9 m,,,,,90 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
