,À partir de,État du bâtiment,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Toilettes,Cave,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Jardin,Orientation du jardin,Terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Type de zone inondable,Prix,Immeuble de rapport,Adresse,Année de construction,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface de la chambre 4,Salles de bains,Salles de douche,Largeur du terrain à rue,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Revenu cadastral,Site internet,Panneaux photovoltaïques,Panneaux solaires,Type d’environnement,Salle à manger,Combien de feux ouverts ?,Surface de bureau,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Chauffe-eau commun,Type de construction,Surface de la terrasse,Buanderie,Surface du grenier,Isolé,Surface du jardin,Attestation de conformité des citernes à mazout,Surface constructible totale au sol,Procédure pour violation de la réglementation urbanistique,Attestation as-built,Référence externe,Quartier ou lieu-dit,Salon,Mise à prix,Nom de l'agent,Surface de la cave,Visite virtuelle,Surface de la chambre 5,Séance unique,Modalités de visite,Niveau E (performance énergétique globale),Pourcentage loué,Revenu mensuel actuel,Disponible le,Obligation de construire,Surface de l'espace professionnel,Lieu de la vente
0,À définir,Bon,162 m²,48 m²,Équipée,13 m²,3,16 m²,12 m²,7 m²,Non,2,Oui,Oui,Non,1532 m²,Connecté,Oui,Oui,Nord-ouest,Oui,Nord-ouest,491 kWh/m²,E,20210817-0002452768-RES-1,Non communiqué,Non communiqué,Gaz,Non,Oui,Zone non inondable,495.000 €,Non,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Immédiatement,Excellent état,250 m²,66 m²,Américaine équipée,,4,20 m²,12 m²,12 m²,,2,,,,655 m²,Connecté,Oui,,,Oui,,129 kWh/m²,B,230-081-6-2008-467/EB 15513- A 001D01/S D 001,Non communiqué,Non communiqué,,,Oui,Zone non inondable,549.000 €,Non,"Sint-Annalaan 209
1853 - Strombeek-Bever",2013,15 m,4,1,4,12 m²,1,1,20 m,Oui,Oui,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",2.140 €,4518326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,À définir,Excellent état,304 m²,37 m²,Hyper équipée,15 m²,4,16 m²,12 m²,17 m²,Non,2,Oui,,Non,1728 m²,Connecté,Oui,,,,,161 kWh/m²,B,20210722-0002444474-RES-1,Non communiqué,Non communiqué,Gaz,Non,Oui,Zone non inondable,749.000 €,Non,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,,,,1,18 m²,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,Bon,,41 m²,Équipée,18 m²,3,32 m²,16 m²,20 m²,Non,2,,,Non,1281 m²,Connecté,Non,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Électrique,Non,Oui,,500.000 €,Non,,1990,,4,,,,1,,,Non,Oui,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,1,9 m²,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,
4,À définir,Excellent état,153 m²,70 m²,Hyper équipée,,2,17 m²,15 m²,,Non,1,,,Non,,Connecté,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Oui,Zone non inondable,489.000 €,Non,"Dr. V. Dewalsplein 23
3070 - Kortenberg",,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,50 m²,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Bon,120 m²,30 m²,Hyper équipée,20 m²,2,12 m²,15 m²,,,1,,,Non,800 m²,,Oui,,Sud-ouest,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,Zone non inondable,467.000 €,Non,,1972,12 m,4,1,4,,,1,,Non,Non,Oui,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,2,,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Villa,10 m²,Oui,100 m²,Oui,400 m²,"Oui, conforme",800 m²,Non,,,,,,,,,,,,,,,,,,
6,,Excellent état,288 m²,76 m²,Équipée,17 m²,3,22 m²,,,,2,Oui,,Non,330 m²,,,,Sud-ouest,,,229 kWh/m²,C,2386723-1,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,598.000 €,Oui,"Keizerstraat 18B
2800 - Mechelen",1800,,3,2,,,2,,12.66 m,,,Oui,,Non,,721 €,,,,,,,,,,,,,,,,,,,,,,,,,,30 m²,,,,85 m²,,,Non,Non,1698400 - 345345965,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Excellent état,288 m²,76 m²,Équipée,17 m²,3,22 m²,,,,2,Oui,,Non,330 m²,,,,Sud-ouest,,,229 kWh/m²,C,2386723-1,Non communiqué,Non communiqué,Gaz,,Oui,Zone non inondable,598.000 €,Oui,"Keizerstraat 18B
2800 - Mechelen",1800,,3,2,,,2,,12.66 m,,,Oui,,Non,,721 €,,,,,,,,,,,,,,,,,,,,,,,,,,30 m²,,,,85 m²,,,Non,Non,1698398 - 345345864,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
