,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Chambres,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Salles de bains,Surface de bureau,Bureau,Cave,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Surface constructible totale au sol,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Surface du salon,Salle à manger,Type de cuisine,Salles de douche,Toilettes,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Site internet,Année de construction,État du bâtiment,Largeur de la façade à rue,Type de chauffage,Référence externe,Type d’environnement,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la terrasse,Accès sécurisé / alarme,Procédure pour violation de la réglementation urbanistique,Salon,Dressing,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation du jardin,Chauffe-eau commun,Surface de la chambre 5,Orientation de la terrasse,Permis de bâtir obtenu,Combien de feux ouverts ?,Isolé,Nombre d'annexes,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Type de construction,Obligation de construire,Pourcentage loué,Revenu mensuel actuel,Surface du grenier,Surface de la cave,Attestation de conformité des citernes à mazout,Niveau E (performance énergétique globale),Jardin,Nom du bien,Disponible le,Surface de l'espace professionnel,Quartier ou lieu-dit
0,Non,"Les visites se font les mercredis 13, 20, 27 octobre et 03 novembre de 14h00 à 16h00; les samedis 16, 23 et 30 octobre de 10h00 à 12h00.",Après la signature de l’acte,2,323 kWh/m²,D,20210901-0002458716-RES-1,Non communiqué,Non communiqué,Oui,Non,Oui,Zone non inondable,160.000 €,513 €,Non,"Chausse de Louvain 152
1300 - Wavre",Laurence BAGUETTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,2,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,4000 m²,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,"Rue Emile Feron 153
1060 - Saint-Gilles",4164236,4,8,60,4000 m²,4,60 m²,Oui,Oui,Oui,Non,1200 m²,270 m,Connecté,Oui,4900 m²,Oui,Non,Non,Oui,Oui,Non,Non communiqué,Non,Faire offre à partir de 3.600.000 €,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,3,707 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,Non,"Rue F. Vekemans 121
1120 - Neder-over-Heembeek",3,1,,,335 m²,,,,,,Non,,,,,,,,,,,,,,529.000 €,44 m²,Oui,Équipée,2,2,Non,Non,Non,Non,1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,Après la signature de l’acte,4,372 kWh/m²,D,20201001-002322359-RES-1,Non communiqué,Non communiqué,Oui,,,,,1.157 €,Non,"Amsterdamstraat 15 bus202
2000 - Antwerpen",2,1,,,220 m²,1,,,Oui,,Non,330 m²,,,Oui,,,,,,,,,,399.000 €,,,Semi-équipée,,2,Non,,,,,1956,Bon,6 m,Gaz,199 - 1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,Après la signature de l’acte,14 m²,D,20180225-0002036074-2,62 kg CO₂/m²,Non communiqué,Gaz,399.000 €,,,,,Non,"Allée de la recherche 12
1070 - Anderlecht",4522553,2,1,2,180 m²,38 m²,2,Oui,Oui,Non,,Connecté,,,Oui,130 m²,26 m²,,,,,,,,,1.408 €,Hyper équipée,,6 m²,2,6 m²,,,,,,1961,Bon,,Oui,,Urbain,4,16 m²,16 m²,19 m²,2,348 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,Après la signature de l’acte,3,138 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,1.028 €,Non,"Sint-Annalaan 209
1853 - Strombeek-Bever",2,,,,175 m²,2,,,Oui,Oui,Non,466 m²,5.7 m,Connecté,Oui,,,,,,,,,,425.000 €,30 m²,,Américaine hyper-équipée,1,3,,,,,4513047,1938,Excellent état,,Gaz,,,15 m²,15 m²,15 m²,28 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,Après la signature de l’acte,3,294 kWh/m²,C,Certificaat-20210611-0002427846-RES-1.pdf,Non communiqué,Non communiqué,Oui,,,Zone non inondable,,2.181 €,Non,"Sint-Annalaan 209
1853 - Strombeek-Bever",3,1,,,235 m²,1,,,,,Non,220 m²,,Connecté,Oui,,,,,,,,,,529.000 €,30 m²,Oui,Américaine hyper-équipée,,2,,,,,4379017,1980,Excellent état,,Gaz,,Urbain,20 m²,36 m²,13 m²,13 m²,,22 m²,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,Après la signature de l’acte,4,Non communiqué,Non communiqué,20210820-0002454006-RES-1,Non communiqué,Non communiqué,Non,,Oui,Zone non inondable,,1.383 €,Non,,2,,,,,1,,Non,Oui,Oui,Non,150 m²,,Connecté,Oui,60 m²,,,,,,,,,340.000 €,,Oui,Semi-équipée,,1,,Non,Non,Non,,1955,Bon,6 m,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Est,Non,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,Après la signature de l’acte,15 m²,A,20190906-0002192621-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",,"Rue du Loriot 28
1170 - Watermael-Boitsfort",,Gisèle Leroy,2,1,,181 m²,33 m²,,,,,,,Connecté,,Oui,20 m²,,,,,Oui,83 kWh/m²,,,560.000 €,1.129 €,Hyper équipée,,15 m²,4,85 m²,,,Oui,,,,Excellent état,4.2 m,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",5,9 m²,9 m²,19 m²,12 m²,Sud,Oui,Zone non inondable,,,,,,,,,,,,4,Oui,Non,,,,,,,,,,,,,,,,,,,,,
9,,,,Selon le locataire,7,34 kWh/m²,A,20160914-0001893779-1,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,,980 €,Oui,,2,,,,250 m²,2,,Oui,Oui,Oui,Non,397 m²,6 m,Connecté,Oui,160 m²,,Non,Non,Non,Non,Non,,,550.000 €,,Oui,Hyper équipée,1,3,"Oui, conforme",Non,Non,Non,,,Excellent état,6 m,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,24 m²,18 m²,,,24 m²,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Nord-ouest,Oui,,Nord-ouest,Oui,1,Oui,1,Non,Non,Non,Non,Oui,Immeuble à appartements,Non,100,1950,,,,,,,,,
