,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Buanderie,Surface de la cave,Meublé,Surface du terrain,Terrain plat,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Largeur de la façade à rue,Parkings extérieurs,Combien de feux ouverts ?,Dressing,Salles de douche,Bureau,Espace professionnel,Porte blindée,Terrain arrière,Raccordement à l'égout,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Parkings intérieurs,Grenier,Isolé,Attestation de conformité des citernes à mazout,Jardin,Terrasse,Climatisation,Panneaux photovoltaïques,Accessible aux personnes avec un handicap,Nom du bien,Ascenseur,Accès sécurisé / alarme,Interphone vidéo,Surface de bureau,Salon,Surface du grenier,Terrain à front de rue,Terrain boisé,Pompe à chaleur,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Cave,Concierge,Jacuzzi,Sauna,Piscine,Internet,Obligation de construire,Visite virtuelle,Largeur du terrain à rue,Mise à prix,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Disponible le,Niveau E (performance énergétique globale),Valeur du bien,Bouquet,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Surface de l'espace professionnel,Nombre d'annexes,Surface constructible totale au sol,Informations supplémentaires,Charges mensuelles
0,Après la signature de l’acte,Zaventem-Centrum,1957,Fraîchement rénové,3,"Zone d'habitat (résidentiel, urbain ou rural)",185 m²,32 m²,Oui,Américaine hyper-équipée,20 m²,5,16 m²,14 m²,13 m²,13 m²,7 m²,2,3,Oui,25 m²,Non,150 m²,Oui,Oui,75 m²,Ouest,18 m²,Ouest,Oui,160 kWh/m²,B,20210401-0002396128-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,785 €,Non,"Parklaan 8
1930 - Zaventem",DAVINA POOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,,1870,Bon,3,"Zone d'habitat (résidentiel, urbain ou rural)",142 m²,30 m²,Oui,Américaine hyper-équipée,,2,12 m²,14 m²,,,,1,2,Oui,,Non,522 m²,,Oui,400 m²,Sud,20 m²,Sud,Oui,504 kWh/m²,F,20210316-0002388012-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",435.000 €,,Non,"Avenue Guillaume Macau, 5
1050 - Ixelles",,12 m,1,1,Oui,1,Oui,Oui,Oui,Oui,Connecté,"Oui, conforme",Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,2,"Zone d'habitat (résidentiel, urbain ou rural)",178 m²,21 m²,Oui,Équipée,,5,,,,,,3,3,Oui,25 m²,,155 m²,Oui,Oui,,,20 m²,Sud,,364 kWh/m²,D,20130613-0001386792-00000020-0,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",410.000 €,887 €,Non,"Parklaan 8
1930 - Zaventem",POOT Davina,12.68 m,,1,,,,,,,Connecté,,Oui,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,Zaventem-Centrum,1959,,3,"Zone d'habitat (résidentiel, urbain ou rural)",165 m²,25 m²,Oui,Américaine hyper-équipée,,3,,,,,,2,3,Oui,,,145 m²,Oui,Oui,80 m²,Sud,20 m²,Sud,Oui,397 kWh/m²,D,20210602-0002423269-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,929 €,Non,"Parklaan 8
1930 - Zaventem",Davina Poot,6 m,,,Oui,,Oui,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,Zaventem-Centrum,,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",113 m²,25 m²,Oui,Américaine hyper-équipée,,4,17 m²,17 m²,12 m²,10 m²,,1,1,Oui,12 m²,Non,60 m²,,Oui,,,,,,271 kWh/m²,C,20210429-0002407995-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,676 €,Non,"Parklaan 8
1930 - Zaventem",Davina Poot,,,,,,,,,,,Non,Oui,Non,Non,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,Zaventem-Centrum,,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",174 m²,35 m²,Oui,Équipée,13 m²,3,,,,,,1,2,Oui,35 m²,Non,122 m²,Oui,Oui,,,15 m²,,Oui,439 kWh/m²,E,20210428-0002406849-RES-1,Non communiqué,Non communiqué,Mazout,Oui,,,,349.000 €,1.003 €,Non,"Parklaan 8
1930 - Zaventem",Davina Poot,,,1,,,,,,,Connecté,,,,,1,Oui,Oui,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,Nossegem,,Fraîchement rénové,4,"Zone d'habitat (résidentiel, urbain ou rural)",156 m²,40 m²,Oui,Américaine hyper-équipée,,4,,,,,,1,2,Oui,40 m²,,1320 m²,,Oui,,Sud-ouest,20 m²,Sud-ouest,,879 kWh/m²,F,20180707-0002066169-1 ,Non communiqué,Non communiqué,Mazout,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",364.000 €,840 €,Non,"Parklaan 8
1930 - Zaventem",POOT DAVINA,,10,,,,,,,,Connecté,,Oui,,,2,Oui,,"Oui, conforme",Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,Leuvensesteenweg,1961,,4,"Zone d'habitat (résidentiel, urbain ou rural)",,30 m²,Oui,Américaine équipée,10 m²,3,18 m²,15 m²,14 m²,,,2,2,,20 m²,,485 m²,,Oui,,,,,,549 kWh/m²,F,20210709-0002438363-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",444.000 €,1.147 €,Non,"Parklaan 8
1930 - Zaventem",POOT Davina,,,,Oui,,Oui,,,,,,Oui,Non,,,,,,,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,Leuvensesteenweg,1961,Bon,4,"Zone d'habitat (résidentiel, urbain ou rural)",,30 m²,Oui,Américaine équipée,10 m²,3,18 m²,15 m²,14 m²,,,2,2,Oui,20 m²,Non,485 m²,,Oui,,,,,,549 kWh/m²,F,20210709-0002438363-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",444.000 €,1.147 €,Non,"Parklaan 8
1930 - Zaventem",POOT Davina,,4,,Oui,,Oui,,,,,,Oui,Non,,1,,,,,Oui,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
