,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Surface habitable,Salon,Salle à manger,Combien de feux ouverts ?,Type de cuisine,Chambres,Dressing,Salles de bains,Buanderie,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Sauna,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Salles de douche,Bureau,Cave,Largeur du terrain à rue,Terrasse,Revenu cadastral,Site internet,Parkings intérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Toilettes,Surface de bureau,Porte blindée,Ascenseur,Piscine,Surface de la cave,Concierge,Accessible aux personnes avec un handicap,Pompe à chaleur,Obligation de construire,Charges mensuelles,Référence externe,Parkings extérieurs,Surface de la chambre 4,Surface de la chambre 5,Surface constructible totale au sol,Quartier ou lieu-dit,Panneaux solaires,Climatisation,Terrain à front de rue,Jacuzzi,Visite virtuelle,Disponible le,Espace professionnel,Terrain boisé,Terrain arrière,Terrain plat,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Pourcentage loué,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Orientation de la terrasse,Nombre d'annexes,Revenu mensuel actuel,Nom du bien,Niveau E (performance énergétique globale),Surface de l'espace professionnel,Jardin
0,Après la signature de l’acte,1890,Excellent état,7.5 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",624 m²,Oui,Oui,2,Hyper équipée,5,Oui,5,Oui,Oui,Non,308 m²,Connecté,Oui,159 m²,Sud-est,29 m²,Oui,Oui,Oui,Oui,206 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,"Oui, conforme",Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",2.500.000 €,Non,"Leopoldstraat 49
2000 - Antwerpen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,,Bon,9.6 m,2,,398 m²,,,,Équipée,4,,2,,,Non,96 m²,,Oui,,,,,,,,287 kWh/m²,C,2431159,Non communiqué,Non communiqué,,,Gaz,,,,,,Zone non inondable,,925.000 €,Non,"Frankrijklei 93
2000 - Antwerpen",2,Oui,Oui,9.6 m,Oui,1.705 €,4370120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,À définir,1866,Excellent état,,2,,400 m²,,Oui,,Hyper équipée,3,,1,,Oui,,200 m²,,Oui,,,,,Oui,Oui,,194 kWh/m²,B,2106860,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",2.300.000 €,Non,"Jordaenskaai, 21
2000 - Antwerpen",2,Oui,,13 m,,2.568 €,4214167,3,52 m²,16 m²,25 m²,23 m²,23 m²,3,25 m²,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,,Excellent état,,2,Urbain,314 m²,,,,Équipée,3,Non,3,,,Non,84 m²,,,,,10 m²,Oui,Non,Non,,129 kWh/m²,B,20141027-000169001,Non communiqué,Non communiqué,,Non,Gaz,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",699.000 €,Oui,"Tavernierkaai 2 b 29
2000 - Antwerpen",3,Non,,,,2.164 €,,,,,,,,4,,,Non,Non,70 m²,Non,Non,Non,Non,3.700 €,spir4353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,,Excellent état,,2,Urbain,217 m²,,Oui,,Hyper équipée,3,Oui,2,,,Oui,,,,25 m²,Est,25 m²,Oui,Non,Non,,158 kWh/m²,B,20100215-0000445656-00000003-4,Non communiqué,Non communiqué,,Non,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",750.000 €,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",1,Non,,,,2.094 €,,1,36 m²,25 m²,13 m²,13 m²,,2,,,Non,Non,,Non,Non,Non,Non,,spir4550,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,1883,,11 m,2,,850 m²,,,,,8,,,,Oui,Non,390 m²,,Oui,,,,Oui,Oui,,,427 kWh/m²,E,2414961,Non communiqué,Non communiqué,,,Gaz,Oui,,,,,Zone non inondable,,2.200.000 €,Non,"Frankrijklei 93
2000 - Antwerpen",,Oui,Oui,11 m,,,4358573,1,,,21 m²,21 m²,21 m²,,,Oui,Non,,,,,,,,,2,21 m²,16 m²,390 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,,Excellent état,,2,,239 m²,,,,,3,,2,,,,250 m²,Connecté,Oui,123 m²,,,,Oui,Oui,,229 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",980.000 €,Non,"Sint-Katelijnevest 24
2000 - Antwerpen",,,Oui,,Oui,,4530102,1,,,,,,,,,,,,,,,,,,1,,,,Antwerpen centrum,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,,Bon,,2,,221 m²,,Oui,,Américaine hyper-équipée,3,,3,,,,77 m²,Connecté,Oui,,,25 m²,,Oui,,,182 kWh/m²,B,2309677,Non communiqué,Non communiqué,,,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,,725.000 €,Non,"Jordaenskaai, 21
2000 - Antwerpen",3,,Oui,6 m,,1.341 €,4453667,3,35 m²,20 m²,18 m²,24 m²,24 m²,3,,,Non,Non,,,,,,,,3,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
8,À définir,,,5 m,3,Urbain,308 m²,Oui,,,Hyper équipée,3,Non,1,,,Non,83 m²,,,,,,,,,,438 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Non,Gaz,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",829.000 €,Oui,"Tavernierkaai 2 b 29
2000 - Antwerpen",,Non,,,,1.417 €,,,,,,,,3,,,,,,,,Non,Non,,spir4418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,,Fraîchement rénové,9.51 m,2,,273 m²,,Oui,,Équipée,6,,3,,,,,,,,,,Oui,,,,60 kWh/m²,A,2264501,Non communiqué,Non communiqué,,,Gaz,Oui,,,,,Zone non inondable,,930.000 €,Non,"Frankrijklei 93
2000 - Antwerpen",,,,,,,4217441,,25 m²,,15 m²,6 m²,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
