,Lieu de la vente,Séance unique,Modalités de visite,Disponible le,Visite virtuelle,Salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Bureau,Grenier,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Mise à prix,Revenu cadastral,Immeuble de rapport,À partir de,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Salle à manger,Dressing,Salles de douche,Buanderie,Espace professionnel,Cave,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Prix,Largeur du terrain à rue,Terrasse,Adresse,Référence externe,Quartier ou lieu-dit,Année de construction,État du bâtiment,Type d’environnement,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Site internet,Surface constructible totale au sol,Surface du salon,Surface de la cuisine,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la cave,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Surface de bureau,Attestation as-built,Autorisation de lotissement,Charges mensuelles,Combien de feux ouverts ?,Surface de l'espace professionnel,Type de construction,Obligation de construire,Pourcentage loué,Revenu mensuel actuel,Orientation de la terrasse,Attestation de conformité des citernes à mazout,Nom de l'agent,Nom du bien,Nombre d'annexes,Niveau E (performance énergétique globale),Description libre du PEB,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Surface du grenier
0,Non,(àpd 14/9 au 9/10 incl.) : mar. et sam. de 15-17h.,24 novembre 2021 - 00:00,Oui,Équipée,5,2,1,Oui,Oui,Oui,Nord-est,480 kWh/m²,G,20210806-0000593685-01-3,Non communiqué,Non communiqué,420.000 €,2.322 €,Non,"Boulevard Saint-Michel, 70
1040 - BRUXELLES/BRUSSEL",Victoria GILSON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,Oui,,8,3,4,Oui,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Après la signature de l’acte,7 m,2,2,1,510 m²,Oui,Oui,1,Oui,Oui,Oui,Non,Non,378 m²,Non,Non,Non,Non,Connecté,Oui,268 m²,20 m²,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Gaz,Non,Non,Non,Oui,Oui,1.050.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,Hyper équipée,4,1,1,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Selon le locataire,,2,,,150 m²,,,,,,Oui,Non,,,,,,,Connecté,Oui,,,,,,,,,,,,,,Gaz,,,,,Oui,520.000 €,5 m,Oui,"Chausée de Wavre 1004
1160 - Auderghem",3884444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,Pas équipée,5,2,2,Oui,Oui,,,660 kWh/m²,G,20190410-0000547349-01-8,128 kg CO₂/m²,Non communiqué,,,Non,Après la signature de l’acte,,2,1,,210 m²,,,,,,Oui,Non,,80 m²,,,,,Connecté,Oui,,,,,,,,,,,,,,Gaz,,,,,Oui,570.000 €,,,"Rue Franklin 90
1000 - Bruxelles ville",,Bruxelles (19 communes),1936,À rafraîchir,"Zone d'habitat (résidentiel, urbain ou rural)",10 m²,17 m²,12 m²,12 m²,17 m²,4329076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,5,5,,,,,,304 kWh/m²,F,20201107-0000577919-01-0,60 kg CO₂/m²,Non communiqué,,,Oui,,4.8 m,2,,,220 m²,,,,,,Oui,,,50 m²,,,,,Connecté,Oui,,,,,,,,,,,,,,Gaz,,,,,Oui,520.000 €,5.2 m,,"Jozef de Vleminckstraat 4B
1853 - Strombeek-Bever",,,1908,À rénover,Urbain,,,,,,4390722,45 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,Équipée,4,2,2,,Oui,,,482 kWh/m²,G,20210926-0000596292-01-1,96 kg CO₂/m²,Non communiqué,,,Non,Selon le locataire,,2,,,205 m²,Oui,,2,,,Oui,Non,,103 m²,,,,,Connecté,Non,,,,Non,Oui,,,,,,,Non,,,,,,,Oui,465.000 €,,,"Rue Franklin 90
1000 - Bruxelles ville",,Bruxelles- Quartier CEE,1930,Bon,"Zone d'habitat (résidentiel, urbain ou rural)",22 m²,15 m²,11 m²,11 m²,,4453647,,25 m²,9 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,5,3,4,,,,,372 kWh/m²,G,595307,Non communiqué,Non communiqué,,1.031 €,Non,Après la signature de l’acte,,2,,,180 m²,,,,,,,Non,,102 m²,,,,,Connecté,,,34 m²,,,,,,,,,,,,Gaz,,,,,Oui,675.000 €,,,"Oppemlaan, 32
1950 - Kraainem",,Bruxelles (19 communes),,À rénover,"Zone d'habitat (résidentiel, urbain ou rural)",20 m²,14 m²,13 m²,12 m²,10 m²,4490202,,38 m²,7 m²,"Zone d'habitat (résidentiel, urbain ou rural)",60 m²,Oui,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,Équipée,8,4,5,Oui,,,,362 kWh/m²,G,20210715-0000592742-01-6,72 kg CO₂/m²,Non communiqué,,,Oui,À définir,,2,,,480 m²,,,,,,,Non,,106 m²,,,,,,,,,,,,,,,,,,,,,,,,,,1.375.000 €,,,"Rue Franklin 90
1000 - Bruxelles ville",,Bruxelles- Quartier CEE,1901,À rafraîchir,"Zone d'habitat (résidentiel, urbain ou rural)",12 m²,12 m²,12 m²,12 m²,12 m²,4402454,,,,,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,3,1,3,,,,,296 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,748 €,Non,Après la signature de l’acte,5 m,2,,,195 m²,,,2,,,Oui,Non,,105 m²,,,,,,,,25 m²,,,,,,,,,,,,Gaz,,,,,Oui,710.000 €,,,"Avenue du Bois de la Cambre 115
1050 - Ixelles",,,1978,Fraîchement rénové,,,,,,,1006001 - 654656897,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,5,3,3,,,,,320 kWh/m²,F,20200810-0000572951-01-8,64 kg CO₂/m²,Non communiqué,,2.245 €,Oui,Après la signature de l’acte,,3,,,290 m²,,,3,,,Oui,Non,,98 m²,,,,,Connecté,Oui,,,,Non,Non,Oui,,,,,,Non,,Gaz,,,,,,589.000 €,,,"Avenue d'Auderghem, 277
1040 - Etterbeek",,,1904,À rafraîchir,,,,,,,4238614,300 m²,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Non,Non,Zone non inondable,,,Oui,25 €,,,,,,,,,,,,,,,,,,,,,,,
