,À partir de,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface de la cave,Meublé,"Eau, gaz & électricité",Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Année de construction,Cave,Surface du jardin,Revenu cadastral,Surface du terrain,Terrasse,Procédure pour violation de la réglementation urbanistique,Revenu mensuel actuel,Permis de bâtir obtenu,Parkings intérieurs,Surface de la terrasse,Ascenseur,Interphone vidéo,Niveau E (performance énergétique globale),Salon,Salle à manger,Surface de la chambre 4,Dressing,Buanderie,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,Orientation du jardin,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Surface de la cuisine,Salles de douche,Référence externe,Nom du bien,Surface du grenier,Orientation de la terrasse,Concierge,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Surface constructible totale au sol,Pourcentage loué,Nom de l'agent,Grenier,Quartier ou lieu-dit,Isolé,Type de construction,Surface de la chambre 5,Surface de bureau,Surface de l'espace professionnel,Visite virtuelle,Obligation de construire,Parkings extérieurs,Combien de feux ouverts ?,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Jardin,Attestation de conformité des citernes à mazout,Disponible le
0,Après la signature de l’acte,Fraîchement rénové,5 m,2,Urbain,141 m²,13 m²,Équipée,4,16 m²,10 m²,8 m²,4,4,24 m²,Non,Oui,Oui,247 kWh/m²,C,2437212-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,Non,"Plantin en Moretuslei 135A
2140 - Borgerhout",8839 - 1711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,Fraîchement rénové,5 m,2,Urbain,141 m²,,Équipée,3,16 m²,10 m²,8 m²,4,4,24 m²,Non,Oui,Oui,247 kWh/m²,C,2437212-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Oui,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",449.000 €,Non,"Plantin en Moretuslei 135A
2140 - Borgerhout",8838 - 1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Fraîchement rénové,,2,,250 m²,38 m²,Équipée,4,,,,2,2,,Non,,,290 kWh/m²,C,0002451453-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,498.000 €,Non,"Britselei 42
2000 - Antwerpen",10139 - 3596241,1935,Oui,55 m²,1.110 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,2,,227 m²,,Semi-équipée,8,,,,8,8,,Non,Oui,Oui,124 kWh/m²,B,20160525-0001864553-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",600.000 €,Oui,"Museumstraat 50
2000 - Antwerpen",833789 - 93363818,2016,Oui,16 m²,924 €,98 m²,Oui,Non,3470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Bon,,,,150 m²,,Semi-équipée,4,,,,4,4,,Non,,,606 kWh/m²,F,0001949978-1,Non communiqué,Non communiqué,Non,Électrique,Oui,,,,,395.000 €,Oui,"Britselei 42
2000 - Antwerpen",10125 - 3596232,,Oui,,671 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Fraîchement rénové,,2,,190 m²,,Semi-équipée,3,,,,3,3,,Non,,,101 kWh/m²,A,0002318686,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,Oui,"Britselei 42
2000 - Antwerpen",9761 - 3595851,,Oui,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Immédiatement,Bon,,2,,205 m²,,Semi-équipée,5,,,,1,2,,Non,,,228 kWh/m²,C,20201207-0002347968-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",425.000 €,Non,"Museumstraat 50
2000 - Antwerpen",834467 - 93364019,,Oui,20 m²,,83 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Fraîchement rénové,,2,,250 m²,38 m²,Équipée,4,,,,2,2,,Non,,,290 kWh/m²,C,0002451453-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,498.000 €,Non,"Britselei 42
2000 - Antwerpen",10168 - 3596241,1935,Oui,55 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,,,2,,88 m²,29 m²,Équipée,3,,,,1,1,,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,321.580 €,Non,"Britselei 42
2000 - Antwerpen",9689 - 3594616,2017,Oui,,,,,,,,1,42 m²,Oui,Oui,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,À rénover,4 m,2,Urbain,160 m²,,,4,12 m²,15 m²,12 m²,1,2,,Non,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,,Oui,Zone non inondable,,195.000 €,Non,,,,Oui,32 m²,984 €,90 m²,,Non,,,,,,,,Oui,Oui,15 m²,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,4 m,Connecté,Nord,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
