,À partir de,État du bâtiment,Nombre de façades,Surface habitable,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Salles de bains,Toilettes,Meublé,Surface du terrain,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Type de cuisine,Surface de la chambre 3,Surface de la chambre 4,Dressing,Buanderie,Bureau,Surface de la cave,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Double vitrage,Surface constructible totale au sol,Obligation de construire,Revenu cadastral,Référence externe,Type d’environnement,Année de construction,Salon,Salle à manger,Terrasse,Parkings intérieurs,Cave,Largeur de la façade à rue,Surface de la chambre 5,Surface de bureau,Espace professionnel,Porte blindée,Climatisation,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Surface du grenier,Visite virtuelle,Surface du salon,Orientation de la terrasse,Pourcentage loué,Revenu mensuel actuel,Parkings extérieurs,Combien de feux ouverts ?,Salles de douche,Niveau E (performance énergétique globale),Surface de l'espace professionnel,Charges mensuelles,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Grenier,Nom du bien,Nom de l'agent
0,Après la signature de l’acte,À rénover,2,113 m²,12 m²,2,13 m²,13 m²,1,1,Non,128 m²,Oui,Sud-ouest,519 kWh/m²,F,20210817-0002452406-RES-1,Non communiqué,Non communiqué,Non,Mazout,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",230.000 €,Non,"Bischoppenhoflaan 284
2100 - Deurne",36565 - DEU-21-NST-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Oui,Non,,,,Oui,"Bischoppenhoflaan 284
2100 - Deurne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,Excellent état,5 m,1,175 m²,16 m²,4,10 m²,Oui,,Non,Non,Non,Non,Oui,Non,,Oui,,20210408-0002397377-RES-1,Non communiqué,Non communiqué,Gaz,Oui,80 m²,Non,Non,Non,1965,25 m²,Oui,Américaine hyper-équipée,18 m²,15 m²,18 m²,2,2,Oui,Non,70 m²,Non,160 m²,Non,Non,Non,5 m,Connecté,Oui,80 m²,Sud-ouest,15 m²,Non,148 kWh/m²,B,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1930,2,,172 m²,,,Semi-équipée,3,1,2,,,219 m²,120 m²,730 kWh/m²,F,20210920-0002466323-RES-1,,Non communiqué,Non communiqué,Mazout,Oui,Oui,Non,Non,Zone non inondable,279.900 €,872 €,Non,Urbain,,,,,,,,,,,,,,Non,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)","Turnhoutsebaan 98
2100 - Deurne",À rénover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Bon,2,145 m²,,3,19 m²,12 m²,2,1,,150 m²,,,647 kWh/m²,F,20130227-0001318818-00000001-7,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,,"Kerkstraat, 27
2970 - 's Gravenwezel",,Équipée,9 m²,,,,,45 m²,,,,,,,Oui,,,,,,,,,,Oui,,,572 €,,"Zone d'habitat (résidentiel, urbain ou rural)",2013,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,À rafraîchir,,192 m²,,4,,,2,2,,210 m²,Oui,Est,561 kWh/m²,F,20201201-0002345982-RES-1,Non communiqué,Non communiqué,,Gaz,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Bredabaan 133
2930 - Brasschaat",Dassastraat 30 - 210,Équipée,,,Non,Oui,Non,,Non,Non,Non,Non,,Connecté,Oui,,,,,,,,,,Oui,,Non,992 €,,,1956,Oui,Oui,Oui,1,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,À rénover,,190 m²,,5,9 m²,30 m²,2,1,Non,226 m²,,Sud-ouest,327 kWh/m²,D,20210610-0002377100-res-1,Non communiqué,Non communiqué,,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,Oui,"Boterlaanbaan 323
2100 - Deurne","Venneborglaan 160, 2",Semi-équipée,16 m²,16 m²,Non,,Oui,85 m²,Non,Non,Non,Non,5.8 m,Non connecté,Oui,100 m²,,Non,Non,Non,Oui,Non,Oui,Non,Oui,95 m²,Non,,,Urbain,1951,,,,,,5.8 m,17 m²,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,Bon,2,Urbain,,199 m²,Équipée,6,3,3,Non,91 m²,6 m²,E,20210810-0002449800-RES-1,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,464 kWh/m²,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
