,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Surface constructible totale au sol,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Année de construction,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Dressing,Bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Obligation de construire,Type de zone inondable,Site internet,Largeur de la façade à rue,Espace professionnel,Grenier,Porte blindée,Surface du jardin,Orientation du jardin,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Salle à manger,Surface de la chambre 3,Surface de la chambre 4,Jardin,Salles de douche,Toilettes,Terrasse,Parlophone,Surface du salon,Surface de la cave,Attestation de conformité des citernes à mazout,Parkings intérieurs,Accès sécurisé / alarme,Attestation as-built,Interphone vidéo,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Quartier ou lieu-dit,Parkings extérieurs,Combien de feux ouverts ?,Visite virtuelle,Buanderie,Surface de bureau,Surface du grenier,Isolé,Nom de l'agent,Niveau E (performance énergétique globale),Salon,Surface de la chambre 5,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Nombre d'annexes,Charges mensuelles,Nom du bien
0,Après la signature de l’acte,À rafraîchir,2,Urbain,164 m²,Américaine semi-équipée,4,2,Oui,Non,64 m²,5 m,Connecté,Oui,18 m²,Non,Oui,320 kWh/m²,D,2440345,Non communiqué,Non communiqué,Gaz,Oui,Oui,64 m²,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",249.500 €,480 €,Non,"Lange Lobroekstraat 67
2060 - Antwerpen",4399411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,,Non,Oui,Non,,,,Oui,"Bischoppenhoflaan 284
2100 - Deurne",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Bon,,,70 m²,,2,1,,,120 m²,,Non connecté,Oui,,,,550 kWh/m²,F,20130611-0001388431-00000004-4,Non communiqué,Non communiqué,,Non,,120 m²,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",419.000 €,,Oui,"Boterlaanbaan 323
2100 - Deurne",,1930,12 m²,16 m²,11 m²,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,Borsbeekstraat 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,À rénover,3,"Zone d'habitat (résidentiel, urbain ou rural)",95 m²,,2,,Oui,Non,66 m²,4 m,Connecté,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,46 m²,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",150.000 €,364 €,Non,,,1912,,,,Non,Oui,Oui,Non,Non,Non,,Zone non inondable,,4 m,Oui,Oui,Non,17 m²,Nord-ouest,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,150 m²,Équipée,4,2,,,82 m²,5 m,Connecté,Oui,,,,239 kWh/m²,C,20210705-0002437915-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,65 m²,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",329.900 €,,Non,"Boterlaanbaan 323
2100 - Deurne",,,5 m²,20 m²,20 m²,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,Eugeen Joorsstraat 8,5 m,,,,,Nord-ouest,,,,,Oui,13 m²,13 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,,2,,91 m²,,2,1,Oui,Non,,6 m,,Oui,,Non,,157 kWh/m²,B,487263,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",745.000 €,,Oui,"Turnhoutsebaan, 532
2970 - Schilde",,1939,,,,,,,,,,,Zone non inondable,4531385,6 m,,,,40 m²,,,,,,,,,,1,1,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,À rafraîchir,,,187 m²,Équipée,3,1,,,115 m²,,Connecté,Oui,4 m²,,,310 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",399.000 €,,Oui,"Van Breestraat 3
2018 - Antwerpen",,,11 m²,10 m²,10 m²,Non,Non,Non,Non,Non,Non,Non,,RRC,,,,,,,,,,,Oui,6 m²,,,,,,,22 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,135 m²,,4,2,,,88 m²,5 m,Non connecté,Oui,,,,251 kWh/m²,C,20210624-0002433628-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,84 m²,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,,Non,"Boterlaanbaan 323
2100 - Deurne",,,18 m²,22 m²,11 m²,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,De Costerstraat 17C,5 m,,,,,Nord-ouest,,,,,Oui,10 m²,8 m²,Oui,,,,,25 m²,17 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,Équipée,3,3,,Non,78 m²,,Non connecté,Oui,,,,342 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,,,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",279.000 €,,Oui,"Boterlaanbaan 323
2100 - Deurne",,,,,,Non,Non,Non,Non,Non,Non,Non,,spir751 [2965187],,,,,,,Non,,,,,,,,,3,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,À rafraîchir,2,"Zone d'habitat (résidentiel, urbain ou rural)",620 m²,Semi-équipée,4,1,,Non,113 m²,,,Oui,74 m²,Oui,,320 kWh/m²,D,20191202-0002223997-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",730.000 €,4.162 €,Non,"Plantin en Moretuslei 135A
2140 - Borgerhout",,1970,10 m²,,,,,,,,,,Zone non inondable,8887 - 1752,11 m,,,,,,,,,,Oui,,,,1,5,,,,110 m²,,2,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
