,À partir de,État du bâtiment,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Année de construction,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Salon,Surface de la chambre 1,Surface de la chambre 2,Salles de douche,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Parlophone,Interphone vidéo,Surface constructible totale au sol,Revenu cadastral,Surface de la terrasse,Type d’environnement,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Référence externe,Disponible le,Quartier ou lieu-dit,Salle à manger,Surface de la cuisine,Surface de la chambre 3,Surface de la chambre 4,Surface de la cave,Surface du grenier,Ascenseur,Orientation du jardin,Surface de bureau,Bureau,Porte blindée,Surface de la chambre 5,Terrain à front de rue,Nom de l'agent,Grenier,Surface de l'espace professionnel,Dressing,Espace professionnel,Terrain boisé,Terrain arrière,Terrain plat,Type de construction,Orientation de la terrasse,Accès sécurisé / alarme,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Obligation de construire,Visite virtuelle,Jardin,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Âge des rentiers,Buanderie,Niveau E (performance énergétique globale),Nom du bien,Combien de feux ouverts ?,Isolé,Concierge,Accessible aux personnes avec un handicap,Climatisation,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes
0,Après la signature de l’acte,Fraîchement rénové,3,144 m²,54 m²,Hyper équipée,3,1,2,Oui,Non,22 m²,360 kWh/m²,D,20210504-0002410637-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,315.000 €,Non,"Britselei 42
2000 - Antwerpen",10160 - 3596126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Bischoppenhoflaan 284
2100 - Deurne",,Oui,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Immédiatement,Bon,2,210 m²,,Hyper équipée,3,1,2,Oui,Non,,424 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,335.000 €,Non,"Korte Nieuwstraat 16
2000 - Antwerpen",4497740,Oui,,,Non,1930,6 m,1,1,Oui,16 m²,16 m²,1,69 m²,6 m,Connecté,Oui,Oui,Oui,Oui,69 m²,604 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,À rafraîchir,2,162 m²,35 m²,Équipée,5,,2,Oui,Non,,536 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,250.000 €,Non,"Frans de L'arbrelaan, 57
2170 - Merksem",1313906 - 1308560,,,,,,13 m,,,,,,1,70 m²,7.5 m,,,,,,,664 €,1 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,À rafraîchir,2,650 m²,,Semi-équipée,4,4,,Oui,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,745.000 €,Oui,"Pyckestraat 72
2018 - Antwerpen",,Oui,Non,Non,,,,,,,,,4,183 m²,,,,,,,,8.584 €,,Rue commerçante,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",651 - 1637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,À définir,,2,230 m²,55 m²,Américaine hyper-équipée,4,2,3,,Non,25 m²,251 kWh/m²,C,20210913-0002463318-RES-1,Non communiqué,Non communiqué,,Gaz,Oui,375.000 €,Non,"Ter rivierenlaan 1
2100 - Deurne",,Oui,Non,Non,Non,1933,6 m,,,,24 m²,14 m²,,105 m²,6 m,Connecté,Oui,,Oui,,87 m²,857 €,25 m²,Isolé,Zone non inondable,,4447966,1 mai 2022 - 00:00,Merksem,Oui,15 m²,14 m²,9 m²,40 m²,25 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,,,123 m²,29 m²,,2,1,1,Oui,Non,73 m²,376 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,,,265.000 €,Non,"Ter Heydelaan 197
2100 - Deurne",4665 - 3665458,,,Oui,,1947,,,,,17 m²,11 m²,,195 m²,,,,,,,,560 €,13 m²,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,24 m²,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,,2,125 m²,,Équipée,3,1,1,Oui,Non,30 m²,146 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,329.000 €,Non,"Britselei 42
2000 - Antwerpen",10146 - 3596214,,,,,,,,,,,,,143 m²,,,,,,,,,30 m²,,,,,,,,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,,2,125 m²,,Équipée,3,1,1,Oui,Non,30 m²,156 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,339.000 €,Non,"Britselei 42
2000 - Antwerpen",10148 - 3596214,,,,,,,,,,,,,144 m²,,,,,,,,,30 m²,,,,,,,,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,,2,125 m²,,Équipée,3,1,1,Oui,Non,29 m²,151 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,339.000 €,Non,"Britselei 42
2000 - Antwerpen",10147 - 3596214,,,,,,,,,,,,,140 m²,,,,,,,,,29 m²,,,,,,,,,,,,,,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
