,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Année de construction,Visite virtuelle,Salon,Type de cuisine,Chambres,Salles de bains,Surface du terrain,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Procédure pour violation de la réglementation urbanistique,Adresse,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Toilettes,Buanderie,Bureau,Meublé,Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Site internet,Cave,Grenier,Panneaux solaires,Parkings intérieurs,Surface habitable,"Eau, gaz & électricité",Terrasse,Disponible le,Combien de feux ouverts ?,Surface de bureau,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Accès sécurisé / alarme,Surface de la chambre 4,Surface de la cave,Raccordement à l'égout,Type d’environnement,Salle à manger,Parlophone,Interphone vidéo,Surface constructible totale au sol,Porte blindée,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Nombre d'annexes,Panneaux photovoltaïques,Chauffe-eau commun,Référence externe,Type de construction,Salles de douche,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Surface du grenier,Niveau E (performance énergétique globale),Surface de la chambre 5,Surface de l'espace professionnel,Isolé,Orientation de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Nom de l'agent,Quartier ou lieu-dit
0,Non,"nl :
zonder afspraak, enkel op zon., vanaf zon. 26/9 tem zon. 24/10 telkens van 14u-17u - U dient een mondmasker te dragen en de afstand van 1,5 m te respecteren - Buiten uw beurt afwachten, indien meerdere bezoekers zich op hetzelfde moment aandienen",Après la signature de l’acte,1959,Oui,Équipée,3,1,1313 m²,Oui,209 kWh/m²,C,20210112-0002358609-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,345.000 €,1.164 €,Non,"Frans Coeckelbergstraat, 14
2220 - HEIST-OP-DEN-BERG",Charlotte SEMPELS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,À la livraison,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,,Oui,Non,"Antwerpsesteenweg 359
2500 - Lier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,Après la signature de l’acte,,,,Équipée,3,2,599 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,,Non,Non,"Mechelbaan 500
2580 - Putte",Fraîchement rénové,7.46 m,3,2,37 m²,18 m²,18 m²,13 m²,12 m²,Non,2,Oui,Non,Non,Oui,Sud-ouest,Non,Non,Gaz,Non,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,spir1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Non,"nl :
zaterdag van 14u tot 16u (vanaf 28/08/2021 tot en met 02/10/2021)",Immédiatement,Bon,,,Équipée,3,1,Oui,,,F,20210425-0002406255-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Zone non inondable,180.000 €,319 €,Non,"Diestsesteenweg, 261
3202 - Rillaar",,Elise RAEDSCHELDERS,3,,Oui,,,,,,,,,,,,,,,,Non,Non,,,,,,Oui,563 kWh/m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,À la livraison,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,,"Achiel Cleynhenslaan 19
3140 - Keerbergen",,,,,,,,,,,,,,,,,,,,,,,,,3348537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,Après la signature de l’acte,1978,,,Semi-équipée,3,1,1361 m²,,877 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,Non,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",À rafraîchir,,4,4,38 m²,,,,,,1,,,Non,,,Non,"Oui, conforme",Mazout,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,41016 - HEI-21-FVD-1,,,,1,149 m²,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,1976,,,Équipée,3,1,1610 m²,,309 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,,Non,,"Hallaarstraat 33
2222 - Heist-op-den-Berg",Bon,15 m,4,,32 m²,15 m²,24 m²,16 m²,15 m²,,2,,Oui,Non,,Sud-est,Non,,Gaz,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",575.000 €,2165 - 3050,Oui,,,2,260 m²,,,1 juillet 2022 - 00:00,1,10 m²,30 m,1610 m²,80 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,Après la signature de l’acte,,,,Équipée,3,2,910 m²,,482 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,,867 €,Non,Non,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",Fraîchement rénové,,4,5,38 m²,19 m²,24 m²,20 m²,19 m²,,2,,,Non,,,Non,"Oui, conforme",Gaz,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",492.000 €,40119 - HEI-21-FVD-1,,,,,142 m²,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,Après la signature de l’acte,1980,,,,4,1,976 m²,,434 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,,,,,,Non,,"Hallaarstraat 33
2222 - Heist-op-den-Berg",Bon,,4,,40 m²,20 m²,18 m²,18 m²,16 m²,,2,,,Non,Oui,Ouest,Non,,Mazout,,Oui,,,447.000 €,2184 - 3059,,,,2,200 m²,,,,,,19.7 m,,25 m²,,15 m²,130 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,À définir,,,,Semi-équipée,4,,95 m²,,635 kWh/m²,F,20190326-0002144984-RES-1,Non communiqué,Non communiqué,,,,Zone non inondable,,394 €,Non,,"Dr. V. Dewalsplein 23
3070 - Kortenberg",À rénover,,,,,,,,,Non,1,,,Non,,,,,Gaz,Non,,,,159.000 €,,Oui,,,,200 m²,Oui,,,,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
