,À partir de,Année de construction,Nombre de façades,Type d’environnement,Surface habitable,Salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface du terrain,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Panneaux solaires,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Surface de la chambre 4,Parkings extérieurs,Surface du salon,Surface de la chambre 5,Type de chauffage,Type de zone inondable,Revenu cadastral,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Parkings intérieurs,Bureau,Cave,Mise à prix,État du bâtiment,Meublé,"Eau, gaz & électricité",Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur du terrain à rue,Buanderie,Terrain plat,Raccordement à l'égout,Niveau E (performance énergétique globale),Dressing,Parlophone,Pourcentage loué,Pompe à chaleur,Obligation de construire,Accès sécurisé / alarme,Piscine,Surface de la cuisine,Grenier,Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Interphone vidéo,Largeur de la façade à rue,Salles de douche,Surface de la cave,Surface du grenier,Surface constructible totale au sol,Disponible le,Combien de feux ouverts ?,Visite virtuelle,Salle à manger,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Type de construction,Espace professionnel,Porte blindée,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Nombre d'annexes,Nom de l'agent,Isolé,Surface de l'espace professionnel,Quartier ou lieu-dit,Date de la vente,Nom du bien,Charges mensuelles
0,À la livraison,2022,3,Isolé,154 m²,Oui,Hyper équipée,3,18 m²,12 m²,11 m²,1,2,380 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,476.100 €,Non,"Ring 46
2200 - Herentals",4390352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,"Grote Markt 10
2200 - HERENTALS",,Oui,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,À la livraison,2022,3,Isolé,152 m²,Oui,Hyper équipée,4,15 m²,12 m²,14 m²,1,2,472 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,489.200 €,Non,"Ring 46
2200 - Herentals",4390362,,,,,8 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,,4,,,,,7,16 m²,15 m²,10 m²,1,,10771 m²,,861 kWh/m²,F,20210712-0002440973-RES-1,Non communiqué,Non communiqué,,Oui,495.000 €,Non,"Hoogstraat 20
9340 - Lede",,,,,,10 m²,4,40 m²,10 m²,Gaz,Zone non inondable,2.111 €,4411190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,1,,3,,,1,,,,Oui,,956 kWh/m²,,F,20210921-0002466713-RES-1,Non communiqué,Non communiqué,Non,,,,"Langestraat 48 /2
2240 - ZANDHOVEN",Julie DE HOON,,,Non,Zone non inondable,,,,,,,250.000 €,Non,,Non,"nl :
elke zat. van 11u-12u of na afspraak, vanaf zat. 9/10 tem zat. 6/11",Après la signature de l’acte,157 m²,Oui,889 m²,416 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,À définir,1976,4,,150 m²,,Équipée,3,,,,2,,1995 m²,,325 kWh/m²,D,20210723-0002444572-RES-1,Non communiqué,Non communiqué,,,449.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",39751 - LIE-21-GLE-0,Oui,Non,Oui,Non,,,35 m²,,Mazout,Zone non inondable,,,,,,1,,,,Bon,Non,Oui,Oui,Nord-ouest,Non,"Oui, conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,1962,,,114 m²,,,3,,,,,1,1680 m²,,1504 kWh/m²,F,20210616-0002429718-RES-1,Non communiqué,Non communiqué,,,348.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",39095 - LIE-21-GLE-0,Oui,Non,Non,Non,,,28 m²,,,Zone d'inondation reconnue,,,,,,,,Oui,,,Non,Oui,Oui,Nord-ouest,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",26 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,À définir,2014,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,Équipée,4,19 m²,15 m²,14 m²,1,,225 m²,Oui,86 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,387.000 €,,"Ezenhoek 10
2590 - Berlaar",,Oui,Non,Non,Non,9 m²,1,,,Gaz,,,,,,,1,,,,Excellent état,,Oui,Oui,Sud-ouest,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,Oui,Connecté,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,4,"Zone d'habitat (résidentiel, urbain ou rural)",850 m²,,Hyper équipée,9,,,,,,3800 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,1.350.000 €,Oui,"Leopoldslei 7
2930 - Brasschaat",,,,,,,,,,Gaz,,3.955 €,,,,,,,,,Excellent état,,Oui,Oui,Sud-est,,,,,,,,,Oui,Oui,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,4,,,,,,720 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,455.926 €,Non,"Avenue Paul Gilson, 49
1601 - Ruisbroek",9686,,,,,,,,,,,,,,,,,Non,,,,Non,,,,,Non,Autre type de zone,18.24 m,,,,,Non,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
