,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Année de construction,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de douche,Toilettes,Cave,Meublé,"Eau, gaz & électricité",Terrasse,Piscine,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Double vitrage,À partir de,État du bâtiment,Dressing,Grenier,Raccordement à l'égout,Pompe à chaleur,Bureau,Largeur de la façade à rue,Largeur du terrain à rue,Jardin,Orientation du jardin,Type d’environnement,Surface de bureau,Surface de l'espace professionnel,Parlophone,Accès sécurisé / alarme,Revenu cadastral,Référence externe,Disponible le,Visite virtuelle,Salon,Porte blindée,Orientation de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Interphone vidéo,Type de construction,Surface constructible totale au sol,Obligation de construire,Niveau E (performance énergétique globale),Panneaux solaires,Surface du jardin,Surface de la terrasse,Espace professionnel,Panneaux photovoltaïques,Chauffe-eau commun,Surface de la cave,Combien de feux ouverts ?,Buanderie,Surface du grenier,Terrain boisé,Terrain arrière,Terrain plat,Salle à manger,Terrain à front de rue,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Nom de l'agent,Isolé,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Date de la vente,Charges mensuelles,Revenu mensuel actuel,Surface de la chambre 5
0,4,2,10,470 m²,7,2,47523 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,Zone d'intérêt paysager,1.300.000 €,Non,"Steenweg op Mol 116
2360 - OUD-TURNHOUT",4275443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Hulst,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,2,,295 m²,3,2,3918 m²,359 kWh/m²,D,201907190002179522-RES-1,Non communiqué,Non communiqué,Non,Non,Zone non inondable,Parc résidentiel,729.000 €,Non,"Bredabaan 260
2930 - Brasschaat",40728 - LIE-21-GLE-0,,Oui,Non,1970,70 m²,Équipée,16 m²,19 m²,16 m²,10 m²,10 m²,1,4,Oui,Non,Oui,Oui,Oui,Non,"Oui, conforme",Gaz,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,1,185 m²,3,,152 m²,92.2 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,Non,"Orteliuskaai, 8
2000 - Antwerpen",,,Oui,Non,,,Hyper équipée,,,,,,,2,,Non,Oui,Oui,,Non,,Gaz,Oui,À définir,Excellent état,Non,Oui,Connecté,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,372 m²,4,2,,271 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,,715.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",39737 - LIE-21-GLE-0,,Oui,Non,,,Équipée,,,,,,,3,,Non,Oui,,Oui,Non,,Mazout,Oui,À définir,Excellent état,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,,,140 m²,3,1,539 m²,795 kWh/m²,F,20210311-0002385806-RES-1,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",219.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",39011 - LIE-21-GLE-0,,Oui,Non,1935,,,,,,,,,1,Oui,Non,Oui,,,Non,,Gaz,Oui,À définir,À rénover,,,,,,7 m,11 m,Oui,Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,1,4,270 m²,4,2,1197 m²,209 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,Zone non inondable,,785.000 €,Non,"Belgïelaan 4
2200 - Herentals",,,,,2005,33 m²,Hyper équipée,11 m²,26 m²,11 m²,,,2,3,,,Oui,Oui,Oui,,,Gaz,Oui,Après la signature de l’acte,Excellent état,,Oui,Non connecté,,Oui,15.6 m,30 m,,,"Zone d'habitat (résidentiel, urbain ou rural)",11 m²,9 m²,Oui,Oui,1.291 €,4018026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,,,213 m²,4,1,254 m²,125 kWh/m²,B,13010-g-2011/00129/ep05035/a001/d01/sc001,Non communiqué,Non communiqué,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",459.000 €,Non,"Antwerpsesteenweg 209
2390 - Westmalle",,,Oui,Oui,2012,,,,,,,,,3,,,,Oui,,,,Gaz,,À définir,Excellent état,,,,,,,,,,,,,,,1.023 €,4511923,31 décembre 2021 - 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,,,,4,2,4675 m²,306 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",548.000 €,Oui,"Antwerpsesteenweg 359
2500 - Lier",40332 - LIE-21-GLE-0,,Oui,Non,,33 m²,Équipée,,,,,,,2,Oui,Non,Oui,Oui,Oui,Non,"Oui, conforme",Mazout,Oui,Après la signature de l’acte,Bon,,,,,Oui,,,,,,,,,,2.310 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1,,130 m²,3,1,458 m²,521 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Non,Zone non inondable,,275.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",34903 - LIE-21-GLE-0,,Oui,Non,1963,25 m²,,,,,,,,1,,Non,Oui,,,Non,,Gaz,,,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
