,À partir de,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Cave,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Prix,Revenu cadastral,Immeuble de rapport,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Adresse,Année de construction,Parkings intérieurs,Visite virtuelle,Surface du salon,Combien de feux ouverts ?,Surface de l'espace professionnel,Surface de la cave,Surface du grenier,Orientation du jardin,Surface de la terrasse,Attestation de conformité des citernes à mazout,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Terrasse,Site internet,Raccordement à l'égout,Grenier,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Surface constructible totale au sol,Salles de douche,Attestation as-built,Référence externe,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Isolé,Nom de l'agent,Nombre d'annexes,Disponible le,Jardin,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Orientation de la terrasse,Nom du bien
0,À définir,Bon,5 m,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",205 m²,Oui,Oui,Équipée,14 m²,3,20 m²,16 m²,20 m²,Non,2,2,Oui,Non,Non,Oui,Non,Non,180 m²,Oui,Non,Non,Non,5 m,Oui,65 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Non,Oui,Toutes sortes,239.000 €,400 €,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,Oui,Oui,Non,Non,Zone non inondable,"Merksplassesteenweg 18
2310 - Rijkevorsel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,À rénover,,3,1,"Zone d'habitat (résidentiel, urbain ou rural)",50 m²,,,8 m²,3,14 m²,12 m²,8 m²,Non,1,1,Non,,15 m²,,,330 m²,,11 m,,,,,335 m²,,Sud,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Oui,,,,Oui,,649 €,Non,"Geelsebaan 1 bus7
2460 - Kasterlee",Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",BRE/25508,1966,1,150 m²,1,Équipée,8 m²,25 m²,Non,15 m²,Non communiqué,Gaz,Oui,249.500 €,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,À rafraîchir,4.5 m,2,,Urbain,155 m²,,,Semi-équipée,,3,20 m²,12 m²,,,1,1,,,,,,,84 m²,,,,,,Oui,,,,,,,,,,,,,386 kWh/m²,D,2429740,Non communiqué,Non communiqué,,,,,,Oui,,199.000 €,339 €,Non,,Non,Non,Non,Zone non inondable,"Gasthuisstraat 21
2340 - Beerse",1930,,,28 m²,,,,32 m²,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,4392136,,,,,,,,,,,,,,,,,,,,,,
4,,Bon,,2,,,Oui,2,,,,1,,,,,1,Non,,Non,,,Non,52 m²,Connecté,,,,,,392 kWh/m²,,,,,,,,,,,,,D,20180102-0000023938-7,Non communiqué,Non communiqué,Oui,,,,,,Oui,,86 €,Non,"PARKLAAN 46
2300 - Turnhout",Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",04/14213,1930,,95 m²,,,,,,,,,,170.000 €,,,Oui,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,,,2,,Urbain,2,,,,,1,,,,,Oui,,,,,Oui,,,Oui,,,,,,Oui,,,,,,,,,,,,,C,20210425-0002406427-RES-1,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,623 €,Non,"Vrijheid 8
2370 - Arendonk",Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",4501420,1928,,179 m²,,,,,,,,,,249.000 €,254 kWh/m²,,,107 m²,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,Bon,,4,3,"Zone d'habitat (résidentiel, urbain ou rural)",423 m²,,Oui,,,5,28 m²,23 m²,19 m²,,1,,,Oui,,Oui,,,1994 m²,,,,,25 m,,1500 m²,,,,,Oui,,,,,,,586 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Mazout,,,,,Oui,,649.000 €,3.016 €,Non,Oui,Oui,Non,Non,Zone non inondable,"Graatakker 91
2300 - Turnhout",1952,1,,45 m²,,,,45 m²,,,"Oui, conforme",,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,3844389,,,21 m²,36 m²,,,,,,,,,,,,,,,,,,
7,À définir,Excellent état,,4,2,Pays,300 m²,,Oui,Équipée,19 m²,5,35 m²,21 m²,13 m²,,1,2,,Oui,,Oui,Non,,1500 m²,,,,,,Oui,1300 m²,,Non,,,Oui,,,,,,,289 kWh/m²,C,2383677,Non communiqué,Non communiqué,Gaz,,,,,Oui,,649.000 €,,Non,Oui,Non,Oui,,Zone non inondable,"Kempenlaan 5
2300 - Turnhout",1968,,,52 m²,,75 m²,,,,,,,Zone commerciale industrielle,Oui,4433030,,,13 m²,10 m²,12 m²,,,,,,,,,,,,,,,,,
8,À définir,À rafraîchir,,2,2,Urbain,246 m²,,,Pas équipée,,4,,,,,1,1,,,,,,,145 m²,,,,,,Oui,,,,,,,,,,,,,Non communiqué,Non communiqué,2387499,Non communiqué,Non communiqué,Gaz,,,,,Oui,,199.000 €,,Oui,Oui,,Non,,Zone non inondable,"Kempenlaan 5
2300 - Turnhout",1935,1,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,4395019,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,,,2,,,30 m²,,,9 m²,3,9 m²,17 m²,13 m²,1,,2,Oui,,,,Oui,,,Oui,,,,,,275 kWh/m²,,,,,,,,,,,,,C,20210725-0002444926-RES-1,Non communiqué,Non communiqué,Gaz,Non,,,,,,,1.033 €,Non,"Vrijheid 8
2370 - Arendonk",,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,4495926,1955,,178 m²,Équipée,,,,,,,,,255.000 €,,,,210 m²,,,,,,,,,,,,,,,,,,,,
