,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Salles de douche,Surface de bureau,Bureau,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Adresse,Site internet,Visite virtuelle,Immeuble de rapport,Disponible le,Toilettes,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Piscine,Largeur de la façade à rue,Surface de la cave,Largeur du terrain à rue,Niveau E (performance énergétique globale),Charges mensuelles,Revenu cadastral,Référence externe,Pourcentage loué,Revenu mensuel actuel,Nom de l'agent,Surface de la chambre 5,Attestation as-built,Interphone vidéo,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accès sécurisé / alarme,Climatisation,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Surface constructible totale au sol,Type de construction,Autorisation de lotissement,Jardin,Terrasse,Salon,Surface de l'espace professionnel,Type de zone inondable,Droit d'achat prioritaire possible,Salle à manger,Grenier,Attestation de conformité des citernes à mazout,Buanderie,Description libre du PEB,Nom du bien,Surface du grenier,Isolé,Obligation de construire,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
0,Selon le locataire,ULB Cimetière d'Ixelles,1950,Bon,2,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",295 m²,60 m²,1,Équipée,25 m²,4,45 m²,18 m²,18 m²,12 m²,1,1,25 m²,Oui,Oui,Non,156 m²,Connecté,Oui,18 m²,Sud,12 m²,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",940.000 €,"Rue de l'Escrime 25
1190 - Bruxelles",Lucidi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,,,,30 kWh/m²,"Rue Joseph Hazard 35
1180 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,,1930,Bon,3,,,Isolé,370 m²,,,Semi-équipée,3 m²,8,,,,,3,3,,,Oui,Non,,Connecté,Oui,79 m²,,6 m²,,465 kWh/m²,G,20201026-0000577242-01-9,93 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,925.000 €,"rue Edison 37
1190 - Bruxelles",4518773,,Non,14 juillet 2021 - 00:00,3,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,1925,Bon,1,,,"Zone d'habitat (résidentiel, urbain ou rural)",115 m²,,,,,3,15 m²,15 m²,10 m²,,1,,,,,,80 m²,,,,,,,43 kWh/m²,A,20210531-0000589830-01-5 / 20210531-0000589831-01-3,81 kg CO₂/m²,Non communiqué,Gaz,,,,,279.000 €,"Avenue Louise 390
1050 - Ixelles",,,Oui,,,,,,,6 m,6 m²,6 m,403,20 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,Ixelles,1954,À rafraîchir,2,3,,,150 m²,27 m²,,,,4,,,,,1,,,Non,Oui,,,,,,,5 m²,,356 kWh/m²,G,20210612-0000590603-01-1,70 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,450.000 €,"Rue Gérard 50
1040 - Etterbeek",,,Non,,,,,,,5 m,,,,,1.092 €,764/4990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,,1900,Excellent état,2,,,,,,,Équipée,,7,,,,,7,7,,,,Non,200 m²,Connecté,Oui,,,,,248 kWh/m²,E,2016072600003489150106,53 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,900.000 €,"chaussée de Louvain 490
1380 - Lasne",,,Oui,,7,,,Oui,,,,,,,1.304 €,,100,4365,Saint Remy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,,,Bon,2,,,,284 m²,,,Semi-équipée,,6,15 m²,17 m²,15 m²,17 m²,,7,,Oui,,Oui,180 m²,Connecté,Oui,,,42 m²,Nord,228 kWh/m²,E,20110528-0000000956-01-6,74 kg CO₂/m²,Non communiqué,,Oui,,,Zone d'habitat mixte (habitat & activité économique),995.000 €,"rue Émile Feron 153
1060 - St-Gilles",Yuri Moreno,,Oui,,8,,,,,,60 m²,,,,2.585 €,,,,,17 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,1898,Bon,2,,,,300 m²,,,,,10,,,,,,,,,,Non,285 m²,,,180 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,1.100.000 €,"Chaussée d'Alsemberg 212
1190 - Forest",1699 - 1102,,Oui,,,,,,,,,,,,2.035 €,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,À rénover,2,,,,522 m²,,,,,9,,,,,,,,,,,168 m²,Connecté,Oui,,,,,217 kWh/m²,E,Non communiqué,43 kg CO₂/m²,Non communiqué,Gaz,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",950.000 €,"Rue de Hennin 9
1050 - Ixelles",,,Oui,,,,,,,7.2 m,,7.22 m,,,,,80,3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,Bon,2,,,,350 m²,,,Équipée,,5,,,,,,4,,,Oui,Non,117 m²,,Oui,,,,,415 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,1.250.000 €,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",3947 - 1978,,Oui,,5,,,,,,,6.5 m,,,2.181 €,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Après la signature de l’acte,Churchill/Brugmann/Vanderkindere,1910,Fraîchement rénové,2,,,"Zone d'habitat (résidentiel, urbain ou rural)",430 m²,,,Hyper équipée,,6,,,,,5,,,,,Non,280 m²,Connecté,Oui,190 m²,Est,15 m²,Est,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,,,1.989.000 €,"Rue Engeland 332
1180 - Uccle",,,Oui,,5,,,,,6 m,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
