,À partir de,Année de construction,Salon,Type de cuisine,Chambres,Salles de bains,Grenier,Surface du terrain,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Nom de l'agent,Procédure pour violation de la réglementation urbanistique,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Combien de feux ouverts ?,Toilettes,Bureau,Meublé,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Accès sécurisé / alarme,Attestation as-built,Type de chauffage,Double vitrage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Site internet,Type d’environnement,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la terrasse,Dressing,Cave,Raccordement à l'égout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Salle à manger,Buanderie,Espace professionnel,Surface du grenier,Isolé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Chauffe-eau commun,Type de construction,Visite virtuelle,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Orientation de la terrasse,Nombre d'annexes,Salles de douche,Surface de bureau,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Obligation de construire,Référence externe,Surface constructible totale au sol,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Disponible le,Charges mensuelles
0,Après la signature de l’acte,1994,Oui,Équipée,4,1,Oui,1566 m²,Oui,302 kWh/m²,D,20210906-0002460646-RES-2,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,478.000 €,993 €,Non,"Sint-Rochusstraat 3
2330 - Merksplas",Sonja WOUTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1986,,Équipée,5,2,,1786 m²,Oui,371 kWh/m²,D,20210630-0002435845-RES-1,Non communiqué,Non communiqué,Oui,Oui,Non,Zone non inondable,579.000 €,1.839 €,Non,"Bredabaan 260
2930 - Brasschaat",,,Bon,20 m,4,2,2,370 m²,1,3,Oui,Non,40 m,Oui,Oui,Nord,Oui,Non,Électrique,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",33522 - MAL-21-SVR-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,1989,,Équipée,2,1,,2732 m²,,285 kWh/m²,C,2213415,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,695.000 €,,Non,"Bredabaan 260
2930 - Brasschaat",,Non,Excellent état,,4,1,,215 m²,1,2,,Non,,Oui,Oui,Est,,Non,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",39001 - TUR-21-AGH-0,"Zone d'habitat (résidentiel, urbain ou rural)",56 m²,22 m²,22 m²,14 m²,36 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,À définir,,,Équipée,5,,,924 m²,Oui,142 kWh/m²,B,20210208-0002370401-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone non inondable,499.000 €,1.531 €,Non,"Orteliuskaai, 8
2000 - Antwerpen",,Non,Bon,,,1,1,320 m²,,2,,Non,,Oui,Oui,Ouest,,Non,Mazout,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,Oui,Oui,Connecté,Non,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1974,Oui,,3,1,,437 m²,,277 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,350.000 €,,Non,,,,Excellent état,,2,,,135 m²,,1,Non,Non,,Oui,,,Non,,Gaz,Oui,,,,,,,,1 m²,Non,,,Non,Non,Non,Oui,Oui,Non,20 m²,Oui,Non,Non,Non,Non,Non,1 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,,
6,À définir,2012,,,4,1,,314 m²,,132 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,Zone non inondable,385.000 €,,Non,,,,Bon,,2,,,156 m²,,2,Non,Non,,Non,,,,,Gaz,Oui,,,,,,,,,Non,,,Non,Non,Non,,,Non,,,Non,Non,Non,Non,Non,,,,,,,,,,,,Non,Toutes sortes,,,,,,,,,,,,,,,,,,
7,,1835,,Équipée,4,2,,,Oui,371 kWh/m²,D,20210302-0002380925-RES-2,Non communiqué,Non communiqué,,Oui,Non,Zone non inondable,399.000 €,617 €,Non,"Lierselei 13/1
2390 - Oostmalle",,,Bon,,3,2,,379 m²,,3,,Non,,Oui,Oui,Sud-est,,Non,Gaz,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",25148 - MAL-21-SVR-0,Pays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1991,,24 m²,18 m²,2,,374 kWh/m²,,D,Non communiqué,Non communiqué,Non communiqué,Non,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Non,,"Parklaan 101
2300 - Turnhout",19179 - 126621282,,Zone non inondable,Bon,,4,2,,50 m²,,Non,,1432 m²,,,,,,Gaz,Oui,Oui,499.000 €,,,Équipée,5,17 m²,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245 m²,13 m²,10 m²,1,,,,,,,,,,,,,,
9,À définir,1964,,Semi-équipée,3,1,,454 m²,,598 kWh/m²,F,20210820-0002454141-RES-1,Non communiqué,Non communiqué,,,,,270.000 €,954 €,Non,,,,À rénover,15 m,4,1,4,135 m²,,2,Non,Non,20 m,Oui,,Sud,Non,,Gaz,Oui,,,"Zone d'habitat (résidentiel, urbain ou rural)",35 m²,10 m²,13 m²,13 m²,30 m²,Non,,Connecté,Non,Non,Non,,,Non,,,Non,Oui,Non,Non,Oui,100 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Toutes sortes,,12 m²,,,10 m²,Sud,1,,,,,,,,,,,
