,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Grenier,Meublé,Surface du terrain,Terrasse,Ascenseur,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Visite virtuelle,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Toilettes,Attestation as-built,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Quartier ou lieu-dit,Largeur de la façade à rue,"Eau, gaz & électricité",Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salon,Mise à prix,Revenu cadastral,Raccordement à l'égout,Combien de feux ouverts ?,Surface de bureau,Bureau,Largeur du terrain à rue,Surface du jardin,Orientation du jardin,Type d’environnement,Dressing,Jardin,Concierge,Accessible aux personnes avec un handicap,Attestation de conformité des citernes à mazout,Pompe à chaleur,Obligation de construire,Niveau E (performance énergétique globale),Salle à manger,Salles de douche,Porte blindée,Surface constructible totale au sol,Buanderie,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Surface de l'espace professionnel,Surface du grenier,Surface de la chambre 5,Surface de la terrasse,Orientation de la terrasse,Surface de la cave,Isolé,Nombre d'annexes,Climatisation,Jacuzzi,Sauna,Internet,Disponible le,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Nom du bien,Pourcentage loué,Revenu mensuel actuel
0,Après la signature de l’acte,2007,Excellent état,4,2,2,1007 m²,Hyper équipée,7,5,Oui,Oui,Non,77055 m²,Oui,Non,Oui,Oui,Oui,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,5.900.000 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4419885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Oui,Oui,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Oui,"Kempenlaan 32
2300 - Turnhout",,Oui,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Bon,3,1,,36 m²,18 m²,24 m²,3,,,295 m²,220 kWh/m²,,,,,,,C,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,Non,"Parklaan 101
2300 - Turnhout",19374 - 126621475,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",155 m²,Équipée,4,14 m²,11 m²,7 m²,1,Non,Gaz,295.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,,,4,2,10,400 m²,Américaine hyper-équipée,3,1,,,Non,64800 m²,Oui,Non,Oui,Oui,,,166 kWh/m²,B,20170415-0001952330-1,Non communiqué,Non communiqué,Gaz,Oui,1.350.000 €,Oui,"Hoogstraat 20
9340 - Lede",,Oui,Non,Non,,Zone d'inondation reconnue,,,,,,,,,,Zone agricole,Limburg,20 m,Oui,4445697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1964,4,,1,1,193 m²,Équipée,1,966 m²,Oui,,,,376 kWh/m²,D,,,,,,20210215-0002373340-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,Jelle KOUWS,,,Non,Zone non inondable,179.000 €,,624 €,Oui,,,,,,,,,,,,,,Non,"nl :
elke zat. van 10u-12u, vanaf 25/9 tem 16/10 (zonder afspraak)",Après la signature de l’acte,3,Non,"Cingel, 14
2350 - VOSSELAAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,,,2,1,1,110 m²,,3,1,Oui,Oui,Non,,Oui,,,,,,530 kWh/m²,F,2444326,Non communiqué,Non communiqué,Gaz,Oui,239.000 €,Non,"Rubensstraat 141
2300 - Turnhout",4450212,,,Non,,Zone non inondable,,26 m²,7 m²,13 m²,13 m²,5 m²,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,,,,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,1850,Fraîchement rénové,4,,,457 m²,Semi-équipée,2,1,,,Non,825 m²,,,,,,,269 kWh/m²,C,2467997-RES-1,Non communiqué,Non communiqué,Gaz,Oui,469.000 €,Non,"Kempenlaan 32
2300 - Turnhout",39037 - TUR-21-KWO-0,Oui,Non,Non,Non,Zone non inondable,,42 m²,9 m²,18 m²,13 m²,,,2,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,22 m,Oui,,,,,,,,,1,18 m²,Oui,26 m,578 m²,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,1973,À rafraîchir,,,,132 m²,,3,1,,,Non,199 m²,,,,,,,668 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Électrique,,249.000 €,Non,"Kempenlaan 32
2300 - Turnhout",34876 - TUR-21-KWO-0,,,Non,,Zone non inondable,,,,,,,,2,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,1990,Bon,4,1,,256 m²,Équipée,5,1,,,Non,1046 m²,,Non,Non,Oui,Non,Non,223 kWh/m²,C,20120919-0001210707-00000002-0,Non communiqué,Non communiqué,Gaz,Oui,599.000 €,Non,"Grote Markt 67/4 (eerste verdieping)
2300 - Turnhout",2117695,Oui,,Non,,,,,,,,,,2,,"Zone d'habitat (résidentiel, urbain ou rural)",,10 m,,,,,,,,919 €,,1,,Non,16 m,,Est,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Oui,Non,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
