,À partir de,Année de construction,Largeur de la façade à rue,Nombre de façades,Salon,Salle à manger,Chambres,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Grenier,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Obligation de construire,Autorisation de lotissement,Prix,Immeuble de rapport,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Adresse,Surface habitable,Terrasse,Site internet,Parkings extérieurs,Type d’environnement,Type de cuisine,Raccordement à l'égout,Surface du jardin,Type de zone inondable,Référence externe,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,État du bâtiment,Surface du grenier,Jardin,Orientation du jardin,Attestation de conformité des citernes à mazout,Type de chauffage,Parkings intérieurs,Attestation as-built,Revenu cadastral,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Cave,Orientation de la terrasse,Niveau E (performance énergétique globale),Salles de douche,Largeur du terrain à rue,Surface de la terrasse,Visite virtuelle,Surface de la chambre 4,Surface de la chambre 5,Surface de la cave,Surface constructible totale au sol,Surface de bureau,Parlophone,Piscine,Accès sécurisé / alarme,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Interphone vidéo,Nom du bien,Quartier ou lieu-dit,Combien de feux ouverts ?,Surface de l'espace professionnel,Nombre d'annexes,Climatisation,Jacuzzi,Sauna,Internet,Disponible le,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Isolé
0,À définir,2022,10 m,3,Oui,Oui,3,Non,1,2,Oui,Non,Non,Oui,Non,Non,433 m²,Oui,Non,Non,Oui,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,Oui,Non,Non,Oui,Toutes sortes,Oui,Oui,334.388 €,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,Non,,Oui,Non,Non,"Markt 20
2440 - Geel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,4,,,2,,2,,,,,,,,653 m²,,,,,,191 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,335.000 €,Non,,,"Zuiderring 106
2400 - Mol",150 m²,Oui,4408755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,2,,,4,,2,,,,,,,,456 m²,,,,,,157 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,279.000 €,Non,,,"Zuiderring 106
2400 - Mol",,,4527856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,3,,,3,,1,,,,,,,,538 m²,,,,,,288 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,219.000 €,Non,,,"Zuiderring 106
2400 - Mol",,Oui,4526600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,3,,,3,,1,,,,,,,,245 m²,,,,,,137 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,285.000 €,Non,,,"Zuiderring 106
2400 - Mol",,,4498703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,4,,,2,,,,,,,,,,8700 m²,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,775.000 €,Non,,,"Zuiderring 106
2400 - Mol",,Oui,4313455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,2022,,3,,,3,,1,2,,,,,Non,,429 m²,,,,,Oui,Non communiqué,Non communiqué,in aanvraag,Non communiqué,Non communiqué,,,Oui,,Oui,,,,,395.000 €,Non,,,"Bisschopslaan 16
2340 - Beerse",144 m²,Oui,,2,Isolé,Américaine hyper-équipée,Connecté,200 m²,Zone non inondable,4500742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,2021,,3,Oui,,3,,1,2,,,,,Non,,480 m²,,,,,Oui,Non communiqué,Non communiqué,in aanvraag,Non communiqué,Non communiqué,,,Oui,,Oui,Oui,,,,395.000 €,Non,Non,,"Bisschopslaan 16
2340 - Beerse",144 m²,Oui,,2,Isolé,Américaine hyper-équipée,Connecté,320 m²,Zone non inondable,4499898,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,2021,,2,,,3,Non,,,,Non,,,Non,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,,,Non,Oui,,Non,Oui,299.000 €,Non,Non,Non,"Herenthoutseweg 5
2200 - Herentals",,,TV-LANzn,,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",Excellent état,50 m²,Oui,Sud,Non,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
