,Année de construction,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Niveau E (performance énergétique globale),Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Quartier ou lieu-dit,À partir de,État du bâtiment,Type d’environnement,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Salles de douche,Buanderie,Bureau,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Orientation du jardin,Orientation de la terrasse,Nombre d'annexes,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Obligation de construire,Revenu cadastral,Surface de la chambre 4,Type de construction,Combien de feux ouverts ?,Surface de bureau,Cave,Surface constructible totale au sol,Jardin,Visite virtuelle,Salon,Salle à manger,Grenier,Terrasse,Surface de l'espace professionnel,Référence externe,Surface de la chambre 5,Nom de l'agent,Nom du bien,Disponible le
0,2021,7 m,3,1,2,178 m²,47 m²,Équipée,3,1,2,Non,400 m²,10 m,260 m²,15 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,30,Gaz,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",332.500 €,Non,"Veltwijcklaan 5
2180 - Ekeren",19928 - SIE/21/017/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,Oui,Non,Non,Zone non inondable,,,Non,"Merksplassesteenweg 18
2310 - Rijkevorsel",,Hulst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2021,7 m,3,1,2,178 m²,47 m²,Équipée,3,1,2,Non,450 m²,10 m,260 m²,15 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,30,Gaz,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",335.500 €,Non,"Veltwijcklaan 5
2180 - Ekeren",19927 - SIE/21/017/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021,7 m,3,1,2,200 m²,66 m²,Équipée,3,1,2,Non,450 m²,10 m,260 m²,15 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,30,Gaz,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",343.500 €,Non,"Veltwijcklaan 5
2180 - Ekeren",19926 - SIE/21/017/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1955,85 m,4,,4,160 m²,72 m²,Équipée,3,1,2,Non,600 m²,15 m,400 m²,48 m²,377 kWh/m²,D,20170505-0001958281-1,Non communiqué,Non communiqué,,,Mazout,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",330.000 €,Non,,,,Après la signature de l’acte,À rafraîchir,"Zone d'habitat (résidentiel, urbain ou rural)",14 m²,14 m²,14 m²,9 m²,Non,1,Oui,Non,Non,7 m²,37 m²,Oui,Non,Oui,Non,Non,Non,Connecté,Oui,Nord-ouest,Nord-ouest,2,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,"Oui, conforme",Non,Non,Non,Non,Non,547 €,,,,,,,,,,,,,,,,,,
5,2016,12 m,3,1,2,190 m²,35 m²,Hyper équipée,4,1,2,Non,403 m²,12 m,216 m²,16 m²,118 kWh/m²,B,13008-G-2013/00487/EP05736/A001/D01/SD001,Non communiqué,Non communiqué,,70,Gaz,Oui,Oui,Non,Non,Non,Zone non inondable,,439.000 €,Non,,,,À définir,Excellent état,"Zone d'habitat (résidentiel, urbain ou rural)",15 m²,44 m²,16 m²,11 m²,Non,,Oui,Non,Non,,9 m²,Oui,Non,Non,Non,Non,Non,Connecté,Oui,Sud-ouest,Sud-ouest,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Non,Non,Non,Non,,814 €,11 m²,Toutes sortes,,,,,,,,,,,,,,,,
6,2008,,4,2,8,413 m²,49 m²,Équipée,4,2,3,Non,1577 m²,34 m,,50 m²,132 kWh/m²,B,2067174,Non communiqué,Non communiqué,"Oui, conforme",,Gaz,Oui,Oui,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",690.000 €,Non,,,,,Excellent état,Pays,25 m²,,,,Oui,2,Oui,Oui,Oui,,84 m²,Oui,Non,Oui,Non,Non,Oui,,Oui,,Sud-ouest,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,,Non,Oui,Oui,Non,,2.230 €,,,1,11 m²,,,,,,,,,,,,,,
7,1984,11.16 m,4,,6,189 m²,31 m²,Hyper équipée,3,1,1,Non,1304 m²,25 m,,,427 kWh/m²,E,20210713-0002441229-RES-1,Non communiqué,Non communiqué,,,Gaz,Oui,,,,,Zone non inondable,,399.900 €,Non,"Pas 151
2440 - Geel",4401179,,Selon le locataire,Bon,Pays,17 m²,18 m²,9 m²,9 m²,,,,Oui,,,189 m²,,,,,,,Non connecté,Oui,,,,,,,,,,,,,,,,,,,,,1.214 €,,,,27 m²,Oui,215 m²,,,,,,,,,,,,
8,,,,,,,,,2,1,,Non,399 m²,,,,416 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,Mazout,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",210.000 €,Non,"Markt 20
2440 - Geel",40860 - GEE-21-SDP-0,,Après la signature de l’acte,À rénover,,,,,,,,,,,,,,,,,,,,Oui,Est,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,,,,,
9,1994,,4,1,,260 m²,,,8,1,3,Non,691 m²,,,,332 kWh/m²,D,Certificaat-20210324-0002392073-RES-1.pdf,Non communiqué,Non communiqué,"Oui, conforme",,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",290.000 €,Oui,"Markt 20
2440 - Geel",37163 - GEE-21-JVR-0,,Après la signature de l’acte,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
