,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Terrain à front de rue,Terrain arrière,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Largeur de la façade à rue,Visite virtuelle,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Cave,Raccordement à l'égout,Surface du jardin,Surface constructible totale au sol,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Salle à manger,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Bureau,Grenier,Porte blindée,Terrasse,Référence externe,Combien de feux ouverts ?,Dressing,Buanderie,Espace professionnel,Surface de la cave,Surface du grenier,Terrain boisé,Terrain plat,Nombre d'annexes,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Orientation de la terrasse,Salles de douche,Surface de l'espace professionnel,Quartier ou lieu-dit,Obligation de construire,Salon,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Isolé,Disponible le,Niveau E (performance énergétique globale),Nom du bien
0,À définir,1992,Excellent état,4,2,3,"Zone d'habitat (résidentiel, urbain ou rural)",300 m²,Équipée,3,1,2,Non,2392 m²,Oui,Oui,35 m,Oui,Oui,Sud,37 m²,Oui,301 kWh/m²,C,20201123-0002342816-RES-1,Non communiqué,Non communiqué,Non,Mazout,Oui,Oui,Non,Zone non inondable,Parc résidentiel,519.000 €,1.368 €,Non,"Bredabaan 260
2930 - Brasschaat",40776 - TUR-21-KWO-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,1962,À rénover,4,1,2,Urbain,44 m²,16 m²,16 m²,1,Oui,743 m²,11.5 m,,,Connecté,493 m²,,,,,F,20210321-0002390441-RES-1,Non communiqué,Non communiqué,Non,Mazout,Oui,Oui,128 m²,Non,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,476 €,Non,"Sint Jobsstraat 3
2200 - Herentals",4312386,,7.5 m,128 m²,Semi-équipée,3,16 m²,8 m²,1,Non,Non,652 kWh/m²,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,À définir,1954,,4,2,15,,260 m²,Américaine équipée,5,1,,,15000 m²,,,,Non,,,,,227 kWh/m²,C,20210319-0002390005-RES-1,Non communiqué,Non communiqué,,Mazout,Oui,Oui,Non,Zone non inondable,,595.000 €,2.117 €,Non,"Hoogstraat 20
9340 - Lede",,,,25 m²,,14 m²,12 m²,10 m²,,,,,Non,,Oui,9 m²,8 m²,10 m²,Oui,Oui,Non,Oui,4498130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,1942,Bon,4,,,,,,3,1,,Non,1483 m²,,,,Oui,Oui,Sud-ouest,,,659 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Mazout,,Oui,Non,,Zone agricole,319.000 €,,Non,"Kempenlaan 32
2300 - Turnhout",37114 - TUR-21-GME-1,,,,15 m²,17 m²,14 m²,10 m²,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,1974,Bon,4,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,Équipée,3,1,,Non,1100 m²,Oui,Oui,16 m,Oui,,,,Non,612 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,,Zone inondable potentielle,,310.000 €,1.000 €,Non,,,10 m,,16 m²,16 m²,12 m²,12 m²,15 m²,,,700 m²,,,,Oui,,,,Non,,Non,,,1,Non,Oui,Non,50 m²,150 m²,Non,Oui,1,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,"Oui, conforme",Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,
5,À définir,1955,Bon,4,1,2,Urbain,32 m²,14 m²,17 m²,1,Oui,,19 m,,,Connecté,531 kWh/m²,,,,,F,20210923-0002468218-RES-1,Non communiqué,Non communiqué,Gaz,,Oui,Oui,127 m²,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",319.000 €,532 €,Non,"Vrijheid 8
2370 - Arendonk",4518825,,9 m,144 m²,Américaine équipée,3,13 m²,13 m²,1,Oui,Oui,,Non,Non,,,,,,,740 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,2013,Excellent état,,3,,,90 m²,30 m²,2,3,Oui,Non,50 m,,,Non connecté,Oui,Sud-ouest,Oui,,110 kWh/m²,B,13036-G-5157/EP03168/K022/D01/SD001,Non communiqué,Non communiqué,Oui,,,Oui,Villa,Non,Parc résidentiel,2.195.000 €,3.041 €,Non,"PARKLAAN 46
2300 - Turnhout",04/12362,,26 m,520 m²,Équipée,3,,,,,Oui,,,Non,Zone non inondable,,,,,190 m²,,Non,Non,,,,,,Non,,,,,,Non,Non,Oui,Non,,Oui,,,,,,,,,Non,,,,,,,,,,,,,,
7,À définir,,Bon,,,,,164 m²,Équipée,3,,2,Non,227 m²,,,,Oui,Oui,Sud-ouest,,,318 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,542 €,Non,"Statiestraat 47
2400 - Mol",,,,,,,,,Oui,Connecté,,,Non,Non,,,,,,Oui,,Oui,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,Sud-ouest,,,,,,,,,,,,,
8,Après la signature de l’acte,2007,Excellent état,4,1,5,Pays,290 m²,Hyper équipée,4,,3,,1196 m²,,,22.68 m,,,,,,111 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,,,,499.000 €,,Oui,"Markt 5
2480 - Dessel",4454762,12.3 m,,40 m²,14 m²,13 m²,13 m²,29 m²,,,,145 m²,,,,14 m²,,14 m²,Oui,Oui,,Oui,,,,,,,,,,,,,,,Oui,,,,,,,,,Oui,,,,1,30 m²,,,,,,,,,,,
9,Selon le locataire,1976,Bon,4,2,6,,6,,16 m²,3,Non,2023 m²,44 m,,,Oui,Oui,,,,,C,20150608-0001766891-1,Non communiqué,Non communiqué,Gaz,,Oui,Oui,Oui,Non,Parc résidentiel,785.000 €,1.497 €,Non,"Grote Markt 22
2300 - Turnhout",4492475,,23 m,401 m²,,,13 m²,29 m²,26 m²,,,,,Non,Zone non inondable,,21 m²,2,,,,,261 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Retie,,,,,,,,,,
10,Après la signature de l’acte,1970,À rénover,4,1,4,Urbain,215 m²,Équipée,4,2,2,,969 m²,,,16 m,Non,,,35 m²,,746 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,,,315.000 €,1.137 €,Non,"Markt 5
2480 - Dessel",4402355,12.45 m,,,,26 m²,15 m²,12 m²,Oui,Connecté,,121 m²,,,,12 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
11,Selon le locataire,1959,À rafraîchir,4,1,4,,130 m²,Semi-équipée,3,1,1,Non,482 m²,,,14 m,Oui,,,,,455 kWh/m²,E,20210615-0002429575-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,,225.000 €,,Non,"Markt 5
2480 - Dessel",4396446,6 m,,51 m²,26 m²,,,,Oui,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
12,À définir,1895,Bon,2,1,5,Pays,Américaine semi-équipée,4,37 m²,2,Oui,20614 m²,Oui,,,,,,,,,D,202110811-8,Non communiqué,Non communiqué,Gaz,,Oui,Oui,Non,Non,Zone agricole,719.000 €,475 €,Non,"Grote Markt 22
2300 - Turnhout",4491104,,,350 m²,,,12 m²,10 m²,29 m²,Oui,,,,Oui,Zone non inondable,,2,,,,Non,,383 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oud-Turnhout,,,,,,,,,,
