,À partir de,Année de construction,Nombre de façades,Parkings intérieurs,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Salles de bains,Cave,Meublé,Porte blindée,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Terrasse,Accès sécurisé / alarme,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,Surface du salon,Toilettes,Orientation du jardin,Surface de la terrasse,Niveau E (performance énergétique globale),État du bâtiment,Parkings extérieurs,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Buanderie,Bureau,Surface du grenier,Jardin,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Obligation de construire,Revenu cadastral,Lieu de la vente,Séance unique,Modalités de visite,Surface de la cave,Panneaux solaires,Mise à prix,Salon,Grenier,Largeur de la façade à rue,Visite virtuelle,Surface de la chambre 4,Surface de la chambre 5,Surface de bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,Surface constructible totale au sol,Combien de feux ouverts ?,Orientation de la terrasse,Ascenseur,Climatisation,Sauna,Piscine,Nom de l'agent,Salle à manger,Largeur du terrain à rue,Espace professionnel,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Salles de douche,Disponible le,Concierge,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Jacuzzi,Internet,Surface de l'espace professionnel,Nombre d'annexes,Isolé,Nom du bien,Référence externe,Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Quartier ou lieu-dit
0,À définir,2015,4,2,"Zone d'habitat (résidentiel, urbain ou rural)",800 m²,Hyper équipée,8,5,Oui,Non,Oui,3644 m²,Oui,2200 m²,Oui,Oui,67 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",2.875.000 €,Oui,"Bredabaan 260
2930 - Brasschaat",37085 - HEI-21-FVD-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,,,,Oui,"Antwerpsesteenweg 359
2500 - Lier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2021,2,1,,162 m²,,3,1,,Non,,167 m²,Oui,91 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",336.000 €,Non,"Antwerpsesteenweg 359
2500 - Lier",34787 - NWB-21-DHE-2,18 m²,2,Sud-est,14 m²,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,1972,3,1,,150 m²,Équipée,3,1,,Non,,299 m²,,,,,427 kWh/m²,E,20150104-0001719803-1,Non communiqué,Non communiqué,Non,Oui,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,Non,"Mechelbaan 500
2580 - Putte",spir1806,22 m²,2,Sud-ouest,38 m²,,Bon,2,6 m²,14 m²,12 m²,8 m²,Non,Oui,Non,30 m²,Oui,Non,Gaz,Non,Non,681 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1938,À rénover,98 m²,,,Pas équipée,2,1,1,,,,,,,,,F,20210708-0002439575-RES-1,Non communiqué,Non communiqué,Non,,,,Non,Zone non inondable,,140.000 €,,,"Mechelsesteenweg, 92
2500 - LIER",Charlotte LEYSEN,,,25 m²,14 m²,1059 kWh/m²,,2,,,,,,,,,,Sud-est,,,,,Non,Non,"nl :
Het goed zal door de kandidaat-kopers kunnen bezocht worden elke woensdag van 16 tot 18 uur en elke zaterdag van 14 tot 16 uur, en dit vanaf woensdag 13 oktober 2021 tot en met zaterdag 30 oktober 2021.",Après la signature de l’acte,Oui,Non,409 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,,2,,,91 m²,Équipée,2,1,,Non,,115 m²,,,,,227 kWh/m²,C,20210620-0002431265-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",310.000 €,Non,"Mechelbaan 500
2580 - Putte",spir1833,,1,Nord-est,,,Bon,,,,,,Non,Oui,Non,,Oui,Non,Gaz,Non,Non,265 €,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1961,À rénover,4,,,,,1,,,,,872 kWh/m²,,,,,F,20210729-0002446502-RES-1,Non communiqué,Non communiqué,Non,,,,Non,Zone non inondable,,165.000 €,,,"Mechelsesteenweg, 92
2500 - LIER",Charlotte LEYSEN,,,Oui,,,,2,,,,,,,,,,,,,,,Non,Non,"nl :
Het goed zal door de kandidaat-kopers kunnen bezocht worden elke zaterdag van 10.00 uur tot 13.00 uur, en dit vanaf zaterdag 9 oktober 2021 tot en met zaterdag 30 oktober 2021.",Après la signature de l’acte,,Non,389 €,,270 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,À définir,,2,,,90 m²,Semi-équipée,3,1,,Non,,43 m²,,,,,141 kWh/m²,B,20190412-0002150584-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",229.000 €,Non,"Mechelbaan 500
2580 - Putte",spir1685,,1,,,,Bon,,,,,,Non,,Non,,,Non,Gaz,Non,Non,300 €,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,,3,1,,154 m²,Équipée,3,1,,Non,,395 m²,,,,,613 kWh/m²,F,20190910-0002194078-RES-1,Non communiqué,Non communiqué,Non,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",255.000 €,Non,"Mechelbaan 500
2580 - Putte",spir1749,,1,Nord-est,,,À rénover,,,,,,Non,Oui,Non,,Oui,Non,Mazout,Non,Non,446 €,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,Urbain,32 m²,6 m²,10 m²,8 m²,,,,Non,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,72 m²,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",289.000 €,601 €,"Dorpsstraat 34 Bus 1
2590 - Berlaar",TB 2762,,Semi-équipée,,Non communiqué,,,À rénover,,5,13 m²,15 m²,15 m²,1,,14 m²,188 m²,Sud,,,,Non,Non,,,,,,,,,4.5 m,155 m²,16 m²,Non,Oui,Non,Non,Non,Non connecté,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
