,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Salon,Salle à manger,Chambres,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Cave,Grenier,Surface du terrain,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Adresse,Nom du bien,Surface du salon,Type de cuisine,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la cave,Surface du grenier,Meublé,Terrain à front de rue,Terrain arrière,Orientation de la terrasse,Attestation as-built,Type de zone inondable,Dressing,Porte blindée,Terrain boisé,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Procédure pour violation de la réglementation urbanistique,Immeuble de rapport,Combien de feux ouverts ?,Surface de la chambre 5,Salles de douche,Surface de bureau,Surface de l'espace professionnel,Nombre d'annexes,Site internet,Terrasse,Référence externe,Attestation de conformité des citernes à mazout,Surface constructible totale au sol,Visite virtuelle,Jardin,Obligation de construire,Quartier ou lieu-dit,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Isolé
0,Après la signature de l’acte,1900,À rénover,12 m,4,1,3,"Zone d'habitat (résidentiel, urbain ou rural)",369 m²,Oui,Oui,9,2,2,Oui,Oui,Oui,Oui,Oui,1575 m²,Oui,28 m,Connecté,Oui,960 m²,Nord-ouest,1327 kWh/m²,F,20140821-0001642605-00000002-3,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.042.000 €,699 €,"Mussenhoevelaan 101
2530 - Boechout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,1900,À rénover,8 m,3,,1,"Zone d'habitat (résidentiel, urbain ou rural)",228 m²,,Oui,4,,1,,,,,,710 m²,Oui,,Non connecté,Oui,450 m²,Nord,605 kWh/m²,F,20210605-0002425230-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",510.000 €,605 €,"Mussenhoevelaan 101
2530 - Boechout",Landhuis Pastoorshof,26 m²,Pas équipée,10 m²,27 m²,20 m²,16 m²,6 m²,32 m²,43 m²,Non,Oui,Oui,Nord,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,,À restaurer,6 m,1,,,"Zone d'habitat (résidentiel, urbain ou rural)",166 m²,Oui,Oui,3,1,1,Oui,Non,Non,,,126 m²,Oui,,Connecté,Oui,,,Non communiqué,Non communiqué,20140121-0001518274-00000005-5,Non communiqué,Non communiqué,Gaz,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",220.000 €,359 €,,,,Équipée,,,,,,,,Non,Oui,Non,,,Zone non inondable,Oui,Non,Non,9 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,403,Non,Non,Non,Non,Oui,Toutes sortes,Non,Non,,,,,,,,,,,,,,,,,,,,,,
3,Immédiatement,1842,Excellent état,20 m,4,9,15,,600 m²,,Oui,5,2,4,Oui,Oui,Oui,,,1750 m²,Oui,35 m,Connecté,Oui,1750 m²,,410 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,"Zone d'habitat (résidentiel, urbain ou rural)",1.540.000 €,2.275 €,,,50 m²,Hyper équipée,60 m²,20 m²,25 m²,20 m²,25 m²,60 m²,175 m²,,Oui,Oui,Sud,Non,Zone non inondable,,,,60 m²,,,,Oui,Oui,,,,,,,,,,,,Oui,,,Non,2,14 m²,1,35 m²,75 m²,2,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,1936,Excellent état,,2,,,Rue commerçante,124 m²,,,3,1,2,,,,Oui,,,,,,Oui,,,170 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,,"Antwerpsesteenweg 359
2500 - Lier",,,Équipée,,18 m²,14 m²,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,41059 - LIE-21-LVD-0,,,,,,,,,,,,,,,
5,,1915,Bon,,2,,2,,188 m²,,,4,1,2,,,,Oui,,233 m²,,,,,,,169 kWh/m²,B,20210910-0002462515-RES-1,Non communiqué,Non communiqué,Gaz,,,Non,,389.000 €,,"Bevelsesteenweg 40 B
2560 - Nijlen",,,Équipée,,,,,,,,Non,,,,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,Oui,,Non,Non,,,,,,,,Oui,1076 - 1654,,,,,,,,,,,,,
6,Après la signature de l’acte,1962,,7 m,2,1,,,220 m²,,,3,2,2,,Oui,,,,332 m²,,7 m,,Oui,240 m²,Sud-ouest,298 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Mazout,,,,,349.000 €,,"Oude-Godstraat 8
2650 - Edegem",,40 m²,Équipée,,,,,,,,Non,,,,Non,,,,,,,,,,,,,,,,,,,,,,Oui,,,Non,1,,,21 m²,,,,,455 - 1665571,"Oui, conforme",,,,,,,,,,,,
7,,1948,Bon,,3,,,,160 m²,,Oui,4,1,,,Oui,Oui,Oui,,189 m²,,,Connecté,Oui,,,974 kWh/m²,F,20191120-0002219307-RES-1,Non communiqué,Non communiqué,Électrique,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",225.000 €,661 €,"Heistraat 73
2610 - Wilrijk",,30 m²,,125 m²,,,,,,,Non,,,,,Zone non inondable,,Non,,,,,,,,,,,,,,974,Non,Non,Non,Non,Oui,,Non,Non,,,,5 m²,,,,,VK2021-088,,,,,,,,,,,,,
8,,1952,Bon,,3,,,,125 m²,,Oui,3,1,,,Oui,Oui,Oui,,545 m²,,,Connecté,Oui,,,413 kWh/m²,E,20210323-0002391784-RES-1,Non communiqué,Non communiqué,Gaz,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,,"Heistraat 73
2610 - Wilrijk",,,,,,,,,,,Non,,,,,Zone non inondable,,Non,,,,,,,,,,,,,,413,Non,Non,Non,Non,Oui,,Non,Non,,,,,,,,,VK2021-102,,,,,,,,,,,,,
9,À définir,1842,Fraîchement rénové,13.5 m,4,3,6,,590 m²,,Oui,5,2,4,,Oui,,,,1750 m²,,35.5 m,Connecté,Oui,1370 m²,,410 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",1.540.000 €,2.275 €,"Kapelstraat 89/1
2540 - Hove",,40 m²,Hyper équipée,30 m²,20 m²,25 m²,20 m²,25 m²,30 m²,170 m²,Non,,,,,,,,,60 m²,,Non,Non,,Oui,,,,,,,,,,,,,,,Non,,14 m²,1,25 m²,75 m²,,,,4291711,,380 m²,,,,,,,,,,,
