,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Surface habitable,Surface du salon,Surface de la cuisine,Chambres,Salles de bains,Meublé,Porte blindée,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Permis de bâtir obtenu,Visite virtuelle,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Combien de feux ouverts ?,Type de cuisine,Surface de la chambre 1,Surface de la chambre 2,Dressing,Toilettes,Buanderie,Bureau,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Type de construction,Surface constructible totale au sol,Salle à manger,Surface de la cave,Terrasse,Attestation de conformité des citernes à mazout,Surface de la chambre 3,Surface du grenier,Attestation as-built,Site internet,Surface de bureau,Surface de l'espace professionnel,Surface du jardin,Orientation du jardin,Nombre d'annexes,Cave,Salles de douche,Isolé,Jardin,Obligation de construire,Surface de la chambre 4,Quartier ou lieu-dit,Salon,Grenier,Nom de l'agent,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Revenu mensuel actuel,Surface de la chambre 5
0,Après la signature de l’acte,1936,À rénover,6 m,2,81 m²,25 m²,7 m²,2,1,Non,Non,83 m²,6 m,Non connecté,Oui,1574 kWh/m²,F,2439785-RES-1,Non communiqué,Non communiqué,1574,Gaz,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",149.000 €,188 €,Non,"Fraikinstraat 7
2200 - Herentals",2021N155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Non,Non,Non,,,,,Oui,"Antwerpsesteenweg 359
2500 - Lier",,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,,,,Non,Oui,,,,,"Vlaamse Kaai 90
2000 - Anvers",,,Non,Non communiqué,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Immédiatement,1981,Bon,6 m,3,209 m²,43 m²,13 m²,2,1,Non,Non,107 m²,6 m,Connecté,Oui,222 kWh/m²,C,20210419-0002403546-RES-1,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,,Oui,,Zone non inondable,,260.000 €,655 €,Non,,,,,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",1,Équipée,14 m²,18 m²,Non,2,Oui,Non,Non,Oui,Non,Non,Non,16 m²,Ouest,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Maison bel-étage,102 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,1964,Fraîchement rénové,,3,114 m²,14 m²,6 m²,3,1,Non,Oui,710 m²,,Connecté,Oui,Non communiqué,Non communiqué,20210916-0002464954-RES-1,Non communiqué,Non communiqué,,Mazout,Non,Non,Non,Non,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,,Non,"Fraikinstraat 7
2200 - Herentals",,,,,,,,,,,,,,,,,,,,,,,Non,Non,,Non,,,,,,,,,Oui,8 m²,Oui,"Oui, conforme",,,,,,,,,,,,,,,,,,,,,,,,,,
5,À définir,1975,Bon,7 m,3,158 m²,32 m²,21 m²,3,1,,,413 m²,10 m,Connecté,Oui,363 kWh/m²,D,20210825-0002453857-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,,Non,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",397.000 €,671 €,,"Albertkanaalstraat 7
2560 - Nijlen",,Oui,,1,,"Zone d'habitat (résidentiel, urbain ou rural)",1,Équipée,16 m²,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,10 m²,,,10 m²,26 m²,Non,Verheyen Jan,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,1990,Excellent état,20 m,4,700 m²,26 m²,14 m²,3,3,,Oui,3805 m²,38 m,Connecté,Oui,197 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,Oui,Oui,,,Oui,,Oui,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.225.000 €,,,"Markt 7/002
2270 - Herenthout",,Oui,,2,5,"Zone d'habitat (résidentiel, urbain ou rural)",,Hyper équipée,16 m²,15 m²,Oui,4,Oui,Oui,Oui,,,Oui,Oui,,Sud,,,,Oui,Oui,Oui,Oui,,,,,,,Oui,90 m²,Oui,,14 m²,,,,44 m²,12 m²,1500 m²,Sud,1,,,,,,,,,,,,,,,,,
7,À définir,1956,Bon,,4,155 m²,20 m²,14 m²,3,2,Non,Non,530 m²,14 m,Connecté,Oui,339 kWh/m²,D,2450587,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",379.000 €,,Non,,,Oui,,,,,,Équipée,16 m²,10 m²,Non,2,Oui,Non,Non,Non,Non,Non,Non,23 m²,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,95 m²,Oui,,,"Oui, conforme",13 m²,,,,,12 m²,250 m²,,,Oui,,,,,,,,,,,,,,,,
8,À définir,1958,Bon,7 m,3,179 m²,32 m²,20 m²,4,2,Non,Non,442 m²,11 m,Non connecté,Oui,319 kWh/m²,D,2444044-RES-1,Non communiqué,Non communiqué,319,Gaz,Non,Oui,Oui,Non,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,,Non,"Fraikinstraat 7
2200 - Herentals",2021N158,,,,,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1956,Bon,,4,140 m²,,,3,1,Non,,335 m²,,,,297 kWh/m²,C,20211012-0002476539-RES-2,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",365.000 €,632 €,Non,"Bevelsesteenweg 40 B
2560 - Nijlen",1089 - 1657,Oui,,1,3,,,Équipée,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,,,
10,Après la signature de l’acte,1991,Excellent état,,4,198 m²,40 m²,28 m²,3,1,Non,,956 m²,26 m,,Non,486 kWh/m²,E,20210809-000244562-RES-1,Non communiqué,Non communiqué,,,,,Oui,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",559.000 €,959 €,Non,"Mechelsesteenweg 204A
2500 - Lier",4517670,Oui,,1,2,"Zone d'habitat (résidentiel, urbain ou rural)",,Hyper équipée,14 m²,8 m²,,2,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,14 m²,,,,,,,,,Oui,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,1969,À rafraîchir,8 m,3,162 m²,20 m²,15 m²,3,1,Non,Non,445 m²,,Connecté,Oui,Non communiqué,Non communiqué,301,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,Oui,,,Zone non inondable,,279.000 €,827 €,Non,,,Oui,,1,4,Aménagé,,,162 m²,162 m²,Non,2,Oui,Oui,Oui,Oui,Non,Oui,Oui,18 m²,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,,Oui,15 m²,,"Oui, conforme",92 m²,35 m²,,,14 m²,50 m²,202 m²,Sud,2,,1,Oui,,,,,,,,,,,,,,
12,Après la signature de l’acte,1969,Bon,7 m,2,183 m²,45 m²,11 m²,4,2,Non,Non,205 m²,7 m,Connecté,Oui,557 kWh/m²,F,2432496RES1,Non communiqué,Non communiqué,557,Mazout,Non,Non,Non,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",329.000 €,,Non,"Fraikinstraat 7
2200 - Herentals",2021N132,Oui,,,,,,Équipée,,,,,,,,,,,,7 m²,,,,,,,,,,,,,,,,69 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
