,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Lieu de la vente,Séance unique,Modalités de visite,Année de construction,Visite virtuelle,Salon,Salle à manger,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Mise à prix,Revenu cadastral,Grenier,Droit d'achat prioritaire possible,Toilettes,Type de chauffage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Parkings intérieurs,Quartier ou lieu-dit,Parkings extérieurs,Bureau,Surface du jardin,Surface de la terrasse,Procédure pour violation de la réglementation urbanistique,Largeur du terrain à rue,Surface constructible totale au sol,Largeur de la façade à rue,Surface de la cuisine,Attestation as-built,Surface du salon,Orientation du jardin,Accès sécurisé / alarme,Référence externe,Salles de douche,Disponible le,Dressing,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Buanderie,Surface de bureau,Orientation de la terrasse,Type de construction,Attestation de conformité des citernes à mazout,Surface de la chambre 4,Surface de la chambre 5,Obligation de construire,Niveau E (performance énergétique globale),Isolé,Pourcentage loué,Revenu mensuel actuel,Jardin,Surface du grenier,Nom du bien,Combien de feux ouverts ?,Surface de l'espace professionnel,Nom de l'agent
0,Après la signature de l’acte,Bon,2,Urbain,200 m²,Équipée,3,16 m²,16 m²,10 m²,1,Oui,Non,85 m²,Connecté,Oui,Oui,355 kWh/m²,D,2054690,Non communiqué,Non communiqué,Oui,449.000 €,Non,"Korte Nieuwstraat 16
2000 - Antwerpen",4508921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1930,2,Oui,,,1,Oui,,,,77 m²,1106 kWh/m²,,F,,,,20210511-0002413163-RES-1,Non communiqué,Non communiqué,Oui,Non,,,Kelly DE BOCK,,,Non,"nl :
vanaf 15/9 tem 23/10, elke WOE. van 16u-18u en elke ZAT. van 10u-12u",Après la signature de l’acte,À rafraîchir,Oui,Équipée,2,Zone non inondable,154.000 €,587 €,Non,"Paalstraat 110
2900 - Schoten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,113 m²,,Oui,,Oui,,,,200 m²,,,F,,,,20210715-0002442106-RES-1,Non communiqué,Non communiqué,Oui,Non,,,Elissa SUREDA-CASTELLO,,,Non,"nl :
Elke vrijdag van 16u-18u en zaterdag van 11u-13u vanaf 17/09/2021",1930,3,Oui,3,1,Non,Zone non inondable,396 €,Non,"Van Breestraat, 33
2018 - ANTWERPEN",737 kWh/m²,200.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,À définir,,2,,248 m²,Américaine hyper-équipée,4,,,,2,,Non,168 m²,Connecté,Oui,Oui,318 kWh/m²,D,2432709-RES-1,Non communiqué,Non communiqué,Oui,749.000 €,Non,"Jordaenskaai, 21
2000 - Antwerpen",4362953,,,,1932,,,,,,,,1.122 €,,,2,Mazout,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1959,,1,,,,412 m²,,,,573 kWh/m²,,,F,,,,20210216-0002374422-RES-1,Non communiqué,Non communiqué,Non,Non,,,Leen GIJSBREGTS,,,Non,"nl :
elke woe. van 17u-19u en elke zat. van 10u-12u, vanaf 18/9 tem 27/10",Après la signature de l’acte,2,1,,,,Zone non inondable,1.403 €,Non,"Louizastraat, 39 / 1
2000 - ANTWERPEN",,180.000 €,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,2,,262 m²,,3,,,,2,,,,,,,150 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Oui,690.000 €,Non,"Sint-Katelijnevest 24
2000 - Antwerpen",4375941,,,,,,,,,Non,Zone non inondable,,,,Non,,Gaz,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1,Antwerpen centrum,1,Oui,23 m²,8 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,,1,,,1,220 m²,,,,Oui,,,199 kWh/m²,,,B,20210728-0002445963-RES-1,Non communiqué,Non communiqué,Non,Non,,,Koen DE RAEYMAECKER,,,Non,"nl :
sleutel af te halen op het notariskantoor na telefonische afspraak en mits het betalen van een borgsom",Après la signature de l’acte,,Équipée,3,,,Zone non inondable,964 €,Non,"Quinten Matsyslei, 28
2018 - ANTWERPEN",,194.500 €,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2,,1,,,1,220 m²,,,,Oui,,,199 kWh/m²,,,B,20210525-0002420147-RES-1,Non communiqué,Non communiqué,Non,Non,,,Koen DE RAEYMAECKER,,,Non,"nl :
sleutel af te halen op het notariskantoor na telefonische afspraak en mits het betalen van een borgsom",Après la signature de l’acte,,Équipée,3,,,Zone non inondable,964 €,Non,"Quinten Matsyslei, 28
2018 - ANTWERPEN",,194.500 €,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Oui,,,,,1,168 m²,,,,Oui,,,202 kWh/m²,,,C,20210525-0002420160-RES-1,Non communiqué,Non communiqué,Non,Non,,,Koen DE RAEYMAECKER,,,Non,"nl :
sleutel af te halen op het notariskantoor na telefonische afspraak en mits het betalen van een borgsom",Après la signature de l’acte,,Équipée,3,,,Zone non inondable,964 €,Non,"Quinten Matsyslei, 28
2018 - ANTWERPEN",,189.500 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,,4,,,,99 m²,,,,334 kWh/m²,,,D,,,,20150309-0001739129-1,Non communiqué,Non communiqué,Oui,Oui,,,Dorothy NAUDTS,,,Non,"nl :
Elke zaterdag van 12u-14u zonder afspraak, vanaf za 08/10 tem za 13/11",Après la signature de l’acte,,2,,,Zone non inondable,,1.437 €,Oui,"Merksemsebaan 79
2110 - WIJNEGEM",,252.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Selon le locataire,À rénover,2,,260 m²,,4,,,,2,,,140 m²,,Oui,,Non communiqué,Non communiqué,2409845-RES-1,Non communiqué,Non communiqué,,498.000 €,Non,"Jordaenskaai, 21
2000 - Antwerpen",4429891,,,,1920,,,,Oui,Non,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,5.8 m,260 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,À rénover,2,Urbain,125 m²,Équipée,2,22 m²,9 m²,,1,,Non,700 m²,,Oui,,1198 kWh/m²,F,20210106-0002356398-RES-1,Non communiqué,Non communiqué,Oui,675.000 €,Oui,"Italiëlei 207
2000 - Antwerpen",33933 - ANT-21-JSA-0,,,,1963,,,,Oui,Non,Zone non inondable,,3.678 €,,Non,1,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,13 m,,13 m,10 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Après la signature de l’acte,À rénover,2,,170 m²,Pas équipée,3,12 m²,,,1,Oui,Non,116 m²,,Oui,,356 kWh/m²,D,20211006-0002473460-RES-1,Non communiqué,Non communiqué,,285.000 €,Non,"Italiëlei 207
2000 - Antwerpen",39981 - ANT-21-JVR-0,,,,1926,,,,Oui,Non,Zone non inondable,,,,Non,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",1,,,,36 m²,,Non,5.66 m,,,12 m²,Non,30 m²,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",275 m²,Équipée,4,,,,2,Oui,Non,180 m²,,Oui,,153 kWh/m²,B,0001659934,Non communiqué,Non communiqué,Oui,950.000 €,Non,"Prins Boudewijnlaaan 318
2610 - Wilrijk",,,,,1908,,,,,,,,,,,,Gaz,,2,,,,150 m²,,,,,,,Non,,Sud,Oui,1863 - 1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Selon le locataire,Bon,2,,231 m²,Semi-équipée,4,,,,2,Oui,Non,196 m²,,Oui,,353 kWh/m²,D,20210825-0002455859-RES-1,Non communiqué,Non communiqué,Oui,549.000 €,Non,"Italiëlei 207
2000 - Antwerpen",38913 - ANT-21-TON-0,,,,1952,,,,Oui,Non,Zone non inondable,,,,Non,3,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,35 m²,2 m²,Non,5.5 m,,,,Non,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,À rafraîchir,2,,124 m²,Semi-équipée,3,17 m²,16 m²,6 m²,1,Oui,Non,,,Oui,,258 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Oui,429.000 €,Non,"Fruithoflaan, 1
2600 - Berchem",12859 - 372334,,,,1952,,,Oui,,,,,,,,2,Gaz,,,,,,75 m²,,,,,,12 m²,Non,35 m²,Sud-est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Selon le locataire,À rénover,2,Urbain,163 m²,Équipée,3,20 m²,16 m²,8 m²,1,Oui,Non,64 m²,,Oui,,656 kWh/m²,F,20210323-0002391644-RES-1,Non communiqué,Non communiqué,,295.000 €,Non,"Italiëlei 207
2000 - Antwerpen",34802 - ANT-21-JSA-0,,,,,,,,,Non,Zone non inondable,,,,Oui,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Non,,,,22 m²,Non,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,À définir,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",172 m²,Semi-équipée,3,19 m²,12 m²,8 m²,1,Oui,Non,,,Oui,,323 kWh/m²,D,20210809-0002446852-RES-1,Non communiqué,Non communiqué,,479.000 €,Non,"Italiëlei 207
2000 - Antwerpen",38614 - ANT-21-JVR-0,,,,1915,,,,Oui,Non,Zone non inondable,,745 €,,Non,,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Oui,,18 m²,Non,,,,8 m²,Non,31 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",130 m²,Équipée,3,16 m²,16 m²,9 m²,1,,Non,97 m²,Connecté,Oui,,384 kWh/m²,D,20131031-0001365119-00000010-5,Non communiqué,Non communiqué,Oui,359.000 €,Non,,,,,,1936,,,,Oui,,Zone non inondable,,780 €,,,2,Gaz,"Zone d'habitat (résidentiel, urbain ou rural)",,,,Non,24 m²,,,6 m,,6 m,10 m²,,32 m²,Sud-est,Non,,,1 août 2022 - 00:00,Non,Non,30 m²,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,
