,À partir de,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Surface de la cuisine,Surface du jardin,Orientation du jardin,Double vitrage,Largeur de la façade à rue,Parkings extérieurs,Salle à manger,Dressing,Salles de douche,Buanderie,Bureau,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Obligation de construire,Site internet,Type d’environnement,Combien de feux ouverts ?,Attestation de conformité des citernes à mazout,Parkings intérieurs,Grenier,Terrasse,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Salon,Mise à prix,Jardin,Isolé,Surface de la chambre 3,Orientation de la terrasse,Surface constructible totale au sol,Surface de la chambre 4,Quartier ou lieu-dit,Surface du grenier,Disponible le,Surface de bureau,Surface de l'espace professionnel,Nom de l'agent,Nombre d'annexes,Surface de la chambre 5,Charges mensuelles
0,Après la signature de l’acte,1960,Bon,2,162 m²,39 m²,Semi-équipée,2,19 m²,18 m²,1,1,Oui,Non,116 m²,5.5 m,Oui,270 kWh/m²,C,20200629-0002287909-RES-1,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",215.000 €,674 €,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",5083 - WTK1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,1930,Bon,2,100 m²,24 m²,,2,18 m²,12 m²,1,1,Oui,Non,115 m²,4.5 m,Oui,446 kWh/m²,E,20200906-0002311760-RES-1,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",219.000 €,302 €,Non,"Prins Boudewijnlaan 122
2610 - Wilrijk",5090 - WTK 1167,17 m²,58 m²,Sud,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,,Bon,2,128 m²,15 m²,Équipée,2,35 m²,11 m²,2,2,,Non,282 m²,,Oui,125 kWh/m²,B,20180830-0002086454-1,Non communiqué,Non communiqué,,,,,,Zone non inondable,,310.000 €,272 €,Non,,,15 m²,70 m²,,Oui,6 m,1,Oui,Oui,2,Oui,Non,Non,17 m²,Non,Non,Non,Non,Non,Connecté,44 m²,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,125,Gaz,Non,Non,Non,Non,Toutes sortes,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1969,,2,96 m²,,Équipée,3,,,1,,,,60 m²,,Oui,558 kWh/m²,F,20210112-0002358600-RES-1,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",229.000 €,521 €,Non,"Provinciale Steenweg 354
2627 - Schelle",,,,,Oui,,,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,Gaz,,,,,,,4526993,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,,Bon,2,444 m²,,Hyper équipée,5,,,1,2,,Non,397 m²,,,349 kWh/m²,D,2319234,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",695.000 €,,Non,"Tavernierkaai 2 b 29
2000 - Antwerpen",spir4100,,150 m²,Est,Oui,,,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,Gaz,Non,,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",1,Non,,,,,,,,,,,,,,,,,,,,,,,,
5,,1953,,2,191 m²,,Équipée,5,,,1,,Oui,,,,Oui,276 kWh/m²,C,20210806-0002448366-RES-1,Non communiqué,Non communiqué,,,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",360.000 €,,Non,"Provinciale Steenweg 354
2627 - Schelle",,,,,Oui,,5,,,,,,,,,,,,,Connecté,,,,,,,,,,,,,,Gaz,,,,,,,4514292,,,,1,Oui,Oui,,,,,,,,,,,,,,,,,,,,,
6,1975,2,,1,,,1,Oui,,,280 m²,,,,319 kWh/m²,,,20210415-0002401321-RES-1,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,240.000 €,,,909 €,,,"Van Eycklei, 21
2018 - ANTWERPEN",Ellen VAN RIET,,,,,,,,,3,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,D,Non,"nl :
woe. 27/10, 3/11 en 10/11 tssn 18u-20u en zat. 30/10, 6/11 en 13/11 tssn 10u-12u",Après la signature de l’acte,Oui,Équipée,Non,,,,,,,,,,,,,,,
7,Après la signature de l’acte,1903,Bon,2,160 m²,,Équipée,2,,,1,2,Oui,Non,247 m²,,Oui,140 kWh/m²,B,20201108-0002337070-RES-1,Non communiqué,Non communiqué,Non,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,484 €,Non,"Italiëlei 207
2000 - Antwerpen",,,,Est,Oui,5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,32044 - ANT-21-YOU-0,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Oui,,,,,,,,,,,,,,
8,,,Bon,3,431 m²,,Équipée,7,,,3,5,Oui,Non,921 m²,,Oui,411 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Non,,,,,Zone non inondable,,619.000 €,1.100 €,Non,"Amsterdamstraat 15 bus202
2000 - Antwerpen",215 - 1351,,,Sud,Oui,13 m,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Gaz,,,,,,,,,,,1,,Oui,,,,,,,Oui,,,,,,,,,,,,,,
9,,,Bon,4,190 m²,,Pas équipée,4,,,,1,,Non,575 m²,,,999 kWh/m²,F,20210226-0002379199-RES-1,Non communiqué,Non communiqué,,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,531 €,Non,"Kioskplaats 60/62
2660 - Hoboken",,,480 m²,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D2660-21049,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,
