,Année de construction,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Meublé,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Nom de l'agent,À partir de,Disponible le,État du bâtiment,Largeur de la façade à rue,Type d’environnement,Salon,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Toilettes,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface constructible totale au sol,Surface de la cuisine,Dressing,Buanderie,Bureau,Espace professionnel,Grenier,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Description libre du PEB,Attestation de conformité des citernes à mazout,Chauffe-eau commun,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Cave,Surface du jardin,Parkings extérieurs,Surface du grenier,Terrasse,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur du terrain à rue,Type de construction,Obligation de construire,Visite virtuelle,Orientation du jardin,Référence externe,Salle à manger,Surface de bureau,Surface de l'espace professionnel,Quartier ou lieu-dit,Pourcentage loué,Revenu mensuel actuel,Surface de la chambre 5,Orientation de la terrasse,Combien de feux ouverts ?,Surface de la cave,Nombre d'annexes,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Nom du bien,Jardin
0,2005,2,2,750 m²,110 m²,Hyper équipée,5,3,2,Non,200 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Non,1.450.000 €,4.000 €,Oui,"Chausse de St. Job, 546
1180 - Bruxelles",Nathalie Haim,1014941SBnH Rap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1930,2,,315 m²,,Semi-équipée,6,4,4,Non,,400 kWh/m²,G,Non communiqué,76 kg CO₂/m²,Non communiqué,,Gaz,,,,Oui,670.000 €,1.707 €,Oui,"Avenue Louise 160 Rez
1050 - Bruxelles",4512745,,Après la signature de l’acte,10 septembre 2021 - 00:00,À rénover,5.58 m,Urbain,Oui,18 m²,18 m²,18 m²,18 m²,4,86 m²,Connecté,Oui,315 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1939,2,,173 m²,31 m²,Américaine hyper-équipée,4,1,1,Non,10 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Oui,410.000 €,765 €,Non,,,,,,Excellent état,5 m,,,20 m²,12 m²,20 m²,10 m²,2,60 m²,Connecté,Oui,,15 m²,Oui,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,En cours,Non,Oui,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1942,2,,165 m²,30 m²,Américaine équipée,3,2,2,Non,24 m²,167 kWh/m²,D,Non communiqué,36 kg CO₂/m²,Non communiqué,,,,,,Oui,389.000 €,,Non,"Avenue Louise 160 Rez
1050 - Bruxelles",4447338,,Après la signature de l’acte,,Bon,5.86 m,Urbain,,20 m²,21 m²,23 m²,,2,192 m²,Connecté,Oui,,30 m²,,,,,,,,,,,,Non,Non,,Oui,,,,,Non,,,,,,,Oui,96 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1956,2,1,288 m²,45 m²,Hyper équipée,5,1,,,,325 kWh/m²,F,595769,Non communiqué,Non communiqué,,Gaz,,,,Oui,Faire offre à partir de 529.000 €,2.620 €,Non,"Assesteenweg 228
1742 - Ternat",4516118,,Après la signature de l’acte,,Excellent état,,,,17 m²,16 m²,10 m²,,,323 m²,Connecté,Oui,,12 m²,,,,,,,,,,,,,,Oui,,,,,,,,,,,Non,Zone non inondable,Oui,,1,55 m²,Oui,Oui,Oui,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,
5,1950,2,1,205 m²,,Américaine semi-équipée,4,3,,Non,10 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Oui,420.000 €,,Oui,,,,,,Excellent état,6 m,"Zone d'habitat (résidentiel, urbain ou rural)",,16 m²,16 m²,16 m²,10 m²,3,145 m²,Connecté,Oui,,,Non,,Non,Non,,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,,Non,Non,,,40 m²,1,,,,,,,6 m,Toutes sortes,Non,,,,,,,,,,,,,,,,,,,,,
6,1950,2,1,Équipée,3,1,1,Oui,,60 m²,E,Non communiqué,70 kg CO₂/m²,Non communiqué,Non,Mazout,Oui,445.000 €,,,,1.507 €,Non,"Av. Delleur 17
1170 - Watermael Boitsfort",6127 - 5551,,,,Après la signature de l’acte,,Fraîchement rénové,6 m,,,,,,,Non,Ouest,,,,,,137 m²,,,,,,,,,,,,,,,,,,,,,,,,,,15 m²,,,,,,,,,,,50 m²,275 kWh/m²,,,,,,,,,,,,,,,,,,,
7,,,,300 m²,,Équipée,7,4,,Non,,344 kWh/m²,F,20210309-0000584245-01-2,Non communiqué,Non communiqué,,Gaz,,,,Oui,735.000 €,2.134 €,Oui,"Sint Rochusstraat 109
1500 - Halle",,,,,Fraîchement rénové,,Urbain,Oui,,,,,,450 m²,Connecté,Oui,,,Non,,Non,,,,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,Oui,,,Non,,,,,Non,,Oui,,,,,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,Non,,,Opbrengsteigendom An,,,,,,,,,,,,,,,,,,
8,1910,4,1,1620 m²,45 m²,Équipée,4,2,2,Non,,211 kWh/m²,D,E+,53 kg CO₂/m²,Non communiqué,,Mazout,,,,,1.640.000 €,,Oui,"Avenue Louise 231
1050 - Bruxelles-Quartier Louise",4312304,,Après la signature de l’acte,30 mars 2021 - 00:00,Bon,9.76 m,,,21 m²,23 m²,24 m²,26 m²,3,420 m²,Connecté,Non,1640 m²,25 m²,,,Oui,,Oui,,,,,,,Non,Non,Oui,Oui,,,,,Non,,,,,,,Oui,,4,,,Oui,Oui,Non,Zone d'habitat mixte (habitat & activité économique),9.76 m,,,,,,Oui,100 m²,285 m²,,,,,,,,,,,,,,,
9,1950,2,,230 m²,25 m²,Équipée,4,3,,Non,25 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Non,489.000 €,,Oui,"Av. Houba de Strooper 618
1020 - Laeken",4378,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,3,136 m²,,,,1 m²,,Oui,,,,,,,,,,,,Oui,,,,,,,,,,,,,,38 m²,,,,,,,,1 m,,,,,,Oui,,,,,,,,,,,,,,,,,
10,1900,2,,225 m²,,,6,3,,Non,,252 kWh/m²,E,E,Non communiqué,Non communiqué,,Gaz,,,,,1.300.000 €,,Oui,"Avenue louise 523
1050 - Ixelles",,,Selon le locataire,,À rafraîchir,,Urbain,Oui,,,,,,375 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zone non inondable,,,,,,,,,,7.2 m,,,,,4314793,,,,Bruxelles (19 communes),,,,,,,,,,,,,,
11,,2,,280 m²,,,4,4,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,Oui,599.000 €,,Oui,"Winderickxplein 25
1652 - Alsemberg",,,Après la signature de l’acte,,À rafraîchir,,Urbain,,,,,,4,150 m²,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,68 m²,,,Oui,,,,,,,,,,4075604,,,,Bruxelles Ville,,,,,,,,,,,,,,
12,1945,2,,,44 m²,Américaine équipée,3,2,,Non,,324 kWh/m²,F,20180929-0000536153-01-8,65 kg CO₂/m²,Non communiqué,Non,,,,,Oui,Faire offre à partir de 350.000 €,,Non,"Rond Point Schuman 6/5
1040 - Etterbeek",,,,,Bon,5.5 m,,,,,,,2,,Non connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,2_pommier43,,,,,,,,,,,,,,,,,,
13,1960,3,1,210 m²,,Équipée,3,1,,Non,10 m²,312 kWh/m²,F,20171206-0000517388-01-7,312 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,575.000 €,,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-210313,,,,,6.85 m,,,,,,,,400 m²,Connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,Oui,250 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1960,2,,100 m²,,Équipée,3,1,,Non,25 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,Non,Oui,350.000 €,,Non,,,,Après la signature de l’acte,,,,,Oui,,,,,1,100 m²,,Non,,,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,"Oui, conforme",Oui,,,Oui,12 m²,,,,,,,,,Toutes sortes,,,,,Oui,,,,,,,,,,,,,,,,,
15,,2,,120 m²,24 m²,Équipée,3,,1,Non,2 m²,423 kWh/m²,G,20201220-0000580105-01-2,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Non,289.000 €,,Oui,"Rue Fransman 15
1020 - Laeken",,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,18 m²,17 m²,,,2,,,,,7 m²,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7 m,,,,,1462-1,,8 m²,,,,,,,,,,,,,,,,
16,,2,,125 m²,,Américaine équipée,3,1,,Non,14 m²,233 kWh/m²,E,20201124-0000578727-01-1,47 kg CO₂/m²,Non communiqué,Non,Gaz,,,,Oui,348.000 €,508 €,Non,"Avenue Paul janson 54
1070 - Anderlecht",I-210307,,,,,5.5 m,,,,,,,,120 m²,Non connecté,Non,,,Non,,Non,,,Non,,,,,,,,,,,,,,,,,,,,,,35 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
