,À partir de,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de bains,Toilettes,Buanderie,Bureau,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Niveau E (performance énergétique globale),Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Largeur de la façade à rue,Parkings intérieurs,Largeur du terrain à rue,Attestation as-built,Adresse,Site internet,Parkings extérieurs,Surface de bureau,Orientation du jardin,Orientation de la terrasse,Type de construction,Cave,Jardin,Visite virtuelle,Surface constructible totale au sol,Quartier ou lieu-dit,Combien de feux ouverts ?,Attestation de conformité des citernes à mazout,Salles de douche,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salon,Terrasse,Mise à prix,Grenier,Obligation de construire,Disponible le,Nombre d'annexes,Surface de l'espace professionnel,Charges mensuelles,Nom de l'agent,Pourcentage loué,Revenu mensuel actuel,Nom du bien
0,À définir,1961,Excellent état,3,"Zone d'habitat (résidentiel, urbain ou rural)",190 m²,30 m²,Oui,Équipée,12 m²,5,16 m²,14 m²,16 m²,14 m²,7 m²,Non,2,2,Oui,Non,Non,28 m²,30 m²,Oui,Non,Non,427 m²,Oui,Non,Non,Non,Connecté,Oui,311 m²,17 m²,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,304 kWh/m²,D,20210912-0002436452-RES-1,Non communiqué,Non communiqué,304,Gaz,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",649.000 €,1.430 €,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1967,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",335 m²,,,Semi-équipée,,5,,,,,,,5,5,,,,,,,Non,,515 m²,,,,,,Oui,,6 m²,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,985.000 €,3.495 €,Oui,10 m,7,10 m,Non,"Kerkstraat 2
9170 - St-Gillis-Waas",931 - 1898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,À définir,1970,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",254 m²,30 m²,Oui,Équipée,12 m²,3,26 m²,16 m²,7 m²,,,Oui,1,1,Oui,Oui,Oui,,,,Non,Non,341 m²,Oui,Non,Non,Oui,Connecté,Oui,90 m²,50 m²,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,251 kWh/m²,C,20210714-002441653-RES-1,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,Oui,,Non,Non,Zone non inondable,,599.000 €,1.660 €,Non,9 m,1,9 m,,,,2,12 m²,Sud-ouest,Sud,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
3,À définir,,Bon,,,211 m²,66 m²,,Équipée,16 m²,5,10 m²,15 m²,12 m²,20 m²,7 m²,Non,,3,,,,,,,Non,,417 m²,,,,,Connecté,Oui,,27 m²,,,,,,,,,,,,179 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",549.000 €,1.943 €,Non,,1,,Non,"Orteliuskaai, 8
2000 - Antwerpen",,1,,Sud,Sud,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,1986,Bon,2,Isolé,37 m²,Semi-équipée,,7 m²,3,15 m²,13 m²,20 m²,1,,,,2,11 m²,,294 m²,,,,,,,6.56 m,,,,,Non,203 m²,4 m²,Oui,,,,,271 kWh/m²,,,,,,,C,2469697,Non communiqué,Non communiqué,Électrique,,Oui,,,Oui,,Oui,91 m²,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,Non,,"Place Communale 8
1160 - Auderghem",6.1 m,1,Connecté,,4499345,,2,Oui,,,,,,168 m²,Non,,,,,,,,,,,,,,,,,,,,,
5,Selon le locataire,1966,Excellent état,2,,,,,Équipée,,3,17 m²,12 m²,9 m²,,,Non,1,2,,Oui,Oui,,,,Non,Non,207 m²,Non,Non,Non,Oui,,Oui,76 m²,20 m²,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,174 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,Oui,Oui,,Non,,,410.000 €,793 €,Non,6 m,1,6 m,Non,,,1,20 m²,Sud,Sud,Toutes sortes,,,,,Molenveldwijk,1,"Oui, conforme",,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,,Excellent état,3,Isolé,190 m²,68 m²,,Équipée,,3,24 m²,24 m²,17 m²,,,,1,2,,Oui,,,,,Non,,683 m²,,,,,Connecté,Oui,528 m²,47 m²,,,,Oui,,,Oui,,,,,442 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,,,498.000 €,949 €,Non,8 m,1,,,"Mechelsesteenweg,157
2018 - Antwerpen",,6,11 m²,,,,Oui,,,,,,,1,4490962,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,,Excellent état,2,,191 m²,,,,,3,,,,,,,2,,,Oui,,,,,,,250 m²,,,,,Connecté,Oui,165 m²,36 m²,,,,,,,,,,,,137 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,Non,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",675.000 €,,Non,,2,,,"Sint-Katelijnevest 24
2000 - Antwerpen",4500214,2,,,,,,,,,Zuiden van Antwerpen,,,,,,,,,,,,,,,,,,,,
8,1958,2,,1,,,,,1,,218 m²,,,,,,,Oui,,,,,,,,,,236 kWh/m²,,,,,,,,,,,,,,,,,,,,20210831-0002458346-RES-1,Non communiqué,Non communiqué,Oui,Non,,,,,,,,Non,Zone non inondable,260.000 €,,1.130 €,,,"Liersesteenweg, 135
2640 - MORTSEL",Margot GABRIELS,,Oui,,,,,,,,,,,,Équipée,,,,,,,Non,"nl :
iedere woe. van 14u-16u, en iedere zat. van 10u-12u, vanaf woe. 15/9 tem zat. 9/10 - VRIJE BEZICHTIGING ZONDER AFSPRAAK",Après la signature de l’acte,3,C,Non,,,,,,,,,,
9,Après la signature de l’acte,,,4,,270 m²,,,,,4,,,,,,,2,,,,,,,,,,582 m²,,,,,Connecté,Oui,,,,,,,,,,,,,,295 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,,,,,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",875.000 €,,Non,,,,,"Sint-Katelijnevest 24
2000 - Antwerpen",4490360,1,,,,,Oui,,,,Zuiden van Antwerpen,,,,,,,,,Oui,,Oui,,,,,,,,,
10,,1989,Bon,3,Urbain,150 m²,,,Équipée,,3,,,,,,,1,2,,,,,,,Non,,354 m²,,,,,,,263 m²,30 m²,,Non,Oui,,,,,,,Non,,520 kWh/m²,F,2466768,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",429.000 €,1.095 €,Non,,,,,"Kern 32
2610 - Wilrijk",D2610-21087,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,1954,À rénover,3,Urbain,270 m²,30 m²,,Semi-équipée,,5,,,,,,,2,2,,,,,,,Non,,95 m²,,,,,,Oui,,7 m²,,,,,,,,,,,,408 kWh/m²,E,20210726-0002445133-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",269.000 €,1.551 €,Non,,1,,Non,"Antwerpsestraat 292
2640 - Mortsel",10483 - 6815,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
12,Après la signature de l’acte,1965,Fraîchement rénové,2,,189 m²,35 m²,,Semi-équipée,,3,,,,,,,1,2,,,,,,,Non,,250 m²,,,,,,Oui,,21 m²,,,,,,,,,,,,167 kWh/m²,B,20211008-0002474832-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",415.000 €,,Non,,1,7 m,Non,"Antwerpsestraat 292
2640 - Mortsel",10450 - 7055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,1956,Bon,3,,111 m²,32 m²,,Semi-équipée,10 m²,3,15 m²,15 m²,9 m²,,,,1,2,,,,,,,Non,,315 m²,,,,,,Oui,151 m²,23 m²,,,,,,,,,,,,590 kWh/m²,F,1780365,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",445.000 €,872 €,Non,6 m,,9 m,Non,"Antwerpsestraat 292
2640 - Mortsel",10042 - 1756,2,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,
14,Après la signature de l’acte,1936,Bon,2,,160 m²,,,Équipée,,2,,,,,,,1,2,,,,,,,Non,,105 m²,,,,,,Oui,,40 m²,,,,,,,,,,,,256 kWh/m²,C,02321886,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Non,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,678 €,Non,,1,6.2 m,Non,"Antwerpsestraat 292
2640 - Mortsel",10377 - 5669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Après la signature de l’acte,1970,Fraîchement rénové,2,,257 m²,55 m²,,Équipée,,3,,,,,,,2,3,,,,,,,Non,,255 m²,,,,,,,,8 m²,,,,,,,,,,,,208 kWh/m²,C,20210812-0002450784-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,,,Zone non inondable,,479.000 €,1.921 €,Non,,1,7 m,Non,"Antwerpsestraat 292
2640 - Mortsel",10398 - 6767,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Après la signature de l’acte,1963,À rénover,2,,162 m²,32 m²,,Semi-équipée,,3,,,,,,,1,,,,,,,,Non,,281 m²,,,,,,Oui,,18 m²,,,,,,,,,,,,266 kWh/m²,C,02466737,Non communiqué,Non communiqué,,Gaz,,,,,,Oui,Non,,Non,Zone non inondable,,279.000 €,971 €,Non,,1,,Non,"Antwerpsestraat 292
2640 - Mortsel",10388 - 6972,,,,,,Oui,,,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,
17,Après la signature de l’acte,1959,,2,,198 m²,38 m²,,,,5,,,,,,,2,2,,,,,,,Non,,210 m²,,,,,,Oui,106 m²,,,,,,,,,,,,,370 kWh/m²,D,20210909-0002462435-RES-1,Non communiqué,Non communiqué,,Gaz,,,,,Oui,,,Non,,Zone non inondable,,378.000 €,1.353 €,Non,6 m,2,6 m,Non,"Dorp 35
2820 - Bonheiden",,,,Nord-est,,,Oui,,,,,,,,1485 - 113,,,,,Oui,,,,,,,,,,,
18,Après la signature de l’acte,,À rafraîchir,,"Zone d'habitat (résidentiel, urbain ou rural)",250 m²,,,,,4,,,,,,,1,2,,,,,,,Non,,615 m²,,,,,,Oui,,,,,,,,,,,,,,277 kWh/m²,C,20210812-0002450980-RES-1,Non communiqué,Non communiqué,,,,,,,,,,,,,,695.000 €,,Non,9 m,2,,Non,"Prins Boudewijnlaaan 318
2610 - Wilrijk",,2,,Sud,,,,Oui,,,,1,,,1850 - 1883,,,,,,,,,,,,,,,,
19,,1959,Bon,3,"Zone d'habitat (résidentiel, urbain ou rural)",200 m²,37 m²,Oui,Équipée,23 m²,6,15 m²,14 m²,12 m²,11 m²,10 m²,Oui,2,2,,Oui,Oui,32 m²,19 m²,Oui,Non,Non,383 m²,Non,Non,Non,Non,,Oui,150 m²,25 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,553 kWh/m²,F,20160529-0001866213-1,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,Oui,,,Non,Zone non inondable,,595.000 €,768 €,Non,6 m,1,9 m,,,,2,,,,Toutes sortes,,,,,,1,"Oui, conforme",,,,,,,,,,Non,,,,,,,,
20,Après la signature de l’acte,,À rafraîchir,,,198 m²,,,,,2,,,,,,,2,1,,,,,,,Non,,,,,,,,,65 m²,,,,,,,,,,,,,260 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Gaz,,,,,Oui,Oui,Oui,Non,Non,Zone non inondable,,349.000 €,1.199 €,Non,,1,,Non,"Bredabaan 433
2930 - Braschaat",,,,Sud-est,,,,,,,,,,,1526 - 139,,,,,,,,,,,,,,,,
21,À définir,1980,,2,,162 m²,,,Équipée,,4,10 m²,21 m²,9 m²,8 m²,,Non,1,2,,Non,Non,,,,Non,Non,185 m²,Non,Non,Non,Oui,Connecté,Oui,75 m²,25 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,147 kWh/m²,B,20210930-0002470963-RES-1,Non communiqué,Non communiqué,,Gaz,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Zone non inondable,,384.000 €,1.227 €,Non,6 m,1,,"Oui, conforme",,,1,,Sud,Sud,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
22,À définir,1960,,3,,198 m²,,Oui,,,6,,,,,,Non,2,3,Oui,Non,Non,,,,Non,Non,307 m²,Non,Non,Non,Non,,Non,135 m²,14 m²,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Non,Oui,,,,Zone non inondable,,495.000 €,,Non,7 m,,,,,,,,Sud-est,,Toutes sortes,Oui,,,,,,"Oui, conforme",,,,,,Oui,,,Oui,,,,,,,,,
23,Après la signature de l’acte,1971,À rafraîchir,2,"Zone d'habitat (résidentiel, urbain ou rural)",180 m²,45 m²,,Américaine hyper-équipée,8 m²,3,14 m²,14 m²,9 m²,,,,1,2,,,,,,,,,240 m²,,,,,Connecté,Non,120 m²,,,,Oui,,,,,,,,,348 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,,Mazout,,,,,Oui,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",370.000 €,,Non,,1,6.7 m,,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",4447727,1,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,
24,Après la signature de l’acte,,Fraîchement rénové,1,"Zone d'habitat (résidentiel, urbain ou rural)",,56 m²,Oui,Équipée,,3,20 m²,14 m²,26 m²,,,Oui,1,2,Oui,Non,Non,,,,Non,Non,198 m²,Non,Non,Non,Non,Connecté,Oui,99 m²,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,202 kWh/m²,C,20210816-0002452099-RES-1,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,,,Non,Non,Zone inondable potentielle,,395.000 €,,Non,5 m,,,,,,,,Sud-ouest,,Toutes sortes,,,,,,,"Oui, conforme",,,,,,,,,,,,,,,,,,
25,Après la signature de l’acte,1963,Bon,2,"Zone d'habitat (résidentiel, urbain ou rural)",232 m²,43 m²,,Américaine hyper-équipée,8 m²,4,17 m²,17 m²,8 m²,,,,1,2,,Oui,,,,,,,274 m²,,,,,Connecté,Oui,,,,,Oui,,Oui,,,,,,,165 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,,Non,,Zone non inondable,,530.000 €,,Non,,1,7 m,,"Prins Boudewijnlaan, 112-114
2610 - Wilrijk",4447726,1,,,,,,,,,,,,,,,,,,Oui,,Oui,,,,,,,,,
26,,2019,Excellent état,2,"Zone d'habitat (résidentiel, urbain ou rural)",133 m²,,,,,3,,,,,,,2,2,,,,,,,,,150 m²,,,,,Connecté,Oui,,,,,,,,,,,,,,Non communiqué,Non communiqué,EPB Nieuwbouw,Non communiqué,Non communiqué,70,Gaz,,,,,Oui,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",317.500 €,,,,1,,Non,"Kerkstraat, 27
2970 - 's Gravenwezel",,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,
27,,,Excellent état,3,,175 m²,,Oui,Hyper équipée,,4,,,,,,Oui,2,3,,Non,Non,26 m²,,,Non,Non,246 m²,Oui,Non,Non,Oui,Connecté,Oui,37 m²,25 m²,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non communiqué,Non communiqué,23,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,Oui,Oui,Oui,,Non,Zone non inondable,,679.000 €,,Non,,,9 m,,,,1,,,,Toutes sortes,,,,,,,,,,,,,Oui,,,,,,,,,,,,
