,État du bâtiment,Nombre de façades,Surface habitable,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Revenu mensuel actuel,Adresse,Référence externe,À partir de,Permis de bâtir obtenu,Autorisation de lotissement,Surface du salon,Dressing,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Pompe à chaleur,Double vitrage,Largeur de la façade à rue,Buanderie,Bureau,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Terrasse,Obligation de construire,Site internet,Parkings intérieurs,Surface de la cave,Surface du grenier,Surface de la terrasse,Année de construction,Accès sécurisé / alarme,Interphone vidéo,Type d’environnement,Disponible le,Espace professionnel,Porte blindée,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Salon,Salle à manger,Attestation de conformité des citernes à mazout,Combien de feux ouverts ?,Jardin,Visite virtuelle,Surface de la chambre 5,Nom du bien,Quartier ou lieu-dit,Parkings extérieurs,Surface de bureau,Surface de l'espace professionnel,Grenier,Salles de douche,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Surface constructible totale au sol,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Isolé,Pourcentage loué,Vue sur mer,Nombre d'annexes
0,À rafraîchir,3,213 m²,Semi-équipée,5 m²,4,28 m²,17 m²,12 m²,12 m²,1,2,Oui,Non,74 m²,4.3 m,411 kWh/m²,E,2409470-RES-1s,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",459.000 €,1.670 €,Oui,1600,"Keizerstraat 18B
2800 - Mechelen",1699253 - 345345930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Non,Non,,,,,Oui,,"Theofiel De Biestraat 11
2220 - Heist-op-den-Berg",,À la livraison,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,À rafraîchir,3,213 m²,Semi-équipée,5 m²,4,28 m²,17 m²,12 m²,12 m²,1,2,Oui,Non,74 m²,4.3 m,411 kWh/m²,E,2409470-RES-1s,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",459.000 €,1.670 €,Non,,"Keizerstraat 18B
2800 - Mechelen",1699254 - 345345928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Excellent état,,100 m²,Hyper équipée,16 m²,2,12 m²,11 m²,,,,1,,Non,65 m²,,138 kWh/m²,B,20210923-0002460889-RES-2 151,Non communiqué,Non communiqué,,Gaz,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",335.000 €,334 €,Non,,"Veemarkt 19
2800 - Mechelen",,À définir,,,24 m²,Non,Connecté,Oui,16 m²,Nord,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fraîchement rénové,,127 m²,Hyper équipée,18 m²,3,16 m²,12 m²,11 m²,,1,2,,,60 m²,4 m,115 kWh/m²,B,20210810-0002408349-RES-2,Non communiqué,Non communiqué,,Gaz,,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",338.000 €,,Non,,"Tramlaan 249
1933 - Sterrebeek",,,Oui,,14 m²,Non,Connecté,Oui,,,,Oui,4 m,Oui,Non,Non,Non,Non,Non,Oui,Non,732 - Nekkerspoelstr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Excellent état,,167 m²,Équipée,13 m²,3,16 m²,15 m²,18 m²,,1,2,,,,5 m,290 kWh/m²,C,20210917-0002465357-RES-1,Non communiqué,Non communiqué,,Gaz,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,904 €,Non,,"Tramlaan 249
1933 - Sterrebeek",,,Oui,,44 m²,Non,Non connecté,Oui,,,,Oui,5 m,,Non,Non,Non,Non,Non,,Non,728 - BorchtstraatC,1,16 m²,8 m²,28 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Excellent état,,145 m²,Équipée,,3,,,,,1,2,,Non,,,217 kWh/m²,C,20210316-00023888345-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",515.000 €,,Non,,"Korenmarkt 8
2800 - Mechelen",,Après la signature de l’acte,Oui,Non,,,,,40 m²,,,Oui,,,,,,,,,,834698 - 93363921,1,,,20 m²,2000,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Excellent état,,100 m²,Hyper équipée,16 m²,2,11 m²,13 m²,,,,1,Oui,Non,60 m²,,173 kWh/m²,B,20210923-0002460878-RES-2 - 153,Non communiqué,Non communiqué,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",335.000 €,396 €,Non,,"Veemarkt 19
2800 - Mechelen",,À définir,,,24 m²,Non,Connecté,Oui,16 m²,Nord,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fraîchement rénové,4,287 m²,Équipée,,5,,,,,2,,,Non,180 m²,,195 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",425.000 €,1.031 €,Non,,"Hoogstraat 11
2800 - Mechelen",,,Oui,Oui,,,,,,,,,,,,,,,,Oui,,D2800-21071,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Excellent état,2,186 m²,Hyper équipée,36 m²,3,24 m²,18 m²,9 m²,,2,2,,Non,69 m²,,112 kWh/m²,B,12025-G-2013/0538/EP16229/B276/D01/SD001,Non communiqué,Non communiqué,,Gaz,Non,Non,Zone non inondable,,469.000 €,1.065 €,Non,,,,,Oui,,43 m²,Non,Connecté,Oui,20 m²,Nord,Non,Oui,,Oui,Non,Non,Non,Non,Non,,,,,,,7 m²,2015,Non,Non,Urbain,8 août 2022 - 00:00,Non,Non,Sud,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,67,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
