,État du bâtiment,Visite virtuelle,Type de cuisine,Chambres,Dressing,Salles de bains,Toilettes,Bureau,Meublé,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Année de construction,Nombre de façades,Parkings intérieurs,Surface habitable,Surface de la terrasse,Ascenseur,Attestation as-built,Niveau E (performance énergétique globale),Permis de bâtir obtenu,Site internet,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Cave,Revenu cadastral,Revenu mensuel actuel,Référence externe,Type d’environnement,Salon,Salle à manger,Surface de la cave,À partir de,Jardin,Orientation du jardin,Largeur de la façade à rue,Surface du salon,Surface de bureau,Surface de l'espace professionnel,Attestation de conformité des citernes à mazout,Pompe à chaleur,Buanderie,Surface du jardin,Type de construction,Parkings extérieurs,Surface du grenier,Accessible aux personnes avec un handicap,Piscine,Grenier,Nom du bien,Espace professionnel,Panneaux photovoltaïques,Porte blindée,Surface constructible totale au sol,Isolé,Orientation de la terrasse,Nombre d'annexes,Concierge,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Panneaux solaires,Chauffe-eau commun,Charges mensuelles,Salles de douche,Disponible le,Combien de feux ouverts ?,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Description libre du PEB
0,Excellent état,Équipée,4,Non,1,2,Non,Non,86 m²,Non,Non,Non,Non,3.5 m,Non connecté,Non,Oui,251 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,Oui,"Dorpsstraat 34 Bus 1
2590 - Berlaar",WC/150721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Équipée,5,,4,5,,Non,219 m²,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,Oui,Oui,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1.144.880 €,Non,"Befferstraat 14
2800 - Mechelen",2022,2,4,358 m²,41 m²,Oui,Non,28,Oui,1699250 - 345345996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,Semi-équipée,7,,1,3,,Non,,,,,,,,,,176 kWh/m²,B,2412856-RES-1s,Non communiqué,Non communiqué,Gaz,Oui,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",635.000 €,Oui,"Keizerstraat 18B
2800 - Mechelen",,3,,400 m²,45 m²,,Non,,,,22 m²,24 m²,22 m²,16 m²,16 m²,12 m²,Oui,2.767 €,950,1699134 - 345345935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,Semi-équipée,7,,1,3,,Non,,,,,,,,,,176 kWh/m²,B,2412856-RES-1s,Non communiqué,Non communiqué,Gaz,Oui,,,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",635.000 €,Oui,"Keizerstraat 18B
2800 - Mechelen",,3,,400 m²,45 m²,,Non,,,,22 m²,24 m²,22 m²,16 m²,16 m²,12 m²,Oui,2.767 €,,1698120 - 345345941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Fraîchement rénové,,,2,Non,1,1,Non,,122 m²,Non,Non,Non,Non,,Connecté,Oui,Oui,290 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,Oui,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",250.000 €,Non,"Frederik de Merodestraat 3/1
2800 - Mechelen",,,,104 m²,,,,,Oui,,,,,,,,,491 €,,8591C,Urbain,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,À rafraîchir,,Équipée,3,,1,1,,Non,,,,,,,,,,369 kWh/m²,D,20210924-0002468448-RES1,1000 kg CO₂/m²,Non communiqué,,,,,Non,,,"Zone d'habitat (résidentiel, urbain ou rural)",299.000 €,Non,"Houtestraat 62
2800 - Mechelen",,,,160 m²,15 m²,,Non,,,1059 - 10090821,14 m²,21 m²,20 m²,9 m²,,,,356 €,,,,,Oui,10 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,À rénover,,Semi-équipée,,,,,,Non,173 m²,,,,,4.9 m,,,,389 kWh/m²,D,2110259-1,Non communiqué,Non communiqué,Gaz,,,Non,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",945.000 €,Oui,"Befferstraat 14
2800 - Mechelen",,2,,408 m²,64 m²,,Non,,Oui,1699310 - 345346001,6 m²,26 m²,22 m²,,,,Oui,2.288 €,,,,,,,Après la signature de l’acte,Oui,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Excellent état,,,3,Non,1,1,Non,,122 m²,Non,Non,Non,Non,,Non connecté,Non,Oui,211 kWh/m²,C,20161221-0001920278-1,Non communiqué,Non communiqué,,Non,Non,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",375.000 €,Non,"Frederik de Merodestraat 3/1
2800 - Mechelen",,,,122 m²,,,,,Oui,,,,,,,,,,,8555C,,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Excellent état,,Équipée,4,,1,3,Oui,,150 m²,,,,,,Connecté,Oui,Oui,274 kWh/m²,C,20210407-0002398119-RES-1,Non communiqué,Non communiqué,Gaz,,,,Non,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",749.000 €,Non,"Schuttervest 2
2800 - Mechelen",,2,,305 m²,,,,,,,15 m²,42 m²,27 m²,27 m²,16 m²,,Oui,1.849 €,,4383105,,,,,Après la signature de l’acte,,,7.2 m,41 m²,19 m²,75 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,Équipée,2,,2,2,,Non,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,Oui,Oui,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",418.530 €,Non,"Befferstraat 14
2800 - Mechelen",2022,2,2,134 m²,26 m²,,Non,24,Oui,1699243 - 345345992,12 m²,19 m²,13 m²,,,,,,,,,,,,,,,,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
