,À partir de,État du bâtiment,Nombre de façades,Type d’environnement,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Surface de l'espace professionnel,Surface du terrain,Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Année de construction,Largeur de la façade à rue,Parkings extérieurs,Dressing,Buanderie,Bureau,Espace professionnel,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,"Eau, gaz & électricité",Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Procédure pour violation de la réglementation urbanistique,Revenu cadastral,Salon,Salle à manger,Cave,Grenier,Isolé,Parkings intérieurs,Surface de la chambre 4,Surface de bureau,Combien de feux ouverts ?,Surface du grenier,Raccordement à l'égout,Attestation de conformité des citernes à mazout,Salles de douche,Droit d'achat prioritaire possible,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface de la cave,Jardin,Obligation de construire,Référence externe,Niveau E (performance énergétique globale),Attestation as-built,Nom de l'agent,Quartier ou lieu-dit,Visite virtuelle,Surface constructible totale au sol,Surface de la chambre 5,Disponible le,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nom du bien,Nombre d'annexes
0,Après la signature de l’acte,Bon,2,Urbain,76 m²,38 m²,Équipée,12 m²,3,13 m²,13 m²,8 m²,1,2,48 m²,131 m²,40 m²,Oui,177 kWh/m²,B,20190826-0002188922-RES-1,Non communiqué,Non communiqué,Gaz,Oui,295.000 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",4305030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À définir,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,"Leopoldstraat 37
2800 - Mechelen",,Oui,Oui,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,À définir,Excellent état,2,,140 m²,24 m²,Hyper équipée,36 m²,3,12 m²,12 m²,8 m²,2,2,,177 m²,75 m²,,265 kWh/m²,C,20210908-0001529526-res-3,Non communiqué,Non communiqué,Gaz,Oui,299.000 €,Non,,,Oui,,,1971,6 m,1,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,6 m,Oui,Nord-ouest,18 m²,Nord-ouest,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Toutes sortes,Non,560 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Bon,3,"Zone d'habitat (résidentiel, urbain ou rural)",,,Hyper équipée,,3,13 m²,12 m²,7 m²,1,1,,356 m²,160 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,354.000 €,Non,,,,,Zone non inondable,1956,7 m,,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Oui,,Oui,Sud,40 m²,Sud,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,,,,Oui,Oui,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,Fraîchement rénové,2,Urbain,250 m²,60 m²,Américaine hyper-équipée,15 m²,4,13 m²,14 m²,12 m²,1,3,22 m²,215 m²,,Oui,204 kWh/m²,C,20210123-0002363407-RES-1,Non communiqué,Non communiqué,Gaz,Oui,405.000 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",4492552,,,,,,,,,Oui,,,,,,,,,Non,,,,,,,Oui,,,,,,,,,,,,,,1.182 €,,Oui,,Oui,,1,20 m²,15 m²,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,3,"Zone d'habitat (résidentiel, urbain ou rural)",,55 m²,Hyper équipée,11 m²,3,11 m²,11 m²,16 m²,1,2,,336 m²,1 m²,,304 kWh/m²,D,20150903-0001789756-1,Non communiqué,Non communiqué,Gaz,Oui,375.000 €,Non,,,,,Zone non inondable,1988,7 m,2,Oui,,Non,Non,Non,Non,Non,Non,Non,Non,,Oui,Ouest,35 m²,Ouest,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,,,,,Oui,,,Oui,1,,,1,63 m²,Connecté,,,,,,,,,,,,,,,,,,,,,,
6,,À rafraîchir,,,97 m²,24 m²,Semi-équipée,13 m²,2,12 m²,10 m²,,1,1,,76 m²,,,680 kWh/m²,F,20170612-0001969142-1,Non communiqué,Non communiqué,,Non,175.000 €,Non,"Grote Markt 22
2850 - Boom",spir13118 [3088110],,,,1920,,,Non,,Non,,Non,,Non,Non,Non,Non,,Oui,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,Non connecté,Non,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,Excellent état,3,,155 m²,51 m²,Hyper équipée,,4,11 m²,14 m²,9 m²,1,2,,416 m²,,,Non communiqué,Non communiqué,EPB IN OPMAAK,Non communiqué,Non communiqué,,Oui,429.000 €,Non,"Brusselsesteenweg 31
1980 - Zemst",4342236,Oui,Non,,2021,,1,,,,,Non,,,,,,,Oui,,16 m²,,,,,,,,Oui,,,,,,,,,,Non,,,,,,,,19 m²,,,,Connecté,,1,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,Bon,2,,130 m²,22 m²,,15 m²,3,9 m²,18 m²,30 m²,1,1,,121 m²,40 m²,,252 kWh/m²,C,20190602-002165747-RES-1,Non communiqué,Non communiqué,Gaz,Oui,249.000 €,Non,"Emile Vanderveldelaan 1
2845 - Niel",4374988,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,,,,,,,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,
9,,,,,577 m²,30 m²,Hyper équipée,17 m²,3,18 m²,15 m²,11 m²,1,3,,341 m²,,,161 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,997.999 €,Oui,"Frans Van Haelenstraat 4b
2880 - Bornem",,Oui,Non,,,,,Non,Oui,Oui,,,,Non,Non,Non,Non,,Oui,Nord-ouest,67 m²,,Non,Non,Non,Non,Oui,,Non,,,Non,,,,,,,Non,3.600 €,,Oui,,,,3,,200 m²,,,Connecté,,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",6 m²,Oui,Non,Camille Huysmansstra,,,,,,,,,,,,,,
