,Largeur de la façade à rue,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Salles de bains,Toilettes,Bureau,Surface du grenier,Meublé,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Double vitrage,Permis de bâtir obtenu,Surface constructible totale au sol,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Procédure pour violation de la réglementation urbanistique,Année de construction,État du bâtiment,Nombre de façades,Type d’environnement,Surface de la chambre 4,Salles de douche,Surface de l'espace professionnel,Espace professionnel,Surface de la cave,Porte blindée,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Salle à manger,Parkings intérieurs,Parkings extérieurs,Surface du jardin,Surface de la chambre 5,Cave,Quartier ou lieu-dit,Référence externe,Terrasse,Grenier,Salon,Orientation du jardin,Orientation de la terrasse,Niveau E (performance énergétique globale),Surface de bureau,Jardin,Buanderie,Isolé,Combien de feux ouverts ?,Visite virtuelle,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes,Nom du bien,Nom de l'agent
0,4.5 m,100 m²,21 m²,Équipée,9 m²,3,13 m²,10 m²,13 m²,Non,1,2,Non,17 m²,Non,40 m²,Non,Non,Non,Non,4.5 m,Connecté,Oui,202 kWh/m²,C,20190430-0002155148-RES-1,Non communiqué,Non communiqué,Non,Non,Gaz,Non,Oui,Oui,40 m²,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",249.000 €,500 €,Non,"Grote Markt 22
2850 - Boom",spir13095 [3088134],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,Oui,,,Oui,Non,,,,,Oui,"Antwerpsestraat 34
2640 - Mortsel",,À la livraison,15 décembre 2021 - 00:00,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6 m,248 m²,,Pas équipée,20 m²,4,22 m²,20 m²,16 m²,Non,1,2,Non,14 m²,Non,248 m²,Oui,Non,Non,Non,6 m,,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,Non,Oui,Oui,,,,,,,325.000 €,2.077 €,Non,,,,,,1989,Bon,2,Rue commerçante,14 m²,1,70 m²,Non,70 m²,Non,1 m²,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,110 m²,27 m²,Équipée,11 m²,4,10 m²,18 m²,11 m²,Non,1,2,Non,,Non,70 m²,Non,Non,Non,Non,4.5 m,Non connecté,Oui,408 kWh/m²,E,20150805-0001782495-1,Non communiqué,Non communiqué,,Non,Gaz,Non,Oui,,62 m²,Non,,,,,249.000 €,520 €,Non,"Grote Markt 22
2850 - Boom",spir13121 [3088107],,,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,126 m²,23 m²,,18 m²,3,17 m²,9 m²,16 m²,Non,1,2,Non,,Non,50 m²,Non,Non,Non,Non,,Non connecté,Oui,232 kWh/m²,C,20210204-0002368807-RES-1,Non communiqué,Non communiqué,Non,Non,,Non,Non,Oui,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",240.000 €,494 €,Non,"Grote Markt 22
2850 - Boom",spir13052 [3088174],,,,,,,,,,,,11 m²,,5 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,Non,,,,,,,Non,"Wagenaarstraat 33
8791 - Beveren-Leie",P00490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,12 m²,,12 m²,2,11 m²,12 m²,,Non,1,,Non,28 m²,Non,85 m²,Non,Non,Non,Non,,Non connecté,Oui,959 kWh/m²,F,20170619-0001969823-1,Non communiqué,Non communiqué,Non,Non,,Non,Non,Oui,69 m²,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",170.000 €,,Non,"Grote Markt 22
2850 - Boom",spir13117 [3088111],,,,,À rénover,,,,,,,,,16 m²,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,62 m²,,,,,,,,Non,,,Non,,,,Non,Non,Non,Non,,Non connecté,Oui,413 kWh/m²,E,20200126/0002240846-RES-1,Non communiqué,Non communiqué,,,,,Non,,,,,,,,105.000 €,,Oui,"Britselei, 24
2000 - Anvers",BLAUWSTRAAT 55A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,139 m²,27 m²,Semi-équipée,13 m²,3,25 m²,16 m²,12 m²,,1,1,,,Non,211 m²,,,,,,,Oui,700 kWh/m²,F,20210906-0002458657-RES-1,Non communiqué,Non communiqué,Non,,Mazout,,Oui,Oui,,,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",279.000 €,617 €,Non,"Strijdersstraat 8
2650 - Edegem",1832 - 21-20069,,,,1938,À rénover,2,,,,,,43 m²,,,,,,,,,,,,,,,,,,,1,1,70 m²,,,,,,,,,,,,,,,,,,,,,,,
9,,350 m²,,Hyper équipée,21 m²,6,25 m²,25 m²,25 m²,,1,2,,,Non,,,,,,,,,268 kWh/m²,C,20190728-0002181303-RES-1,Non communiqué,Non communiqué,Non,,Mazout,,,Oui,,,,Non,Zone d'inondation reconnue,,399.000 €,1.864 €,Non,"Maria Theresialei 7
2018 - Antwerpen",31 - 93363842,,,,1963,À rafraîchir,2,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,75 m²,11 m²,Oui,,,,,,,,,,,,,,,,,,,,,
