,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Année de construction,Nombre de façades,Visite virtuelle,Salon,Salle à manger,Type de cuisine,Chambres,Dressing,Salles de bains,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,État du bâtiment,Parkings intérieurs,Surface habitable,Toilettes,Bureau,Cave,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Double vitrage,Obligation de construire,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Site internet,Buanderie,Jardin,Orientation du jardin,Surface du salon,Surface du grenier,Surface du jardin,Nom du bien,Meublé,Niveau E (performance énergétique globale),Largeur de la façade à rue,Type d’environnement,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Surface constructible totale au sol,Parkings extérieurs,Largeur du terrain à rue,Nombre d'annexes,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de chauffage,Attestation as-built,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Espace professionnel,Porte blindée,Disponible le,Quartier ou lieu-dit,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Grenier,Surface de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Type de construction,Surface de la cave,Combien de feux ouverts ?,Salles de douche,Isolé,Orientation de la terrasse,Surface de bureau,Référence externe,Nom de l'agent
0,Non,"nl :
van maa. tot vrij. tijdens de kantooruren van 9u-18u, mits afhaling v/d sleutel op het kantoor Notaris Ann De Block - mits voorafgaande telefonische afspraak op 052/33.30.46 en mits voorleggen v/d identiteitskaart",Après la signature de l’acte,2017,4,Oui,Oui,Pas équipée,4,Oui,2,Oui,184 kWh/m²,B,20210303-0002381536-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,Zone inondable potentielle,390.000 €,1.234 €,Non,"Kaai, 28
2890 - SINT-AMANDS",Helena NEIRINCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,À définir,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,,Zone non inondable,,,Non,"Leopoldstraat 37
2800 - Mechelen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,Oui,Oui,,2,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,545 €,Non,"Kasteelstraat 198
9255 - Buggenhout",Excellent état,1,137 m²,1,Non,Oui,458 m²,Non,Non,Non,Non,Non connecté,Non,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,4202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,Oui,Oui,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Kasteelstraat 198
9255 - Buggenhout",Excellent état,1,164 m²,1,Non,,798 m²,Non,Non,Non,Non,Connecté,Non,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,4309,Oui,Oui,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,2021,,,,,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Kasteelstraat 198
9255 - Buggenhout",,,184 m²,2,Non,,137 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",384.000 €,3900C,,,Sud-est,57 m²,44 m²,59 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,2021,,,,,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Kasteelstraat 198
9255 - Buggenhout",,,191 m²,2,Non,,154 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",394.000 €,3893C,,,Ouest,64 m²,44 m²,70 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,2021,,,,,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Kasteelstraat 198
9255 - Buggenhout",,,181 m²,2,Non,,200 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",394.000 €,3903C,,,Sud-est,57 m²,37 m²,121 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,Oui,,,3,Non,1,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Non,Non,,,,Non,"Kasteelstraat 198
9255 - Buggenhout",À rafraîchir,,170 m²,1,Non,,230 m²,Non,Non,Non,Non,Connecté,Oui,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",229.000 €,4256,Oui,Oui,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,3,Non,1,,80.06 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,,,,Non,"Amelia Earhartlaan 19 bus 301
9051 - Sint-Denijs-Westrem",,,160 m²,1,Non,,152 m²,Non,Non,Non,Non,Non connecté,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",339.300 €,42185001,,,,,,,Het BoerenHof,Non,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,2021,,,,Oui,,4,Non,2,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,Oui,Non,,,,Non,"Oude Vest 90/1
9200 - Dendermonde",,1,260 m²,,Oui,,650 m²,Non,Non,Non,Non,Connecté,Oui,Oui,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",597.000 €,Kruisstraat 18,,,,,,,,,,7 m,Pays,Non,Non,Non,Oui,Oui,Oui,Non,120 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
