,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Largeur du terrain à rue,"Eau, gaz & électricité",Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Ascenseur,Permis de bâtir obtenu,Procédure pour violation de la réglementation urbanistique,Référence externe,Disponible le,Largeur de la façade à rue,Type d’environnement,Combien de feux ouverts ?,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Accès sécurisé / alarme,Parkings extérieurs,Salle à manger,Surface de la cuisine,Surface de la chambre 4,Salles de douche,Surface de bureau,Bureau,Grenier,Raccordement à l'égout,Terrasse,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Surface de la terrasse,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Piscine,Internet,Niveau E (performance énergétique globale),Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Buanderie,Surface de la cave,Surface constructible totale au sol,Obligation de construire,Quartier ou lieu-dit,Salon,Surface de l'espace professionnel,Surface du grenier,Nombre d'annexes,Attestation de conformité des citernes à mazout,Charges mensuelles,Lieu de la vente,Séance unique,Modalités de visite,Visite virtuelle,Mise à prix,Surface de la chambre 5,Pourcentage loué,Revenu mensuel actuel,Isolé
0,Après la signature de l’acte,1965,Bon,2,1,202 m²,38 m²,Équipée,3,1,2,Oui,Non,294 m²,5.9 m,Oui,Oui,Sud,304 kWh/m²,D,20210817-0002452822-RES1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",369.000 €,1.048 €,Non,"Markt 21
2900 - Schoten",3130 - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,1966,À rénover,2,1,258 m²,44 m²,Semi-équipée,4,2,3,,Non,212 m²,,Oui,,,721 kWh/m²,F,20210618-0002431143-RES-11,Non communiqué,Non communiqué,Non,Gaz,,Non,Non,Zone d'inondation reconnue,"Zone d'habitat (résidentiel, urbain ou rural)",395.000 €,,Non,"Sint Cordulastraat 19/1
2900 - Schoten",,Oui,Oui,Non,1609 - 1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,À rénover,2,1,131 m²,,Semi-équipée,3,1,1,Oui,Non,190 m²,5 m,Oui,Oui,Ouest,734 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,Électrique,,,,,,160.000 €,,Non,"Paalstraat 70
2900 - Schoten",20466 - 880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1989,,4,1,310 m²,65 m²,Hyper équipée,4,2,2,,Non,610 m²,15 m,Oui,,,291 kWh/m²,C,20210601-0002423232-RES-1,Non communiqué,Non communiqué,Non,Gaz,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",745.000 €,2.815 €,Non,"Coquilhatstraat, 37-39
2000 - Antwerpen",5266 - 1061,,Oui,Non,,1 décembre 2021 - 00:00,11 m,"Zone d'habitat (résidentiel, urbain ou rural)",1,30 m²,20 m²,14 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,2010,Excellent état,4,1,300 m²,40 m²,Hyper équipée,4,3,4,Oui,,1774 m²,,Oui,,,160 kWh/m²,B,1326555-00000037-3,Non communiqué,Non communiqué,,,Oui,Non,Non,Zone non inondable,Parc résidentiel,1.095.000 €,3.104 €,Non,"Heidestatiestraat 53
2920 - Kalmthout",4531280,Non,Oui,Non,,,,Pays,,38 m²,21 m²,16 m²,Oui,3,Oui,50 m²,14 m²,2,14 m²,Oui,Oui,Connecté,Oui,Non,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,2019,,2,,120 m²,,Équipée,2,1,2,,Non,,5.5 m,Oui,,,22 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,298.000 €,,Oui,"Paalstraat 70
2900 - Schoten",20514 - 798,,,,,,,,,,,,,,,,,1,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,2019,,2,,120 m²,,Équipée,2,1,2,,Non,,5.5 m,Oui,,,22 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,298.000 €,,Non,"Paalstraat 70
2900 - Schoten",20509 - 798,,,,,,,,,,,,,,,,,1,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,2019,,2,,120 m²,,Équipée,2,2,2,,Non,,8.14 m,Oui,,,20 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,299.000 €,,Oui,"Paalstraat 70
2900 - Schoten",20515 - 799,,,,,,,,,13 m²,11 m²,,,,,,,,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,2019,,2,,120 m²,,Équipée,2,2,2,,Non,,8.14 m,Oui,,,20 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,,,,,299.000 €,,Non,"Paalstraat 70
2900 - Schoten",20505 - 799,,,,,,,,,13 m²,11 m²,,,,,,,,,,,,,,,,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,1980,Bon,2,1,180 m²,44 m²,Équipée,4,1,2,,Non,300 m²,,Oui,,Sud-ouest,Non communiqué,Non communiqué,20171121-0002012444-1,Non communiqué,Non communiqué,,Gaz,Oui,Oui,,Zone non inondable,,395.000 €,1.142 €,Non,,,Non,Oui,,,,6 m,"Zone d'habitat (résidentiel, urbain ou rural)",,18 m²,18 m²,13 m²,Non,2,,9 m²,10 m²,,,Non,,Connecté,,Non,Non,Non,24 m²,Oui,Non,Non,Non,Non,Non,Non,150 m²,Sud-ouest,Non,Non,Non,Non,Non,Oui,170,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,
