,À partir de,Année de construction,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Meublé,Surface du terrain,Jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Niveau E (performance énergétique globale),Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,État du bâtiment,Salon,Salle à manger,Dressing,Buanderie,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Surface du jardin,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de construction,Revenu cadastral,Largeur de la façade à rue,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Largeur du terrain à rue,Type de chauffage,Cave,Visite virtuelle,Raccordement à l'égout,Surface constructible totale au sol,Obligation de construire,Surface de la terrasse,Salles de douche,Type d’environnement,Grenier,Terrasse,Attestation de conformité des citernes à mazout,Orientation de la terrasse,Surface de bureau,Disponible le,Surface du grenier,Référence externe,Surface de la chambre 4,Isolé,Surface de la cave,Surface de l'espace professionnel,Nombre d'annexes,Surface de la chambre 5,Quartier ou lieu-dit,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nom de l'agent,Combien de feux ouverts ?,Revenu mensuel actuel,Pourcentage loué,Nom du bien
0,Après la signature de l’acte,2020,2,1,1,240 m²,Équipée,3,1,2,Non,240 m²,Oui,Nord-ouest,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,20,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",429.000 €,Non,"Kerkstraat 73
2940 - Stabroek-Hoevenen",47 - 93363843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,1981,2,,,146 m²,,3,1,2,Non,186 m²,,,Non communiqué,Non communiqué,20210819-0002453819-RES-1,Non communiqué,Non communiqué,,,,,,,,,349.000 €,Non,,,Excellent état,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,1 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Maison bel-étage,1.100 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1974,2,2,2,162 m²,,3,1,2,Non,204 m²,,Nord-est,198 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Non,,Oui,Oui,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",339.000 €,Non,"Markt 33
2940 - Hoevenen",8366 - 18370,Fraîchement rénové,,,,,,,,,,,,,114 m²,,,,,,,,,,,,,,,,,,1.100 €,6 m,29 m²,6 m²,16 m²,16 m²,6 m²,6 m,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,1972,4,1,3,212 m²,,3,1,2,Non,613 m²,Oui,Sud-est,519 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Non,,,,,,,,498.000 €,Non,"Markt 33
2940 - Hoevenen",8358 - 18378,Bon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.529 €,14 m,,21 m²,15 m²,14 m²,5 m²,17.1 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,1973,2,1,2,170 m²,Équipée,3,1,2,Non,350 m²,Oui,Sud-ouest,399 kWh/m²,D,20210516-0002415,Non communiqué,Non communiqué,Non,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",415.000 €,Non,"Kloosterstraat 89-93
2180 - Ekeren",31721 - EKE-21-ADH-0,Bon,,Oui,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,13 m,,12 m²,19 m²,18 m²,14 m²,13 m,Gaz,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1976,,1,,32 m²,6 m²,16 m²,1,Oui,,Non,,216 kWh/m²,C,20210406-0002397752-RES-1,Non communiqué,Non communiqué,Gaz,,,,,Zone non inondable,,"Zone d'habitat (résidentiel, urbain ou rural)",315.000 €,1.100 €,"Dorpsstraat 11
2940 - Stabroek",2021-070C,,Excellent état,,,1,Non,199 m²,,,Non,Non,Non,Non connecté,199 m²,Nord-ouest,,,,,,,,,,,,,,,,44 m²,,Non,,Équipée,3,14 m²,6 m²,Non,,Oui,,131 m²,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1984,3,4,,Oui,4 m²,14 m²,2,Non,269 m²,9 m,,1 m²,B,2469221,Non communiqué,Non communiqué,Non,Gaz,,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",349.000 €,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314337 - 1314207,,Excellent état,,Hyper équipée,,,,,,,,,,116 m²,Nord-ouest,,,,,,,,,,,,,,,,Oui,,,,,3,13 m²,9 m²,1,Oui,Oui,,179 m²,,,,161 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,1976,2,1,,Équipée,3,1,1,Non,205 m²,6.5 m,,,A,20210816-0002451989-RES-1,Non communiqué,Non communiqué,Non,Gaz,,,,,,,,Non,"Theo Verellenlaan 19
2990 - Wuustwezel",1314296 - 1314196,,Excellent état,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.000 €,,,,,,,,,80 m²,Oui,,150 m²,,,,73 kWh/m²,2,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1948,2,,2,160 m²,,3,1,,,210 m²,,,291 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,Non,"Dorpsstraat 84
2940 - Stabroek",4531196,Bon,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,Oui,,,,32 m²,8 m²,16 m²,14 m²,7 m²,6.1 m,Gaz,,,,72 m²,,,,Isolé,Oui,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,1954,2,,,157 m²,,2,1,,,344 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",319.000 €,Non,"Dorpsstraat 84
2940 - Stabroek",4514032,Excellent état,,,,,,,,,,,,Oui,,,,,,,,Oui,,,,,,,,,Oui,,,,30 m²,12 m²,20 m²,16 m²,,,,,,Connecté,,,,,Urbain,,Oui,,,,,,,,,,,,,,,,,,,,,,
