,Année de construction,Nombre de façades,Parkings extérieurs,Surface habitable,Chambres,Salles de bains,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Type d’environnement,Largeur de la façade à rue,Parkings intérieurs,Cave,Permis de bâtir obtenu,Surface constructible totale au sol,État du bâtiment,Visite virtuelle,Surface du salon,Type de cuisine,Toilettes,Largeur du terrain à rue,Surface du jardin,Surface de la terrasse,Attestation as-built,Combien de feux ouverts ?,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Buanderie,Surface de bureau,Bureau,Grenier,Isolé,Accès sécurisé / alarme,Piscine,Panneaux photovoltaïques,Nom de l'agent,Salles de douche,Orientation du jardin,Orientation de la terrasse,Porte blindée,Jardin,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Type de construction,Salon,Salle à manger,Dressing,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux solaires,Chauffe-eau commun,Référence externe,Surface de la cave,Niveau E (performance énergétique globale),Obligation de construire,Surface de la chambre 5,Attestation de conformité des citernes à mazout,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Disponible le,Surface du grenier,Nombre d'annexes,Quartier ou lieu-dit,Surface de l'espace professionnel,Nom du bien
0,2004,4,3,210 m²,3,1,Non,907 m²,Connecté,Oui,Oui,620 kWh/m²,F,20210413-0002400909-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",421.000 €,364 €,Oui,"Gasthuisstraat 21
2340 - Beerse",4437593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,4,,254 m²,4,2,,1429 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,645.822 €,,Non,"Nerviërslei 6
2900 - Schoten",4320461,Après la signature de l’acte,Isolé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1990,4,1,180 m²,3,2,Non,1150 m²,,Non,Oui,386 kWh/m²,D,UC 1871463-1,Non communiqué,Non communiqué,Électrique,Oui,Oui,Non,Non,,Parc résidentiel,574.000 €,,Non,"Turnhoutsebaan, 532
2970 - Schilde",4535982,Après la signature de l’acte,,12 m,1,Oui,Oui,100 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1990,4,,32 m²,1,2,722 m²,19 m,,,,C,20210918-0002465890-RES-1,Non communiqué,Non communiqué,Non,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",439.000 €,Non,,"Bevrijdingsplein 4
3970 - Leopoldsburg",1314322 - 1308654,,Après la signature de l’acte,,9 m,1,,Oui,,Excellent état,135 m²,Hyper équipée,2,Non,547 m²,27 m²,285 kWh/m²,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1991,4,,292 m²,4,1,,1944 m²,Connecté,Oui,,159 kWh/m²,B,20190401-0002146764-RES-1,159 kg CO₂/m²,Non communiqué,Gaz,Oui,Non,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",559.000 €,1.572 €,,"Hogeweg 34
2960 - St Job In't Goor",,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",,2,,,,Excellent état,,39 m²,Équipée,2,,950 m²,56 m²,Non,1,19 m²,25 m²,25 m²,13 m²,13 m²,Oui,7 m²,Oui,Oui,Oui,Oui,Oui,Oui,Geert Schellekens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1995,4,6,140 m²,2,1,,750 m²,,,,519 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Électrique,,,,,,,365.000 €,743 €,,"Blauwesteenstraat 67
2550 - Kontich",Hilde Van Look,Immédiatement,"Zone d'habitat (résidentiel, urbain ou rural)",10 m,,,,,Fraîchement rénové,,45 m²,Hyper équipée,2,,500 m²,40 m²,,1,10 m²,19 m²,16 m²,,,Oui,,,,,,,,,1,Sud-ouest,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1993,4,3,216 m²,4,,Non,1200 m²,Connecté,Non,,Non communiqué,Non communiqué,20170918-0001994542-1,Non communiqué,Non communiqué,Mazout,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,589.000 €,1.412 €,Non,"Het Schoemeken 37
2970 - Schilde",TK/0090,,,12.8 m,1,Oui,,122 m²,Bon,,41 m²,Équipée,2,20 m,,,,,21 m²,,,,,,,Non,,,Oui,Non,,,,Est,,Non,Oui,Non,Non,Non,Non,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1992,3,4,,6,3,Non,1869 m²,Connecté,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,Oui,Non,Non,Zone non inondable,Parc résidentiel,385.000 €,,Oui,,,,"Zone d'habitat (résidentiel, urbain ou rural)",21 m,,,Oui,1869 m²,À rafraîchir,,,Équipée,3,,1000 m²,45 m²,"Oui, conforme",,,,,,,Oui,,Non,,,Non,Non,Oui,,3,Sud,Sud,Non,,Non,Non,Non,Oui,,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,,,,,,,,,,,,,,,,
8,1996,4,,,2,1,,835 m²,,,,597 kWh/m²,F,20210915-0002464437-RES-1,Non communiqué,Non communiqué,Gaz,Oui,Non,Non,,Zone non inondable,,350.000 €,835 €,Non,"Antwerpsesteenweg, 93
2390 - OOSTMALLE",,Immédiatement,Pays,,,Oui,Oui,,Bon,,,Équipée,,,,,,,,,,,,,,,Oui,,,,,Jolien HOREMANS,,,,,,,,,,,Oui,,,,,,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,
9,,4,,60 m²,2,1,Non,1555 m²,,,Oui,901 kWh/m²,F,2467489,Non communiqué,Non communiqué,,Oui,,,,,,399.000 €,,Non,"Korte Nieuwstraat 16
2000 - Antwerpen",4508155,Après la signature de l’acte,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,À rénover,,,,1,,,,,,,,,,,,,,Oui,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
