,À partir de,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Salon,Type de cuisine,Surface de la cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Cave,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Parkings intérieurs,Visite virtuelle,Surface du salon,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Meublé,Surface du jardin,Orientation du jardin,Terrasse,Pompe à chaleur,Surface de la terrasse,Attestation as-built,Autorisation de lotissement,Site internet,Largeur de la façade à rue,Surface de la chambre 4,Niveau E (performance énergétique globale),Grenier,Jardin,Orientation de la terrasse,Quartier ou lieu-dit,Parkings extérieurs,Type d’environnement,Salle à manger,Surface de la chambre 5,Panneaux solaires,Buanderie,Bureau,Surface de la cave,Surface du grenier,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Attestation de conformité des citernes à mazout,Obligation de construire,Combien de feux ouverts ?,Surface de bureau,Surface de l'espace professionnel,Espace professionnel,Nombre d'annexes,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Surface constructible totale au sol,Disponible le,Nom du bien,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Type de construction,Pourcentage loué,Isolé
0,Après la signature de l’acte,1947,À rénover,2,153 m²,Oui,Semi-équipée,6 m²,3,3,2,3,Oui,42 m²,4 m,Connecté,Oui,245 kWh/m²,C,20181214-0002116355-1,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,Non,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",419.000 €,647 €,Non,"Tiensesteenweg 93
3010 - Kessel-Lo",4498132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À définir,,Bon,4,31 m²,,10 m²,3,14 m²,,,Non,,Connecté,,Oui,450 m²,F,20210927-0002459506-RES-1,Non communiqué,Non communiqué,Mazout,Non,425.000 €,,,,,,1.313 €,Non,"Leopoldstraat 37
2800 - Mechelen",,,1,110 m²,Équipée,8 m²,7 m²,Non,1,540 m²,Ouest,Oui,606 kWh/m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,,Bon,2,120 m²,,,8 m²,3,3,,3,,60 m²,7.5 m,,,310 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",745.000 €,,Oui,"Vismarkt 10 c
3000 - Leuven",,,,20 m²,13 m²,11 m²,,,Non,,,,,12 m²,Non,Non,2747 - 2991768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,,Bon,2,120 m²,,,8 m²,3,3,,3,,60 m²,7.5 m,,,310 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",745.000 €,,Non,"Vismarkt 10 c
3000 - Leuven",,,,20 m²,13 m²,11 m²,,,Non,,,,,12 m²,Non,Non,2745 - 2991768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,,Fraîchement rénové,2,205 m²,,,23 m²,4,1,,1,Oui,147 m²,,,,314 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",765.000 €,1.236 €,Oui,"Vismarkt 10 c
3000 - Leuven",,,,33 m²,24 m²,17 m²,15 m²,,Non,61 m²,Sud-est,,,18 m²,Non,,2743 - 2991847,6 m,15 m²,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,,Fraîchement rénové,2,205 m²,,,23 m²,4,1,,1,Oui,147 m²,,,,314 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,Zone non inondable,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",765.000 €,1.236 €,Non,"Vismarkt 10 c
3000 - Leuven",,,,33 m²,24 m²,17 m²,15 m²,,Non,61 m²,Sud-est,,,18 m²,Non,,2742 - 2991847,6 m,15 m²,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,À définir,,À rénover,,130 m²,,Semi-équipée,,2,,,1,Oui,156 m²,,Connecté,Oui,734 kWh/m²,F,Non communiqué,Non communiqué,Non communiqué,Gaz,,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",325.000 €,523 €,Non,"Hoogstraat 2 bus 1
3360 - Bierbeek",,,,,,,,Non,Non,,Ouest,Oui,Non,,Non,Non,,,,,Oui,Oui,Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,1948,Excellent état,2,350 m²,,Américaine hyper-équipée,,5,2,,3,Oui,705 m²,,,,103 kWh/m²,B,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,Non,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",1.180.000 €,1.648 €,Non,"Dirk Boutslaan 4
3000 - Leuven",,1,,60 m²,17 m²,19 m²,33 m²,,,,,,,70 m²,,Non,4531632,,16 m²,,Oui,,,Regio Leuven,1,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,19 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,,,,,Oui,"Mechelsesteenweg 382
3020 - Herent",,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,30 kWh/m²,A,Non communiqué,Non communiqué,Non communiqué,,,Oui,Non,Non,,,,,Oui,"Mechelsesteenweg 382
3020 - Herent",,,,,,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
