,À partir de,État du bâtiment,Nombre de façades,Parkings intérieurs,Salon,Type de cuisine,Salles de bains,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Immeuble de rapport,Adresse,Site internet,Disponible le,Quartier ou lieu-dit,Visite virtuelle,Permis de bâtir obtenu,Année de construction,Parkings extérieurs,Surface habitable,Surface du salon,Salle à manger,Combien de feux ouverts ?,Chambres,Buanderie,Surface de la cave,Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Nom de l'agent,Type d’environnement,Dressing,Bureau,Attestation de conformité des citernes à mazout,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Revenu cadastral,Référence externe,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Terrasse,Chauffe-eau commun,Surface de la cuisine,Niveau E (performance énergétique globale),Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Ascenseur,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Largeur de la façade à rue,Grenier,Largeur du terrain à rue,Parlophone,Piscine,Surface constructible totale au sol,Lieu de la vente,Séance unique,Modalités de visite,Isolé,Informations supplémentaires,Mise à prix,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Espace professionnel,Concierge,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Type de construction,Surface de bureau,Surface de l'espace professionnel,Surface du grenier,Vue sur mer,Pourcentage loué,Revenu mensuel actuel,Nombre d'annexes,Charges mensuelles,Jardin,Description libre du PEB
0,Selon le locataire,Bon,3,3,Oui,Équipée,6,6,6,Oui,Non,184 m²,742 kWh/m²,G,20210412-0000586573-01-7,196 kg CO₂/m²,Non communiqué,Gaz,Oui,1.000.000 €,Oui,"rue de Flandre 197
1000 - Bruxelles ville",4381721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Immédiatement,,,113,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,30 décembre 2020 - 00:00,Bruxelles,33 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,1,,5,1,4,Oui,,280 m²,160 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Non,495.000 €,Non,"Chaussée de Waterloo 1358A
1180 - Uccle",Aurore Binkin,,,,220 m²,,1992,2,50 m²,Oui,1,Équipée,1,1 m²,Non,Sud-ouest,30 m²,Sud-ouest,Non communiqué,Gaz,Non,Non,Oui,629AB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,À rénover,2,,Oui,Semi-équipée,4,4,4,,Non,107 m²,781 kWh/m²,G,Non communiqué,157 kg CO₂/m²,Non communiqué,Gaz,,299.000 €,Non,"rue de Flandre 197
1000 - Bruxelles ville",4403843,,Bruxelles (19 communes),,,,,,,,,4,,,,,,,,,,,,Urbain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Selon le locataire,,,,Oui,Équipée,,,,,Non,,137 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,450.000 €,Oui,"av Charles Quint, 305
1083 - Ganshoren",spir728,,,,,1930,,,,,,5,,,,,,,,Non,,,,Urbain,Non,Non,Non,Non,Zone d'extension d'habitat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Immédiatement,Bon,2,,,Équipée,6,,6,,Non,,246 kWh/m²,E,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,645.000 €,Oui,"105 avenue Seghers
1081 - Bruxelles",459-0000,,,,,,,453 m²,17 m²,,,6,,,9 m²,,,,Non,Non,Non,Non,,,,,,,,1.536 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,2,,,Équipée,,,,Oui,Non,318 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Non,795.000 €,Oui,"Avenue Charles Quint 101
1083 - Ganshoren",,,,,,,,952 m²,,,,6,,,,,,,Non,Non,Non,Non,,,,,,,,,G1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,À rafraîchir,,,,,,,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,355.000 €,Non,"Chaussée de Waterloo 256
1060 - Saint-Gilles",5807743,,,,,,,120 m²,,,,2,,,,,,,Non,Non,Non,Non,,,Non,Non,Non,,,,,Non,Non,Non,Non,Non,Non connecté,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Bon,2,,,,3,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,380.000 €,Non,"Rue openveld 2 - bt 1
1082 - Berchem-Ste-Agathe",4330259,,,,,,,189 m²,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,À définir,,2,,,,10,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,3.990.000 €,Oui,"Rue Zeyp 17
1083 - Ganshoren",4339787,,,,,1920,,2343 m²,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,À rafraîchir,2,,,,4 m²,,,,Non,Non connecté,E,202107220000592950011,46 kg CO₂/m²,Non communiqué,232,Non,Non,632 €,"Place du Châtelain 35
1050 - Ixelles",,,,,196 m²,,,,12 m²,10 m²,,,1,,Non,,,,,,Non,Non,Non,,,,,,,365.000 €,Non,,65 m²,,,,,Oui,232 kWh/m²,,Oui,4,Gaz,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,2,,,,17 m²,,,,Non,Non connecté,F,20130415-0000158574-01-5,64 kg CO₂/m²,Non communiqué,295,Non,Non,845 €,"Place du Châtelain 35
1050 - Ixelles",,,,,230 m²,,1918,,11 m²,,,,1,,Non,,,Non,,,Non,Oui,Non,,,,,,,390.000 €,Non,,295 kWh/m²,,,,,Oui,45 m²,,Oui,4,Gaz,Non,Non,Zone non inondable,Autre type de zone,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,À définir,Bon,2,,,Équipée,6,,6,Oui,Non,223 m²,377 kWh/m²,G,Non communiqué,75 kg CO₂/m²,Non communiqué,Gaz,Oui,790.000 €,Oui,"Drève Richelle , 33
1410 - Waterloo",4529627,,,,,,,442 m²,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,Connecté,Oui,,,,,,,,,Non,Oui,,6.5 m,Oui,6.5 m,Oui,Non,510 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Après la signature de l’acte,Bon,2,,,Équipée,,,,Oui,Non,117 m²,202 kWh/m²,D,Non communiqué,40 kg CO₂/m²,Non communiqué,Gaz,Oui,445.000 €,Non,"Blvd. G. Wahis 272 (place Meiser)
1030 - Schaerbeek",4232 - 2138,,,,,1930,,235 m²,50 m²,,,4,,,,,15 m²,,Non,,,,,,,,,,,1.808 €,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,À définir,Bon,,1,,Semi-équipée,,,2,,Non,93 m²,556 kWh/m²,G,20121127-0000129905-01-9,Non communiqué,Non communiqué,Gaz,,475.000 €,Oui,"Doorniksewijk 41
8500 - Kortrijk",,,,,Oui,,,210 m²,,,,2,,,,,,,Non,Non,,,,,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,Connecté,Oui,Oui,,,,Non,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Oui,,,,4,1,Oui,Oui,,,,G,Non communiqué,Non communiqué,Non communiqué,Idéalement situé près de la connexion stratégique Simonis pour tous les transport en commun © grands magasins et comm. à prox.,249.000 €,,,,Loes VERHEUST,,,,,Équipée,,,,,,,,1,,,,,,,,,,,,,,,,,,"Rue du Midi, 146
1000 - Bruxelles ville",,,,,,,,,,,,,,,,,,,,,70 m²,,,,,Non,"sam. 9-16-30/10 de 11h30-13h30, mercr. 13-20/10 de 15-17h et lun. 18/10 de 12h30-14h30. MAX 2 PERS. MASQUE OBLIGATOIRE. Gel hydro-alcoolique (non fourni).",Après la signature de l’acte,401 kWh/m²,1.522 €,Oui,,,,,,,,,,,,,,,,,,,,,,,
16,Après la signature de l’acte,À rénover,2,1,,Semi-équipée,1,,1,,Non,177 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,369.000 €,Oui,"Chaussée de Gand 331
1081 - Koekelberg",4310453,,Bruxelles (19 communes),,,,1,252 m²,30 m²,,,3,,,,,,,,,,,,,,,,,,711 €,,,,,,,Connecté,Oui,Oui,,15 m²,,,,,,,,,5.3 m,,,,,,,,,,,,13 m²,12 m²,10 m²,,,,,,,,,,,,,,,,,,,,
17,Après la signature de l’acte,À rénover,2,,,Équipée,1,,3,,,100 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,355.000 €,Non,"Avenues Charles Quint 114
1083 - Ganshoren",,,,,,1918,,,24 m²,Oui,,3,,45 m²,,,8 m²,,,,,,,,,,,,,888 €,,,,,,,,,,,15 m²,,,,,,,,,,,,,,,,,,,,,21 m²,12 m²,21 m²,,,,,,,,,,,,,,,,,,,,
18,Après la signature de l’acte,,,,,,1,,,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,370.000 €,Non,"Rue de Laeken 91
1000 - Bruxelles",,,,,,,,100 m²,,Oui,,3,,,,,,,,,,,,,,Oui,,,,711 €,798/17041,,,,,,Connecté,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,19 m²,14 m²,7 m²,,,,,,,,,,,,,,,,,,,,
19,Selon le locataire,Bon,2,,,Américaine hyper-équipée,3,1,3,,Non,175 m²,226 kWh/m²,E,Non communiqué,45 kg CO₂/m²,Non communiqué,Gaz,Oui,669.000 €,Oui,"Rue Potaerdenberg 31
1070 - Anderlecht",4448031,31 mars 2022 - 00:00,Centre Bruxelles,,,1891,,280 m²,,,,4,,,70 m²,,20 m²,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,1.073 €,,,,,,,Connecté,Oui,,,,,,Non,Non,Zone non inondable,Non,Non,,6 m,,6 m,Oui,Non,80 m²,,,,,,,18 m²,12 m²,16 m²,14 m²,,,,,,,,,,,,,,,,,,,
20,Selon le locataire,Bon,2,,,Américaine hyper-équipée,3,1,3,,Non,175 m²,226 kWh/m²,E,Non communiqué,45 kg CO₂/m²,Non communiqué,Gaz,Oui,669.000 €,Non,"Rue Potaerdenberg 31
1070 - Anderlecht",4420398,31 mars 2022 - 00:00,Centre Bruxelles,,,1891,,280 m²,,,,4,,,70 m²,,20 m²,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Oui,,,,1.073 €,,,,,,,Connecté,Oui,,,,,,Non,Non,Zone non inondable,Non,Non,,6 m,,6 m,Oui,Non,80 m²,,,,,,,18 m²,12 m²,16 m²,14 m²,,,,,,,,,,,,,,,,,,,
21,Après la signature de l’acte,À rafraîchir,2,,,Pas équipée,4,4,5,,,269 m²,678 kWh/m²,G,Non communiqué,146 kg CO₂/m²,Non communiqué,Gaz,,670.000 €,Oui,"Place Colignon 47
1030 - Schaerbeek",4515076,,,,,1900,,300 m²,,,,7,,,175 m²,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,19 m²,16 m²,14 m²,23 m²,23 m²,,,,,,,,,,,,,,,,,,
22,,À rafraîchir,2,,Oui,Équipée,1,,2,Oui,Non,90 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,350.000 €,Non,,,,,,Oui,,,160 m²,,Oui,,3,Oui,,25 m²,,,,,Non,Non,Non,,,Non,Non,,,,985 €,,Non,Oui,Non,Non,Non,Connecté,Oui,Oui,Oui,,,,Oui,,,Non,Non,Non,6 m,Oui,,Non,Non,,,,,,,,,,,,,Non,Non,Non,Non,Non,Non,Oui,Toutes sortes,,,,,,,,,,
23,À définir,À rénover,2,,,Américaine équipée,2,1,2,,Non,210 m²,438 kWh/m²,G,Non communiqué,88 kg CO₂/m²,Non communiqué,Gaz,,429.000 €,Oui,"av. de la Floride 77
1180 - Uccle",4448720,3 janvier 2022 - 00:00,,,,1930,,205 m²,18 m²,Oui,,4,,,125 m²,,15 m²,,,,,,,,,Oui,,,,1.472 €,,,,,,,,,,,8 m²,,,,,,,,,,,,,,,,,,,,,16 m²,16 m²,15 m²,12 m²,,,,,,,,,,10 m²,,,,,,,,,
24,,,2,,,Hyper équipée,,1,,Oui,Non,168 m²,257 kWh/m²,E,20180314-0000523702-01-2,51 kg CO₂/m²,Non communiqué,,Oui,349.000 €,Non,"Rue de Tervaete 35
1040 - Etterbeek",,,,,,1896,,144 m²,24 m²,Oui,,2,Oui,,,,,,Non,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Non,Non,,,Zone d'habitat mixte (habitat & activité économique),1.085 €,3774,Non,,,,,Connecté,Oui,,,10 m²,,Non,Non,Non,,Non,Non,Non,4.83 m,,,Oui,Non,,,,,,,,18 m²,18 m²,,,,,Non,,Non,,,,,,,,,,,,,,
25,Après la signature de l’acte,Bon,2,,,Équipée,2,1,4,,,89 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,495.000 €,Oui,,,,,,,1960,,248 m²,23 m²,,,3,,31 m²,,,4 m²,Ouest,,,,,,,,,,,,1.641 €,,,Oui,,,,,,,,11 m²,,,,,,,,,,,,,,,,,,,,,15 m²,9 m²,23 m²,,,Oui,,,,,,,,,75 m²,,,,,,,,
26,Selon le locataire,À rafraîchir,2,1,Oui,Semi-équipée,8,8,8,,Non,110 m²,357 kWh/m²,G,Non communiqué,66 kg CO₂/m²,Non communiqué,Gaz,Oui,675.000 €,Oui,"Rue Potaerdenberg 31
1070 - Anderlecht",4404181,30 octobre 2021 - 00:00,,,,1912,,240 m²,,,,8,,,50 m²,,,,,,,,,,,,,,,1.373 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 m²,20 m²,25 m²,20 m²,35 m²,,,,,,,,,,,,,,,,,,
27,Immédiatement,Excellent état,2,,,Américaine équipée,3,3,3,Oui,Non,,232 kWh/m²,E,Non communiqué,46 kg CO₂/m²,Non communiqué,Gaz,Oui,945.000 €,Oui,"Avenue Van Overbeke 55, B 7
1083 - Ganshoren",,,,,,1950,,400 m²,50 m²,,,8,,,100 m²,,14 m²,,Non,,,,,,,,,,,7.824 €,1467 - 2367,,,,,,,Oui,,,,,,,,,,,,10 m,,,Oui,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,
28,,Bon,2,10,,,3,3,5,Oui,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,845.000 €,Oui,"Rue Zeyp 17
1083 - Ganshoren",4276330,,,,,1930,10,415 m²,,,,6,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115 m²,,,,,,,,
29,,,2,,,Équipée,2,1,2,Oui,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,579.000 €,Non,"Square Eugène Plasky 97
1030 - Schaerbeek",7881-1,,,,,,,237 m²,37 m²,Oui,,5,,,,,16 m²,Est,Non,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,À définir,Bon,,,,Équipée,,,1,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,730.000 €,Oui,"Av. Winston Churchill 157/5
1180 - Uccle",,,,,,,,,,,,4,,,,,,,,Non,,,,,Non,,,,,,,,,,,,Connecté,Oui,,,,,,,,,,,,,,,,,,,,,,,,12 m²,12 m²,12 m²,12 m²,,,,,,,,,,,,,,,,,,,
