,Lieu de la vente,Séance unique,Modalités de visite,À partir de,Nombre de façades,Visite virtuelle,Salon,Salle à manger,Chambres,Salles de bains,Grenier,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Permis de bâtir obtenu,Type de zone inondable,Mise à prix,Revenu cadastral,Immeuble de rapport,Adresse,Année de construction,Type de cuisine,Toilettes,Bureau,Cave,Panneaux solaires,Double vitrage,Autorisation de lotissement,Droit d'achat prioritaire possible,État du bâtiment,Surface habitable,Meublé,Terrasse,Attestation as-built,Type de chauffage,Prix,Site internet,Parkings intérieurs,Parkings extérieurs,Surface du salon,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Orientation de la terrasse,Pompe à chaleur,Largeur de la façade à rue,Type d’environnement,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Largeur du terrain à rue,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Référence externe,Surface de la terrasse,Attestation de conformité des citernes à mazout,Obligation de construire,Disponible le,Jardin,Surface constructible totale au sol,Combien de feux ouverts ?,Salles de douche,Surface de l'espace professionnel,Surface de la cave,Surface du grenier,Surface de la chambre 5,Niveau E (performance énergétique globale),Quartier ou lieu-dit,Surface de bureau,Isolé,Nom de l'agent,Nom du bien
0,Non,"nl :
zaterdag van 10u-12u uur vanaf zaterdag 16 oktober 2021 tot en met zaterdag 13 november 2021.",Après la signature de l’acte,2,Oui,Oui,3,1,Oui,110 m²,557 kWh/m²,F,20210702-0002436941-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,200.000 €,428 €,Non,"Baron A. de Becker-Remyplein, 61
3010 - Kessel-Lo",Joz WERCKX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Trekschurenstraat 245
3500 - Hasselt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Non,"nl :
Elke zaterdag van 10 uur tot 12 uur, vanaf zaterdag 28/8/2021 tot en met zaterdag 2/10/2021",Après la signature de l’acte,1954,Oui,Oui,Équipée,3,1,Oui,F,,20210319-0002387918-RES-1,Non communiqué,Non communiqué,Non,Oui,,585 €,Non,"Leopold Ruelensstraat, 54
3010 - Kessel-Lo",Veronique Knapen,,2,1,Oui,Oui,605 kWh/m²,Non,Non,Zone non inondable,225.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Non,"nl :
’s zaterdags van 10u-12u vanaf zaterdag 11 september 2021 tot en met zaterdag 9 oktober 2021",Après la signature de l’acte,2,Oui,1,1,,Oui,Oui,205 kWh/m²,C,20210606-00002425419-RES-1,Non communiqué,Non communiqué,Oui,Non,Non,240 €,Non,"Baron A. de Becker-Remyplein, 61
3010 - Kessel-Lo",Joz WERCKX,,,,,,60 m²,,,Zone non inondable,90.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,Après la signature de l’acte,2,,,,3,1,,110 m²,161 kWh/m²,B,20210116-0002357816-RES-1,Non communiqué,Non communiqué,,,,322 €,Non,"Vanderkelenstraat, 22
3000 - Louvain",,Équipée,1,,Oui,,Oui,,,Fraîchement rénové,100 m²,Non,Oui,Non,Gaz,349.000 €,20230 - 1441412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,À définir,3,,,,4,,Oui,290 m²,221 kWh/m²,C,20211007-0002473648-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,,Non,"Leopoldstraat 37
2800 - Mechelen",,Équipée,2,,,,Oui,,,Bon,169 m²,Non,Oui,,Gaz,399.000 €,,1,1,31 m²,8 m²,12 m²,11 m²,11 m²,6 m²,Non,Connecté,Oui,200 m²,Sud-est,Sud-est,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,À définir,2,,,,3,1,,94 m²,148 kWh/m²,B,20210909-0002462379-RES-1,Non communiqué,Non communiqué,,Zone non inondable,,,Non,,2008,Équipée,2,Non,,Non,Oui,,,Excellent état,181 m²,Non,,,Gaz,540.000 €,,2,,,,10 m²,10 m²,14 m²,,Non,Connecté,Oui,30 m²,,,Non,6 m,Urbain,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,
7,,,,À définir,2,,,,3,1,,913 m²,273 kWh/m²,C,2468847,Non communiqué,Non communiqué,Oui,Zone non inondable,,,Non,"Honsemsestraat 20
3370 - Boutersem",1938,,2,,Oui,Oui,Oui,Non,Non,Bon,147 m²,Non,Oui,,Gaz,429.000 €,,1,1,28 m²,18 m²,36 m²,18 m²,14 m²,,,Connecté,Non,,,,,8 m,,,,,,,,,,,Oui,,,,,,,,,,,,8 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",4520819,,,,,,,,,,,,,,,,,,
8,,,,Après la signature de l’acte,3,,Oui,Oui,3,1,,223 m²,Non communiqué,Non communiqué,20211001-0002471222-RES-1,Non communiqué,Non communiqué,Oui,Zone non inondable,,1.070 €,Non,"Geldenaaksebaan 176 C
3001 - Heverlee",1971,,2,,,,Oui,Oui,Non,Bon,192 m²,Non,,,Gaz,442.000 €,Herman Snoeijs,1,1,,,17 m²,11 m²,8 m²,,,Connecté,Oui,150 m²,Nord-ouest,Nord-ouest,,7.2 m,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,Oui,,,,Oui,,,,,,,,,,,7.5 m,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,
9,,,,,2,,,,4,1,,117 m²,427 kWh/m²,E,20201111-0002334930-Res-1,Non communiqué,Non communiqué,,Zone non inondable,,634 €,Non,,,,1,Non,,Non,Non,Non,,,216 m²,Non,,Non,Gaz,319.000 €,,,,,,,,,,Non,,Oui,56 m²,Sud-ouest,Sud-ouest,Non,5 m,,,Non,Non,Oui,Non,Non,Non,,,,,,,,,,,,Non,Non,,,Non,,,12 m²,Non,Non,,,,,,,,,,,,,,,
