,À partir de,Quartier ou lieu-dit,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Meublé,Porte blindée,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Surface constructible totale au sol,Type de zone inondable,Prix,Immeuble de rapport,Adresse,Site internet,Disponible le,Visite virtuelle,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Dressing,Cave,Grenier,Orientation du jardin,Type de chauffage,Pompe à chaleur,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Attestation as-built,Panneaux photovoltaïques,Panneaux solaires,Année de construction,Revenu cadastral,Buanderie,Informations supplémentaires,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Largeur de la façade à rue,Terrasse,Procédure pour violation de la réglementation urbanistique,Salon,Autorisation de lotissement,Droit d'achat prioritaire possible,Jardin,Largeur du terrain à rue,Surface de la cave,Référence externe,Bureau,Niveau E (performance énergétique globale),Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Chauffe-eau commun,Type de construction,Obligation de construire,Attestation de conformité des citernes à mazout,Combien de feux ouverts ?,Orientation de la terrasse,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Surface de bureau,Description libre du PEB,Pourcentage loué,Revenu mensuel actuel,Surface de l'espace professionnel,Nombre d'annexes,Nom de l'agent,Charges mensuelles,Nom du bien,Isolé,Surface du grenier
0,Après la signature de l’acte,Bruxelles (19 communes),Excellent état,2,1,3,Isolé,279 m²,15 m²,Oui,Américaine hyper-équipée,18 m²,3,23 m²,10 m²,45 m²,3,3,4,Oui,Oui,242 m²,Connecté,Oui,70 m²,52 m²,Non,Non,Oui,Oui,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,170 m²,Zone non inondable,795.000 €,Non,"Rue du Lac 27,
1050 - Ixelles",4257718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Immédiatement,Bruxelles,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3954592,,30 décembre 2020 - 00:00,33 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,À définir,,Bon,3,1,,,170 m²,40 m²,,Hyper équipée,10 m²,5,9 m²,18 m²,15 m²,,1,2,Non,,,Connecté,Oui,60 m²,9 m²,,,,,,,534 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Oui,,Zone non inondable,460.000 €,Non,"Avenue Louise 367
1050 - Bruxelles",,,,,10 m²,10 m²,Non,Oui,Oui,Nord,Gaz,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,2,1,1,,345 m²,28 m²,,Équipée,,2,,,,,2,1,Non,,370 m²,,,,,,,,,,,497 kWh/m²,G,20210324-0000585408-01-4,99 kg CO₂/m²,Non communiqué,Non,,,545.000 €,Non,"Rue F. Vekemans 121
1120 - Neder-over-Heembeek",1797,,,,,,,Oui,,,,Non,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,2,1,1,,345 m²,28 m²,,Équipée,,2,,,,,2,1,Non,,370 m²,,,,,,,,,,,497 kWh/m²,G,20210324-0000585408-01-4,99 kg CO₂/m²,Non communiqué,Non,,,545.000 €,Oui,"Rue F. Vekemans 121
1120 - Neder-over-Heembeek",1797-1-1,,,,,,,Oui,,,,Non,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,2,1,2,,130 m²,33 m²,,Équipée,,3,,,,,1,2,Non,,168 m²,,,58 m²,10 m²,,,,,,,345 kWh/m²,F,20210506-0000589456-01-9,55 kg CO₂/m²,Non communiqué,Oui,,,419.000 €,Non,"Rue F. Vekemans 121
1120 - Neder-over-Heembeek",1844,,,,,,,,,Est,,Non,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,2,,,,100 m²,28 m²,Oui,Équipée,,3,,,,,1,1,Non,,,,,41 m²,20 m²,,,,,,,277 kWh/m²,F,20211006-0000596965012,55 kg CO₂/m²,Non communiqué,Oui,,,325.000 €,Non,"Rue F. Vekemans 121
1120 - Neder-over-Heembeek",1897,,,,,,,,,Est,,Non,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,3,1,1,,260 m²,45 m²,Oui,Équipée,,4,,,,,3,4,Non,,,,,117 m²,30 m²,,,Oui,,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,,590.000 €,Non,"Avenue des Saisons 42
1050 - Ixelles",2140 B-1,,,,,,,,,Ouest,,Non,,Non,Non,Non,2018,1.537 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,2,1,,,140 m²,31 m²,,Équipée,,3,,,,1,,3,Non,,,,,900 m²,,,,Oui,Oui,,,225 kWh/m²,E,20210810-0000593850-01-5,45 kg CO₂/m²,Non communiqué,Oui,,,450.000 €,Non,"Rue F. Vekemans 121
1120 - Neder-over-Heembeek",1872,,,,,,,,,Est,,Non,,Non,Non,Non,,1.638 €,Oui,Veranda au rez à régulariser sous réserve des renseignements urbanistiques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,À rénover,,3,,,,,,,,,,1,,,,,Oui,,,,560 kWh/m²,,,,,,,,,,,G,20210527-0000589497-01-1,Non communiqué,Non communiqué,100.000 €,,,,,"Place Jean Jacobs, 11
1000 - Bruxelles ville",Cecile FRANCOIS,,,,,,,,145 m²,,,,,,,,,,Non,,,Non,"lun. 8-15/11 de 15-17h et mercr. 27/10, 3-10-17/11 de 12h30-14h30. Les visites sont faites sous entière responsabilité des visiteurs, notamment les caves.",Après la signature de l’acte,818 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Après la signature de l’acte,,Bon,2,4,,"Zone d'habitat (résidentiel, urbain ou rural)",320 m²,28 m²,,Équipée,9 m²,8,13 m²,10 m²,13 m²,4,4,4,Non,,179 m²,,Oui,65 m²,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Oui,,Zone non inondable,950.000 €,Oui,"Avenue Louise 160 Rez
1050 - Bruxelles",4495767,12 juillet 2021 - 00:00,,,10 m²,,,Oui,,,Gaz,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,1969,3.817 €,,,,,,,7 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,Bon,3,,1,Urbain,138 m²,,,Hyper équipée,,2,,,,1,,1,Non,,148 m²,,,100 m²,,,,,,,,410 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,,,,448.000 €,Non,"Tour & Taxis - Havenlaan 86c 106c
1000 - Brussels",D1000-21103,,,Oui,,,,,,,Gaz,,,,,,1958,984 €,,,,,,,,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Fraîchement rénové,2,2,1,,180 m²,36 m²,,Américaine hyper-équipée,,4,,,,1,1,3,Non,,122 m²,,,41 m²,23 m²,,,,Oui,Oui,,243 kWh/m²,E,201204240000081528012,52 kg CO₂/m²,Non communiqué,Oui,,,625.000 €,Non,"Rue Victor Hugo 81
1030 - Schaerbeek",1879 - 1940,,,,,,,Oui,,,Gaz,,,Non,,,2002,,,,,,,,6 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
