,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Chambres,Salles de bains,Surface de bureau,Bureau,Cave,Grenier,Surface du terrain,Surface du jardin,Terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Référence externe,Parkings intérieurs,Salon,Salle à manger,Dressing,Toilettes,Buanderie,Espace professionnel,Isolé,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Raccordement à l'égout,"Eau, gaz & électricité",Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Largeur de la façade à rue,Salles de douche,Surface de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Orientation de la terrasse,Obligation de construire,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Niveau E (performance énergétique globale),Disponible le,Surface de la cuisine,Surface de la cave,Surface du grenier,Largeur du terrain à rue,Attestation as-built,Visite virtuelle,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Orientation du jardin,Nom de l'agent,Surface constructible totale au sol,Autorisation de lotissement,Revenu mensuel actuel,Site internet,Jardin,Description libre du PEB,Charges mensuelles,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Nombre d'annexes,Nom du bien,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
0,Après la signature de l’acte,Woluwe-st-pierre,1950,Bon,2,1,"Zone d'habitat (résidentiel, urbain ou rural)",168 m²,47 m²,1,Équipée,4,2,80 m²,Oui,Oui,Oui,225 m²,100 m²,Oui,245 kWh/m²,E,Non communiqué,48 kg CO₂/m²,Non communiqué,Gaz,Oui,660.000 €,1.998 €,Non,"Rue Gérard 50
1040 - Etterbeek",764/5005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Immédiatement,,1932,Excellent état,2,1,,,,,Équipée,5,2,,Non,Oui,Oui,245 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,990.000 €,,Non,,,1,Oui,Oui,Non,3,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Connecté,Oui,Non,Oui,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,,1970,,3,2,,307 m²,,,,5,1,,Oui,Oui,Oui,543 m²,1 m²,,304 kWh/m²,F,202105280000589580012,79 kg CO₂/m²,Non communiqué,,Oui,745.000 €,3.718 €,Non,,,2,Oui,Oui,Oui,3,,Oui,,Non,Non,Non,Non,Non,Non,Connecté,Oui,Non,Non,Non,Non,,12 m,1,1 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,"Oui, conforme","Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Immédiatement,,,Bon,3,1,,,,1,Équipée,4,1,,Non,,Oui,279 m²,1 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,795.000 €,,Non,,,1,Oui,Oui,Oui,2,,Non,,Non,Non,Non,Non,Non,Non,Connecté,Oui,Non,Non,Non,Oui,Villa,,1,1 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,,Sud,Non,Non,Non,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,4,,,404 m²,59 m²,,Équipée,7,3,,,Oui,,9255 m²,,,333 kWh/m²,F,20210604019471,82 kg CO₂/m²,Non communiqué,Mazout,,1.150.000 €,2.360 €,Non,"Chaussee de Marche 488
5101 - Erpent",,,,,,3,,,,,,,,,,Non connecté,,,,,Non,,,1,84 m²,,,,,,,,,,,,,,,,,,,135332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,4,,,320 m²,,7,Équipée,5,2,1 m²,Oui,,,400 m²,,,Non communiqué,Non communiqué,F312,62 kg CO₂/m²,Non communiqué,Gaz,Oui,990.000 €,5.079 €,Non,"Rue du Tabellion 64
1050 - Ixelles",3887,1,,,,3,Oui,,,Non,,,,,,,,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,6 octobre 2021 - 00:00,1 m²,1 m²,1 m²,1 m,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,Agency Surrounding,1951,À rafraîchir,3,2,"Zone d'habitat (résidentiel, urbain ou rural)",30 m²,Équipée,,8 m²,21 m²,1,Oui,Oui,Oui,Non,Non,15 m²,,G,590523,120 kg CO₂/m²,Non communiqué,Mazout,Oui,Oui,1.822 €,Non,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4380509,,1,,,,4 m²,,,,289 m²,,,,,,,70 m²,,,,,,7.24 m,2,458 kWh/m²,,,,,,,,,,,,,,,,,,695.000 €,,,4,,,,,165 m²,13 m²,8 m²,2,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,Agency Surrounding,1958,À rafraîchir,3,2,"Zone d'habitat (résidentiel, urbain ou rural)",28 m²,Hyper équipée,,12 m²,14 m²,1,,,,Non,Oui,,,G,591937,75 kg CO₂/m²,Non communiqué,Gaz,Oui,Zone non inondable,Non,,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4450186,,1,,,,Oui,,,,236 m²,,,,,,,12 m²,,,,,,7 m,3,380 kWh/m²,,,,,,,,,,,,,,,,,,730.000 €,,,5,,,,,160 m²,10 m²,11 m²,14 m²,,16 m²,2,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,FOREST DE SOIGNES / SAINT-ALIX,1925,Bon,3,2,"Zone d'habitat (résidentiel, urbain ou rural)",150 m²,26 m²,,Hyper équipée,3,,8 m²,Oui,Oui,,235 m²,88 m²,Oui,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,545.000 €,1.956 €,,"Avenue Roger Hainaut 6
1160 - Auderghem",,,,Oui,,2,Oui,,,Non,,Oui,,,Oui,Connecté,Oui,,,,,,6 m,1,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Sud,,,,,,,,,,9.78 m,,,9 m²,9 m²,15 m²,,,,Sud,BRYNAERT Christophe,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,,1961,Bon,2,,,140 m²,41 m²,,Équipée,3,1,,,Oui,Oui,130 m²,60 m²,Oui,299 kWh/m²,F,587991,Non communiqué,Non communiqué,,,525.000 €,1.509 €,Non,"Vogelenzangstraat 123
3070 - Kortenberg",4314019,1,,,,2,,,,Non,,,,,,Connecté,Oui,,,,,,5.7 m,1,,,Non,Non,Oui,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,Non,,,,10 m²,,,5.62 m,,,14 m²,14 m²,6 m²,Oui,,,,,64 m²,Oui,,,,,,,,,,,,,,,,,,,,,,
10,,,1986,À rafraîchir,4,,,830 m²,158 m²,2,Équipée,11,5,,,Oui,,1988 m²,1440 m²,,140 kWh/m²,C,20150617-0000291993-01-4,29 kg CO₂/m²,Non communiqué,Gaz,Oui,3.100.000 €,,Oui,"Av. Aviateur de Caters 4
1310 - LA HULPE",289 - 1406,9,,,,7,,,,Non,,,,,,,Oui,,,,,,22 m,2,25 m²,,Oui,,,,,,,,,,,,,,Non,,Zone riveraine délimitée,,,,,,32 m,Non,,,,,,,,Sud,,,,6350,,,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,Brussel (19 gemeenten),1947,À rénover,2,2,Isolé,28 m²,Équipée,,8 m²,14 m²,2,,,Oui,Non,Oui,11 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Non,,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4450174,,1,,,,Oui,,,,186 m²,,,,,,,80 m²,,,,,,5.5 m,,Non communiqué,,,,,,,,,,,,,495.000 €,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,3,,,,,104 m²,14 m²,7 m²,1,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Après la signature de l’acte,,,Excellent état,4,2,,460 m²,69 m²,,Hyper équipée,6,2,,,Oui,Oui,792 m²,,Oui,444 kWh/m²,G,201205160000086523014,96 kg CO₂/m²,Non communiqué,Gaz,Oui,1.800.000 €,,Non,"Avenue Tervueren 36 bte 23
1040 - Etterbeek",,2,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,25 m²,,,,,,,,,,,,,,,,,4307795,,,,,,,,,,,,,,,,,,,,
13,Après la signature de l’acte,Sainte Alix,,,3,,"Zone d'habitat (résidentiel, urbain ou rural)",120 m²,22 m²,,Équipée,3,1,,,,,300 m²,200 m²,,753 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,465.000 €,,,"Place Des Maïeurs 4/20
1150 - Woluwé-St-Pierre",,,,,,2,Oui,,,Non,,,,,,,Oui,,,,,,,,10 m²,,,,Oui,,,,,,,,,,,,,,,,,12 m²,40 m²,,,,,12 m²,12 m²,7 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,1986,Bon,4,,,600 m²,,2,Équipée,11,7,,,Oui,,1900 m²,,,140 kWh/m²,C,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,3.100.000 €,6.953 €,Oui,"Square Ambiorix, 32/11B
1000 - Bruxelles",,4,,,,9,,,,Non,Oui,,,,,,,,,,,,22 m,,,,Oui,,,Oui,,Oui,,,,,,,,,,,,,,,,,32 m,Non,,,,,,,,Sud,,,,,1697925 - 345345877,Oui,,,,,,,,,,,,,,,,,,,
15,,,1952,,3,,,,60 m²,,Équipée,6,1,,,,,309 m²,100 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,845.000 €,3.653 €,Non,"Rue de la Brasserie, 51A
1050 - Ixelles",369,2,,,,3,,,,Non,,,,,,,,Non,Non,Non,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,
16,Après la signature de l’acte,,,,,2,,230 m²,55 m²,1,,6,2,9 m²,Oui,Oui,,,160 m²,,252 kWh/m²,E,201705050000503359010,50 kg CO₂/m²,Non communiqué,,,1.195.000 €,,Non,"Avenue des Volontaires 102 bte 7
1040 - Etterbeek",,2,,,,4,,,,Non,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,,Sud-ouest,,,,,8784 - 354807,,,,,,,,,,,,,,,,,,,,
17,,,,,4,,,675 m²,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,1.685.000 €,,Oui,"Place du champ de Mars 5
1050 - Bruxelles",4501447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Après la signature de l’acte,Bruxelles (19 communes),1965,Excellent état,2,1,Isolé,230 m²,40 m²,,Hyper équipée,4,2,,,Oui,,206 m²,100 m²,,214 kWh/m²,E,Non communiqué,46 kg CO₂/m²,Non communiqué,Gaz,Oui,849.000 €,,Non,"avenue Brugmann 63
1190 - Forest",,1,,Oui,,3,,,,Non,,,,,,Connecté,Oui,,,,,,7 m,2,35 m²,,Non,Non,Oui,,,,,,Non,,,,,,,,,,1 février 2022 - 00:00,10 m²,,,7 m,,,35 m²,16 m²,14 m²,,13 m²,,,,230 m²,,,4531126,,,,,,,,,,,,,,,,,,,,
19,Après la signature de l’acte,,1930,Fraîchement rénové,2,,"Zone d'habitat (résidentiel, urbain ou rural)",120 m²,22 m²,,Hyper équipée,2,1,,Non,,,237 m²,178 m²,,540 kWh/m²,G,116 kg CO₂/m²,Non communiqué,Gaz,Non,Zone non inondable,100 €,Non,,,,,,Oui,Non,2,Oui,Non,,Non,Non,Non,Oui,Oui,Oui,Connecté,Oui,Non,Non,Oui,Oui,,4 m,,18 m²,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,,,Ouest,,,,465.000 €,,,11 m²,12 m²,,4 m,,,16 m²,18 m²,,,,,Ouest,,,,,,,20120111-0000050715-01-4,1.011 €,,,,,,,,,,,,,,,,,
