,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Cave,Meublé,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Disponible le,Quartier ou lieu-dit,Parkings extérieurs,Visite virtuelle,Permis de bâtir obtenu,Surface du salon,Surface de la chambre 4,Salles de douche,Toilettes,Bureau,Grenier,Porte blindée,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Type d’environnement,Terrasse,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Largeur de la façade à rue,Surface de bureau,Largeur du terrain à rue,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Salle à manger,Surface constructible totale au sol,Surface de la chambre 5,Surface de l'espace professionnel,Accès sécurisé / alarme,Surface de la cave,Référence externe,Panneaux solaires,Salon,Combien de feux ouverts ?,Dressing,Buanderie,Espace professionnel,Terrain arrière,Terrain plat,Jardin,Orientation du jardin,Orientation de la terrasse,Climatisation,Nom de l'agent,Concierge,Terrain à front de rue,Terrain boisé,Attestation de conformité des citernes à mazout,Pompe à chaleur,Panneaux photovoltaïques,Chauffe-eau commun,Surface du grenier,Jacuzzi,Sauna,Internet,Description libre du PEB,Type de construction,Obligation de construire,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Niveau E (performance énergétique globale),Isolé
0,Après la signature de l’acte,1965,À rafraîchir,2,1,130 m²,Pas équipée,11 m²,3,18 m²,16 m²,6 m²,1,Oui,Non,271 m²,466 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,398.000 €,1.244 €,Non,"Alsembergsesteenweg 660
1653 - Dworp",6501 - 3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Immédiatement,,,,36,,,,,,,,,,,,B,Non communiqué,Non communiqué,Non communiqué,Oui,,,,,,"Rue Fort d'Andoy 5
5100 - Wierde",3834763,,1 avril 2021 - 00:00,Bruxelles,5,79 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Selon le locataire,2018,Excellent état,2,1,247 m²,Hyper équipée,13 m²,4,18 m²,12 m²,12 m²,3,Oui,Non,,51 kWh/m²,B,Non communiqué,11 kg CO₂/m²,Non communiqué,,Gaz,Oui,710.000 €,,Non,"Avenue de Tervuren 101
1040 - Etterbeek",4505879,,Bruxelles (19 communes),,,Oui,40 m²,12 m²,1,3,Oui,Oui,Oui,Connecté,Oui,148 m²,25 m²,Non,Non,Oui,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,1980,Bon,4,2,320 m²,Hyper équipée,,4,24 m²,20 m²,18 m²,3,Oui,,1100 m²,312 kWh/m²,F,Non communiqué,67 kg CO₂/m²,Non communiqué,,Gaz,,1.950.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",4408621,,Bruxelles Sud et Centre,3,,,100 m²,16 m²,1,4,,,,Connecté,,,,Non,Non,Oui,,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,1973,Fraîchement rénové,2,1,246 m²,Hyper équipée,12 m²,4,14 m²,13 m²,12 m²,2,,Non,227 m²,227 kWh/m²,E,Non communiqué,45 kg CO₂/m²,Non communiqué,,Gaz,Oui,635.000 €,2.082 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4514046,,,2,,Oui,35 m²,40 m²,1,3,Oui,Oui,Oui,Connecté,Oui,,12 m²,Non,Non,Oui,,Non,,,,"Zone d'habitat (résidentiel, urbain ou rural)",6.65 m,12 m²,6.65 m,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,1945,À rénover,3,1,215 m²,Pas équipée,15 m²,4,30 m²,16 m²,12 m²,2,Oui,,322 m²,790 kWh/m²,G,Non communiqué,169 kg CO₂/m²,Non communiqué,,Gaz,,800.000 €,2.051 €,Non,"Chaussée de Waterloo 1382
1180 - Uccle",4498117,,,2,,,25 m²,10 m²,1,3,Oui,,,Connecté,Oui,200 m²,,Non,Non,Oui,,Oui,,Oui,,,6 m,8 m²,,,,,Oui,265 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,2002,Excellent état,4,2,35 m²,35 m²,5,20 m²,21 m²,22 m²,17 m²,6,Non,1160 m²,16 m,D,20150828-0000302195-01,44 kg CO₂/m²,Non communiqué,Gaz,,Oui,468 m²,8.038 €,Non,"Avenue Louise 200
1050 - Bruxelles",4314363,,1 septembre 2021 - 00:00,,3,468 m²,,Oui,18 m²,,13 m²,30 m²,,,,550 m²,60 m²,Non,Non,Oui,,Non,208 kWh/m²,,,2.390.000 €,,16 m,Oui,Oui,,,,Américaine hyper-équipée,Zone non inondable,5,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,1952,Bon,4,2,395 m²,Hyper équipée,18 m²,5,21 m²,20 m²,17 m²,3,Oui,Non,1960 m²,495 kWh/m²,G,202109160000595758013,99 kg CO₂/m²,Non communiqué,,Gaz,Oui,2.450.000 €,5.895 €,Non,"Place Georges Brugmann, 11
1050 - Ixelles",4516533,,,2,,,57 m²,21 m²,3,4,Oui,Oui,,Connecté,Oui,1577 m²,40 m²,Non,Oui,Oui,,Non,,,Zone non inondable,,20 m,15 m²,20 m,,,,Oui,383 m²,22 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,1958,Bon,4,4,650 m²,Équipée,,6,30 m²,20 m²,18 m²,5,Oui,,1516 m²,391 kWh/m²,G,20140318-0000218131-01-1,118 kg CO₂/m²,Non communiqué,,Mazout,,2.895.000 €,9.484 €,Non,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/26703,,,3,,,84 m²,18 m²,,7,Oui,Oui,,Connecté,Oui,1200 m²,50 m²,Oui,,,,,,,,,16.5 m,,,,,,,,16 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,1913,À rafraîchir,4,2,450 m²,Hyper équipée,26 m²,6,25 m²,17 m²,17 m²,3,Oui,Non,3449 m²,268 kWh/m²,E,20140630-0000235707-01,58 kg CO₂/m²,Non communiqué,,Gaz,Oui,3.900.000 €,5.490 €,Non,"Avenue Louise 200
1050 - Bruxelles",4329745,,,5,,,54 m²,15 m²,,4,Oui,Oui,,Connecté,Oui,2000 m²,40 m²,Non,Non,,,Non,,,Zone non inondable,,16 m,9 m²,48 m,,,,Oui,630 m²,20 m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Immédiatement,,À rafraîchir,2,,230 m²,,25 m²,5,25 m²,25 m²,25 m²,2,,Non,250 m²,264 kWh/m²,E,Non communiqué,52 kg CO₂/m²,Non communiqué,,,Oui,625.000 €,,Non,"Rue François Desmedt 56
1150 - Woluwé St Pierre",4532885,,Bruxelles sud/centre,,,,30 m²,25 m²,2,1,Oui,,,Connecté,Oui,150 m²,15 m²,Non,Oui,,,,,,,,6 m,10 m²,6 m,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Après la signature de l’acte,2015,Excellent état,4,1,400 m²,Américaine équipée,,4,14 m²,16 m²,18 m²,4,Oui,,1045 m²,112 kWh/m²,C,581894-N-1-13,20 kg CO₂/m²,Non communiqué,,Gaz,,3.150.000 €,,Non,"Avenue Louise 200
1050 - Bruxelles",4526516,28 avril 2015 - 00:00,,2,,,60 m²,30 m²,,5,,,,Connecté,,900 m²,100 m²,Non,Non,Oui,,Oui,,,Zone non inondable,Zone d'habitat mixte (habitat & activité économique),22.5 m,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
