,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Bureau,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Ascenseur,Parlophone,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Prix,Immeuble de rapport,Adresse,Site internet,Disponible le,Quartier ou lieu-dit,Visite virtuelle,Permis de bâtir obtenu,Salle à manger,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Dressing,Buanderie,Surface de bureau,Espace professionnel,Surface du grenier,Isolé,Meublé,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Description libre du PEB,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Obligation de construire,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Revenu cadastral,Surface de la cuisine,Grenier,Terrasse,Type de construction,Surface de la chambre 4,Surface de la cave,Type d’environnement,Raccordement à l'égout,Surface de la chambre 5,Cave,Référence externe,Surface de l'espace professionnel,Surface constructible totale au sol,Largeur du terrain à rue,Combien de feux ouverts ?,Attestation as-built,Autorisation de lotissement,Jardin,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Nom de l'agent,Salon,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Charges mensuelles
0,Après la signature de l’acte,1928,Fraîchement rénové,8 m,2,1,2,780 m²,90 m²,Équipée,5,2,3,5,Oui,300 m²,Oui,100 m²,Nord,23 m²,Nord,Oui,Oui,179 kWh/m²,D,20160308-0000329416-01-4,38 kg CO₂/m²,Non communiqué,1.975.000 €,Non,"Chée de Vleurgat, 177
1050 - Ixelles",64691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Immédiatement,,,,,36,5,,,,,,,,,,,,,,,,,B,Non communiqué,Non communiqué,Non communiqué,Oui,,"Rue Fort d'Andoy 5
5100 - Wierde",3834763,,1 avril 2021 - 00:00,Bruxelles,79 kWh/m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,,Excellent état,,3,,,230 m²,29 m²,Américaine équipée,3,1,2,2,Oui,227 m²,Oui,,,,,Non,Non,251 kWh/m²,E,20121212-0000135083-01-9,54 kg CO₂/m²,Non communiqué,675.000 €,Non,,,,,,,Oui,22 m²,23 m²,14 m²,Oui,Oui,26 m²,Oui,24 m²,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,"PEB établi avant rénovation, complement isolation toiture et remplacement des 3 fenetres de toit",Gaz,Non,Non,Non,Oui,Oui,Non,Non,Non,Zone non inondable,2.900 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Immédiatement,,,6.5 m,3,,,167 m²,50 m²,Semi-équipée,3,1,1,2,Oui,1220 m²,Oui,,,,,,,821 kWh/m²,G,20180522-0000528102-01-8,164 kg CO₂/m²,Non communiqué,1.375.000 €,Non,"Boulevard Theo Lambert 94
1070 - Bruxelles",4508717,,,,,,16 m²,15 m²,,,,4 m²,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,9 m²,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Selon le locataire,1960,Bon,,2,1,,145 m²,40 m²,Américaine semi-équipée,2,1,2,2,Oui,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,475.000 €,Non,"Parvis St-Pierre, 15
1180 - Uccle",4518829,,Bruxelles Sud,,,,16 m²,14 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,6 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,,,,4,3,1,572 m²,,,,,,,Non,1118 m²,Non,600 m²,,68 m²,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,1.950.000 €,Non,,,,,,,,,,,Non,,,Non,,,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Certificats disponibles à la signature de l'acte,Gaz,Non,Non,Non,Oui,Non,,,,,,,,,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,
6,Immédiatement,,Excellent état,,3,1,3,,29 m²,Équipée,4,2,1,4,Non,600 m²,Oui,1 m²,,1 m²,,Non,Oui,485 kWh/m²,G,20140409-0000217830-01-1,102 kg CO₂/m²,Non communiqué,780.000 €,Non,,,,,,,Oui,23 m²,16 m²,20 m²,Non,Oui,,Non,,,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,,Gaz,Non,Non,Non,Oui,Oui,Non,,Non,Zone non inondable,,17 m²,Oui,,,14 m²,16 m²,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,1954,,,3,,,,,,,,,,,326 m²,Oui,207 m²,Sud,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,840.000 €,Non,,,,,,,,,,,,,,,,,,,Non,Non,Non,Non,,,,,,,,,,,Gaz,Non,Non,Non,Non,Non,,,,Zone non inondable,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",Connecté,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,1947,Bon,,4,1,4,800 m²,80 m²,Hyper équipée,6,6,4,7,Oui,3571 m²,,2500 m²,,150 m²,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,3.700.000 €,Non,"RUE FRANZ MERJAY 148 C
1050 - Ixelles",,,,,,Oui,28 m²,21 m²,27 m²,,,20 m²,,,,Non,Oui,,,,,,,Oui,,Oui,,,Oui,,,Gaz,,,,,Oui,,,,,,24 m²,,,,55 m²,,,,24 m²,Oui,4374500,,,,,,,,,,,,,,,,,,
9,,,Excellent état,8 m,2,1,,,20 m²,Semi-équipée,2,1,,2,Oui,260 m²,Oui,,,74 m²,Sud,Non,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,750.000 €,Oui,,,,,,Oui,Oui,15 m²,8 m²,,Non,Oui,30 m²,Oui,,,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,,,Non,Non,Non,Oui,Non,,Non,Non,,,8 m²,,,,,250 m²,,Connecté,,,,250 m²,260 m²,,,,,,,,,,,,,,,,
