,À partir de,Quartier ou lieu-dit,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Type d’environnement,Visite virtuelle,Surface habitable,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Cave,Grenier,Meublé,Surface du terrain,"Eau, gaz & électricité",Surface du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Permis de bâtir obtenu,Autorisation de lotissement,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Combien de feux ouverts ?,Jardin,Orientation du jardin,Attestation as-built,Attestation de conformité des citernes à mazout,Procédure pour violation de la réglementation urbanistique,Site internet,Parkings intérieurs,Parkings extérieurs,Salles de douche,Surface de bureau,Bureau,Surface de la chambre 4,Raccordement à l'égout,Surface de la terrasse,Orientation de la terrasse,Largeur du terrain à rue,Surface de la chambre 5,Dressing,Buanderie,Porte blindée,Salon,Pompe à chaleur,Surface constructible totale au sol,Obligation de construire,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Droit d'achat prioritaire possible,Référence externe,Disponible le,Surface de la cave,Parlophone,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Terrasse,Informations supplémentaires,Pourcentage loué,Nombre d'annexes,Description libre du PEB,Revenu mensuel actuel,Concierge,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Nom de l'agent,Surface du grenier,Surface de l'espace professionnel,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Niveau E (performance énergétique globale),Isolé,Charges mensuelles
0,Après la signature de l’acte,Brussels ZE,1918,Bon,5 m,2,"Zone d'habitat (résidentiel, urbain ou rural)",178 m²,17 m²,Oui,Hyper équipée,13 m²,3,19 m²,19 m²,12 m²,2,2,Oui,Oui,Non,80 m²,Oui,15 m²,347 kWh/m²,G,27281,74 kg CO₂/m²,Non communiqué,Gaz,Oui,Oui,Non,Zone inondable potentielle,"Zone d'habitat (résidentiel, urbain ou rural)",580.000 €,780 €,Non,"Parvis Sainte-Alix 37
1150 - Woluwe-Saint-Pierre",4419087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,,1939,À rafraîchir,6 m,3,,,190 m²,,,Équipée,,3,,,,1,1,Oui,,Non,250 m²,Oui,,606 kWh/m²,G,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,Oui,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",649.000 €,1.943 €,Non,"Boulevard du Souverain 47
1160 - Auderghem",1,Oui,Sud-est,Non,"Oui, pas conforme",Non,427 - 1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,,1963,À rafraîchir,,2,,,170 m²,35 m²,,Semi-équipée,,5,,,,1,3,,,Non,124 m²,,45 m²,418 kWh/m²,G,Non communiqué,81 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,,650.000 €,2.317 €,Non,"Av du 11 Novembre 2
1040 - Etterbeek",1,,Sud,Non,,,3961 - 654656082,1,1,1,6 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,À définir,,,,,2,"Zone d'habitat (résidentiel, urbain ou rural)",,256 m²,35 m²,Oui,,29 m²,4,18 m²,15 m²,15 m²,1,2,,,Non,250 m²,Oui,120 m²,362 kWh/m²,G,20200902-0000574195-01-5,71 kg CO₂/m²,Non communiqué,Gaz,Oui,,,Zone non inondable,,749.000 €,2.983 €,,"Rue du Bosquet 8/7
1400 - Nivelles",,,Sud,,Non,Non,Charles Englebert,2,,,,,15 m²,Connecté,23 m²,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,,1920,Bon,,2,,123 m²,40 m²,Oui,Américaine équipée,18 m²,2,26 m²,16 m²,1,,2,Oui,Non,,235 m²,4.37 m,Oui,,E,20201023-0000577090-01-9,50 kg CO₂/m²,Non communiqué,Non,Oui,Bien immobilier situé tout ou en partie dans une zone inondable délimitée,,,"Zone d'habitat (résidentiel, urbain ou rural)",399.950 €,1.033 €,Non,"Rue d'Incourt 37
1315 - Opprebais",3312 - 4471,,Sud,22 m²,Gaz,,,,,,,,,,,254 kWh/m²,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Cinquantenaire,,Bon,5.5 m,2,Urbain,253 m²,Américaine hyper-équipée,,,5,,17 m²,17 m²,17 m²,15 m²,3,Oui,,,Non,,11 m²,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,,725.000 €,,,,,Non,,"Rue Colonel Bourg 110, Bte 4
1030 - Bruxelles",30541,,,,Oui,,,,,,,,Non,14 m²,Non,Nord-ouest,Non communiqué,,Non,3,Non,Connecté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,1935,Excellent état,,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,3,4,,,Non,145 m²,,,258 kWh/m²,E,20200727,51 kg CO₂/m²,Non communiqué,,Non,,,,Zone d'extension d'habitat,975.000 €,2.112 €,Oui,"av Charles Quint, 305
1083 - Ganshoren",,,,,Non,,spir726,,,,,Non,,,,,,,Non,,,Oui,Non,260 m²,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,,,,,2,,,260 m²,,Oui,,,3,,,,1,1,Oui,Oui,Non,212 m²,Oui,150 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,,,,575.000 €,,Non,,,,Sud-est,,,,,,,,,Non,,,1 m²,,,,Non,,Non,Oui,Non,,,Non,Non,Non,Non,Oui,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,2,,,211 m²,36 m²,,Équipée,,4,,,,1,2,Oui,,Non,,,97 m²,375 kWh/m²,G,20210701-0000591805-01-2,73 kg CO₂/m²,Non communiqué,Gaz,Oui,,,,,625.000 €,,Non,"Av. Henri Conscience 74
1140 - Evere",1,,Sud-ouest,Non,,,9798,,,,,,,,,,,,,Oui,,,Non,,,,,,,,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,1,,,,1,,,,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,Oui,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",230.000 €,,Non,"Mechelsesteenweg 34 2e V Links
2018 - Antwerpen",,,,,,Non,,,,,,Non,,Non connecté,,,,,Non,,,,,,Non,,Non,Non,Non,Non,,,,,Oui,Kamer in woonzorgcen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
