,Disponible le,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Surface habitable,Surface du salon,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Double vitrage,Permis de bâtir obtenu,Droit d'achat prioritaire possible,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,Quartier ou lieu-dit,Autorisation de lotissement,Référence externe,Lieu de la vente,Séance unique,Modalités de visite,Salles de bains,Terrasse,Attestation de conformité des citernes à mazout,Type de chauffage,Pompe à chaleur,Procédure pour violation de la réglementation urbanistique,Mise à prix,Type d’environnement,Salon,Salle à manger,Terrain plat,Raccordement à l'égout,Panneaux solaires,Grenier,Surface du jardin,Bureau,Surface de la cave,Porte blindée,Surface constructible totale au sol,Surface de la chambre 4,Accès sécurisé / alarme,Surface de la chambre 5,Buanderie,Surface de bureau,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Interphone vidéo,Piscine,Largeur de la façade à rue,Largeur du terrain à rue,Dressing,Espace professionnel,Terrain à front de rue,Terrain boisé,Terrain arrière,Orientation de la terrasse,Climatisation,Jacuzzi,Sauna,Internet,Description libre du PEB,Panneaux photovoltaïques,Chauffe-eau commun,Type de construction,Obligation de construire,Isolé,Nom de l'agent,Visite virtuelle,Surface de l'espace professionnel,Surface du grenier,Nombre d'annexes,Niveau E (performance énergétique globale),Revenu mensuel actuel,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente,Informations supplémentaires,Charges mensuelles,Pourcentage loué
0,23 mars 2022 - 00:00,1964,À rafraîchir,4,1,2,122 m²,34 m²,1,Semi-équipée,7 m²,3,14 m²,12 m²,11 m²,1,1,Oui,Non,977 m²,Oui,Oui,Sud,12 m²,400 kWh/m²,E,2021,Non communiqué,52757 kWh/an,Non,Oui,Oui,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",469.000 €,2.231 €,Non,"Avenue Albert Ier, 304
1332 - Genval",5576 - 2286312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1 décembre 2022 - 00:00,,,,,20,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,2022,Non communiqué,Non communiqué,,,Oui,Non,Zone non inondable,,,,Non,"Avenue Reine Astrid, 92
1310 - La Hulpe",,À la livraison,Brabant Wallon,Non,4323008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,5,,,,,,,,1,,,,,Oui,618 m²,,Oui,,,,,E,20210705010166,Non communiqué,89134 kWh/an,Non,,Non,,,,430.000 €,,Non,"Rue de Clairvaux, 40 / 3
1348 - Louvain-La-Neuve",Hélène POLLART,,3,,Non,,Non,"Visites les samedis 9/10, 16/10, 23/10 et 30/10, de 10h à 12h, SANS RDV.",Après la signature de l’acte,2,425 kWh/m²,Mazout,Non,Oui,"Zone d'habitat (résidentiel, urbain ou rural)",1.182 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,2,"Zone d'habitat (résidentiel, urbain ou rural)",,,Oui,,,,,Oui,,,,,,330 m²,,Oui,,Nord,Oui,,C,20210526009131,Non communiqué,28136 kWh/an,Non,,,,Non,,540.000 €,,Oui,"Chaussée de Bruxelles, 118
1300 - WAVRE",Sarah CLABOTS,,Bon,,Non,,Non,"Terrain: SANS RDV / Maison: visites sur RDV, les lundis de 18h à 19h et les mardis de 19h à 20h (0477/32.26.73)",Après la signature de l’acte,,224 kWh/m²,,,,"Zone d'habitat (résidentiel, urbain ou rural)",868 €,150 m²,Oui,2,Connecté,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,1,25 m²,,,Oui,,2,,1,,,,,,,,487 m²,,,22 m²,540 kWh/m²,G,20210825011099,Non communiqué,87478 kWh/an,Mazout,,,,,,,,Non,"Chaussée de Bruxelles, 41
1310 - LA HULPE",François KUMPS,,4,,,,Non,Sur rendez-vous avec Ad Valoris au 082/77.18.77 - Mr FRANCK (Tapez 1),Après la signature de l’acte,Oui,,,Non,280.000 €,,2.067 €,,,Équipée,,,,487 m²,Sud-ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,1900,,2,,,210 m²,,,,,4,,,,,2,,Non,228 m²,Non,Oui,Sud-est,,Non communiqué,Non communiqué,EN COURS,Non communiqué,Non communiqué,,Non,,,,,395.000 €,1.841 €,Non,"Avenue des Trembles 3b
1640 - Rhode-St-Genese",,,,,,,,,1,,,Gaz,,Non,,,Oui,,,Non connecté,,,,Non,25 m²,Non,300 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,1980,Excellent état,4,2,4,245 m²,,,,,4,,,,1,3,Oui,Non,1400 m²,,,,,293 kWh/m²,D,20210830015940,Non communiqué,79046 kWh/an,,Oui,,,,,995.000 €,,Non,"rue de la Gendarmerie 1
1380 - Lasne",4520202,,,,,,,,2,Oui,,,,,,,,,,Connecté,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,1972,,4,3,1,235 m²,,,Hyper équipée,,4,17 m²,10 m²,11 m²,,,Oui,,1013 m²,,,,30 m²,515 kWh/m²,G,20210506011043,Non communiqué,91225 kWh/an,,Oui,,,,,565.000 €,2.793 €,Non,"Rue des Combattants 98
1310 - La Hulpe",4495461,Après la signature de l’acte,,,,,,,2,,,Électrique,,,,,,,,Connecté,,Oui,,,,,,14 m²,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,1997,,4,,10,1241 m²,75 m²,,Hyper équipée,,8,27 m²,19 m²,17 m²,,,,Non,3089 m²,,,,,163 kWh/m²,B,20210526008368,41 kg CO₂/m²,136515 kWh/an,,Oui,,,,,2.500.000 €,10.374 €,Non,"Rue des Saules, 31
1380 - Ohain",102899,,,,,,,,5,Oui,,Mazout,,,,,,,,,,Oui,,Oui,,Non,,17 m²,Oui,15 m²,Oui,50 m²,Non,Non,Non,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,Urbain,,,,,,,,16 m²,15 m²,15 m²,1,,,,,352 kWh/m²,,,,,E,20210914023386,Non communiqué,60177 kWh/an,Non,,,,,,250.000 €,,Oui,"Avenue des Combattants 230
1330 - Rixensart",Sylvie DE RIEMAECKER,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,Non,Uniquement sur RDV à prendre préalablement au 0474.070.380 - visites sur RDV les mardis du mois d'octobre de 9h00 à 11h00,2,479 m²,,,,,,2.610 €,3,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,2019,,2,1,,222 m²,,,Hyper équipée,,4,,,,,,Oui,,,,,,,128 kWh/m²,B,20190210000296,Non communiqué,20360 kWh/an,,Oui,,,,,720.000 €,,Oui,"Rue des Combattants 98
1310 - La Hulpe",4457952,Après la signature de l’acte,,,,,,,3,Oui,,Gaz,,,,,,,,Connecté,,,,,,,132 m²,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,23 décembre 2021 - 00:00,1950,À rénover,4,1,5,320 m²,40 m²,,Hyper équipée,24 m²,5,43 m²,25 m²,15 m²,,2,Oui,Non,1135 m²,Oui,,,40 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,750.000 €,1.762 €,Non,"Avenue de Mérode , 4
1330 - Rixensart",,Après la signature de l’acte,,,4517615,,,,2,,,Gaz,,,,,,Oui,,Connecté,,Oui,300 m²,Oui,,,,16 m²,,50 m²,,25 m²,,Non,Oui,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7 décembre 2021 - 00:00,1962,À rénover,4,1,2,115 m²,32 m²,,Pas équipée,14 m²,2,16 m²,16 m²,,,1,Oui,Non,913 m²,Non,,,20 m²,802 kWh/m²,G,20210913008878,256 kg CO₂/m²,90979 kWh/an,,,,,,,400.000 €,,Non,"Avenue de Mérode , 4
1330 - Rixensart",,Après la signature de l’acte,,,4492351,,,,1,,,,,,,,,,,Connecté,,Oui,400 m²,,,,,,,,,,,Non,Oui,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,28 février 2022 - 00:00,,Bon,3,,,287 m²,,,,,2,11 m²,13 m²,,2,3,Oui,Non,135 m²,Oui,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Oui,,,,,535.000 €,,Oui,"Chaussée Bara, 148
1420 - Braine L'Alleud",4535310,Après la signature de l’acte,,,,,,,2,,,Gaz,,,,,Oui,,,Connecté,,,,,,,,,,,,,,,,,,,9.7 m,9.7 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1 juin 2022 - 00:00,1962,Excellent état,4,,,160 m²,15 m²,1,Hyper équipée,9 m²,4,16 m²,15 m²,12 m²,,2,,Non,476 m²,Oui,,Nord-ouest,14 m²,Non communiqué,F,20130409017144,Non communiqué,Non communiqué,,Oui,,,Zone non inondable,Parc résidentiel,540.000 €,1.722 €,Non,,,,,,,,,,2,,,Gaz,Non,Non,,,,Oui,Oui,Connecté,Non,Oui,380 m²,Non,50 m²,Non,,9 m²,Oui,,Oui,,Non,Non,Non,Non,Non,Non,8 m,14 m,Non,Non,Oui,Non,Non,Nord-ouest,Non,Non,Non,Oui,PEB en ordre de validité jusqu'au 09/04/2023.,Non,Oui,,,,,,,,,,,,,,,,,,,,,,
15,,1965,À rafraîchir,3,,,220 m²,19 m²,,Pas équipée,30 m²,5,11 m²,16 m²,17 m²,,3,,Non,564 m²,Oui,,Sud,22 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,,460.000 €,919 €,Non,,,,,,,,,,2,,,Gaz,Non,,,,,Oui,Oui,Connecté,Non,,280 m²,Oui,21 m²,Non,,20 m²,,16 m²,,9 m²,,,,,,,,10 m,Non,Oui,Non,Non,Oui,Sud,,,,,,Non,Oui,Toutes sortes,,,,,,,,,,,,,,,,,,,,,
16,,1934,Bon,2,1,1,205 m²,44 m²,,Hyper équipée,13 m²,4,30 m²,19 m²,18 m²,,2,Oui,,210 m²,Oui,,,14 m²,288 kWh/m²,D,20210914016139,Non communiqué,58367 kWh/an,,Oui,,,Zone non inondable,,545.000 €,979 €,Non,"Place A.Favresse 81
1310 - La Hulpe",4506000,Après la signature de l’acte,,,,,,,2,,,Gaz,,,,,,,,Connecté,,,,,,,260 m²,13 m²,,,,,,,,,,,8.5 m,8.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
