,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings extérieurs,Type d’environnement,Surface du salon,Salle à manger,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Salles de bains,Salles de douche,Toilettes,Bureau,Espace professionnel,Surface du grenier,Isolé,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Concierge,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Double vitrage,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Disponible le,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Adresse,Référence externe,Parkings intérieurs,Surface habitable,Combien de feux ouverts ?,Buanderie,Surface de bureau,Cave,Jardin,Terrasse,Attestation as-built,Attestation de conformité des citernes à mazout,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Site internet,Grenier,Visite virtuelle,Surface de la chambre 5,Surface constructible totale au sol,Salon,Procédure pour violation de la réglementation urbanistique,Surface de la cave,Surface de l'espace professionnel,Nom de l'agent,Type de construction,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Nombre d'annexes,Obligation de construire,Charges mensuelles,Niveau E (performance énergétique globale),Description libre du PEB
0,Après la signature de l’acte,1930,Fraîchement rénové,6 m,3,2,"Zone d'habitat (résidentiel, urbain ou rural)",19 m²,Oui,Hyper équipée,10 m²,4,14 m²,13 m²,13 m²,13 m²,Oui,1,1,3,Non,Non,12 m²,Oui,Non,Non,174 m²,Non,Non,Non,Oui,10 m,Connecté,Oui,57 m²,Sud-ouest,10 m²,Sud-ouest,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,100 kWh/m²,B,20210810016997,20 kg CO₂/m²,20367 kWh/an,Gaz,Non,Non,Non,Oui,Oui,Zone non inondable,450.000 €,761 €,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,À la livraison,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,2022,Non communiqué,Non communiqué,,,,,,,Zone non inondable,,,Non,1 décembre 2022 - 00:00,Brabant Wallon,Oui,Non,Non,"Avenue Reine Astrid, 92
1310 - La Hulpe",4323008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,1920,,,4,5,,,,Pas équipée,,8,,,,,,4,,4,Oui,,,,Non,,1500 m²,,,,,,,Oui,,Sud-ouest,,,,,,,,,,,,,,329 kWh/m²,D,20210503009985,82 kg CO₂/m²,188555 kWh/an,Mazout,,,,,,,650.000 €,5.347 €,Non,,,Oui,,Non,"Avenue Albert Ier, 304
1332 - Genval",,3,350 m²,3,Oui,40 m²,Oui,Oui,Oui,Non,"Oui, conforme","Zone d'habitat (résidentiel, urbain ou rural)",5496 - 2286266,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,1970,À rafraîchir,20 m,4,5,,83 m²,,,50 m²,5,28 m²,20 m²,14 m²,13 m²,,3,,1,Oui,,,,,,5558 m²,,,,,,Connecté,Oui,5378 m²,,40 m²,,,Non,,,Oui,,,,,,,Non communiqué,A++,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,1.090.000 €,,Non,,,,,,"Av. Albert 1er 2a
1342 - Ottignies (Limelette)",,2,280 m²,1,,16 m²,Oui,,,,,,W6595,Oui,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,2011,,,3,2,Urbain,35 m²,,Hyper équipée,9 m²,4,16 m²,14 m²,12 m²,20 m²,,1,,2,,,,,Non,,521 m²,,,,,,Connecté,Oui,400 m²,,,,,,,,,,,,,,,169 kWh/m²,B,20120313032716,32 kg CO₂/m²,25086 kWh/an,Gaz,,,,,Oui,,375.000 €,1.357 €,Non,,Brabant Wallon,,,,"Rue de Rixensart 77
1332 - Genval",,1,185 m²,,,,,,Oui,,,,4454282,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,1954,À rénover,,4,1,,Oui,Semi-équipée,8 m²,3,16 m²,16 m²,12 m²,1,,,2,,Oui,,,,,772 m²,,Oui,,,,,,,Oui,,Oui,,,,,,,,,,,,,,G,20210423018856,Non communiqué,Non communiqué,Non,350.000 €,,,,,,,1.658 €,Non,"Avenue Zénobe Gramme 30 1er étage
1301 - Wavre",,,,,,335 - 3391277,,1,30 m²,,,,Non,Sud-est,585 kWh/m²,Mazout,,,,,133 m²,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,1850,À rafraîchir,,3,5,,21 m²,Oui,Hyper équipée,21 m²,5,10 m²,14 m²,15 m²,16 m²,,2,,2,Oui,,,,Non,,1012 m²,,,,,,Connecté,Oui,,,24 m²,,,Non,,,Oui,,,,,Non,,333 kWh/m²,D,20210908027673,61 kg CO₂/m²,77595 kWh/an,Gaz,,,,,Oui,Zone non inondable,520.000 €,1.036 €,Non,,,,,,"Place Albert 1er, 20
1300 - Limal",,,190 m²,,,7 m²,Oui,,,,,,4520233,Oui,,20 m²,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,2010,Bon,,2,2,,33 m²,,Hyper équipée,6 m²,4,14 m²,16 m²,15 m²,13 m²,,3,1,3,Oui,,,,Non,,152 m²,,,,,,Connecté,Oui,,,17 m²,,,,,,,,,,,,,159 kWh/m²,B,20210823016325,30 kg CO₂/m²,31261 kWh/an,Gaz,,,,,Oui,Zone non inondable,449.000 €,1.333 €,Non,,,,,Non,"Place Albert 1er, 20
1300 - Limal",,,160 m²,,,12 m²,Oui,,,,,,4451492,,,,160 m²,,,,,,,,,,,,,,,
8,Après la signature de l’acte,1830,À rafraîchir,,3,,,,Oui,,,4,,,,,Non,1,3,4,Oui,,,,Non,Non,2538 m²,Non,Non,Non,Oui,,Connecté,Non,,,,,Oui,Non,Oui,Non,Oui,,Non,,,Non,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Mazout,Non,Non,Non,Non,Oui,,749.000 €,2.196 €,Non,,,Oui,Non,Oui,"Drève Richelle, 118
1410 - Waterloo",,,300 m²,1,,75 m²,,,Oui,Non,"Oui, conforme",,5898709,,,,320 m²,Oui,Non,,,,,,,,,,,,,
9,À définir,2021,,,2,1,,48 m²,,Équipée,,3,,,,,,1,1,3,,,,,Non,,215 m²,,,,,,,Oui,146 m²,Est,,,,Oui,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,,,,,Oui,,375.000 €,,Non,31 décembre 2022 - 00:00,,,,,"Grand' Route 69 A
1435 - Corbais",,,199 m²,,,,Oui,,,Non,,,8565 - 4443,,,,,,,,,,,,,,,,,,,
