,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Surface habitable,Salon,Chambres,Salles de bains,Salles de douche,Toilettes,Bureau,Cave,Meublé,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Adresse,Site internet,À partir de,Disponible le,Parkings intérieurs,Type de zone inondable,Combien de feux ouverts ?,Type de cuisine,Buanderie,Grenier,Surface du terrain,Surface du jardin,Surface de la terrasse,Orientation de la terrasse,Nom de l'agent,Quartier ou lieu-dit,Type d’environnement,Attestation as-built,Référence externe,Ascenseur,Accessible aux personnes avec un handicap,Piscine,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Revenu cadastral,Dressing,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,"Eau, gaz & électricité",Type de construction,Surface du salon,Salle à manger,Terrasse,Parkings extérieurs,Surface de bureau,Orientation du jardin,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Permis de bâtir obtenu,Surface de la chambre 4,Surface de la chambre 5,Parlophone,Raccordement à l'égout,Obligation de construire,Visite virtuelle,Surface de la cuisine,Surface de la cave,Surface du grenier,Surface constructible totale au sol,Surface de l'espace professionnel,Largeur du terrain à rue,Accès sécurisé / alarme,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Interphone vidéo,Concierge,Climatisation,Jacuzzi,Sauna,Internet,Niveau E (performance énergétique globale),Chauffe-eau commun,Revenu mensuel actuel,Lieu de la vente,Séance unique,Modalités de visite,Informations supplémentaires,Mise à prix,Isolé,Description libre du PEB,Attestation de conformité des citernes à mazout,Pourcentage loué,Charges mensuelles
0,1854,Bon,5 m,2,522 m²,Oui,3,2,1,3,Oui,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1.500.000 €,Oui,"Rue Zeyp 17
1083 - Ganshoren",4401286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,15 kWh/m²,A,A,15 kg CO₂/m²,Non communiqué,,,,,Non,"Brussels - Uccle - Waterloo
1410 - Waterloo",4017303,À la livraison,30 mai 2022 - 00:00,80,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1854,Bon,5 m,2,522 m²,Oui,3,2,1,3,Oui,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,"Zone d'habitat d'intérêt culturel, historique et/ou esthétique",1.500.000 €,Oui,"Rue Zeyp 17
1083 - Ganshoren",4400812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Excellent état,,2,400 m²,,7,3,1,5,,Oui,Oui,274 kWh/m²,E,Non communiqué,59 kg CO₂/m²,Non communiqué,Gaz,Oui,,1.295.000 €,Oui,"Square Marie Louise 4/27
1000 - Bruxelles",,Après la signature de l’acte,,1,,3,Hyper équipée,Oui,Oui,200 m²,60 m²,20 m²,Sud,Immodanou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,2,635 m²,,9,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,1.250.000 €,Oui,"Rue Neufchatel 36
1060 - Saint-Gilles",,Après la signature de l’acte,,,,,,,,136 m²,,,,,Madou/Rue royale,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,420 m²,,,,,,,Oui,Non,53612 kWh/m²,G,201308300000183730011,109 kg CO₂/m²,Non communiqué,,,,1.350.000 €,Oui,"Av. A.M. Coningham 6
1000 - Bruxelles ville",,,,,,,Pas équipée,,,,,,,,EUROPEEN,,Non,2933 - 727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,Bon,,2,,,30,30,30,30,,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,3.100.000 €,Oui,"rue de Flandre 197
1000 - Bruxelles ville",4498949,,,,,,Américaine semi-équipée,,,110 m²,,,,,,,,,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,2,385 m²,Oui,7,1,2,4,,Oui,Non,440 kWh/m²,G,20210825-0000594552-014,87 kg CO₂/m²,Non communiqué,,Non,,565.000 €,Non,"Av. Henri Conscience 74
1140 - Evere",9856,,,,,,Équipée,,,,,,,,,,Non,,,,,Non,Non,Non,1.675 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,2,2271 m²,,,,,,Non,,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,1.750.000 €,Oui,,,Après la signature de l’acte,,,,,,,,524 m²,,1 m²,Nord-ouest,,Centre Bruxelles,,,,,,,,,,2.224 €,Non,Non,Non,Non,Non,Non,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,2,221 m²,,5,,4,3,,Oui,Non,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,,545.000 €,Non,"Bd Félix Paulsen 24-26
1070 - Anderlecht",552,,,,,,Équipée,Oui,,,,,,,,,Non,,,,,Non,Non,Non,,,,,,,,,,,33 m²,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
