,À partir de,Année de construction,État du bâtiment,Largeur de la façade à rue,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface habitable,Surface du salon,Salle à manger,Combien de feux ouverts ?,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Dressing,Salles de bains,Toilettes,Surface de bureau,Bureau,Espace professionnel,Surface du grenier,Meublé,Porte blindée,Surface du terrain,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Jacuzzi,Sauna,Piscine,Internet,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation de conformité des citernes à mazout,Type de chauffage,Chauffe-eau commun,Double vitrage,Permis de bâtir obtenu,Type de construction,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Prix,Immeuble de rapport,Buanderie,Surface de la cave,Revenu cadastral,Adresse,Nom de l'agent,Visite virtuelle,Surface de la chambre 5,Salles de douche,Grenier,Ascenseur,Accessible aux personnes avec un handicap,Surface constructible totale au sol,Jardin,Pompe à chaleur,Obligation de construire,Site internet,Terrasse,Cave,Attestation as-built,Référence externe,Surface de l'espace professionnel,Nombre d'annexes,Salon,Isolé,Disponible le,Concierge,Climatisation,Panneaux photovoltaïques,Panneaux solaires,Description libre du PEB,Quartier ou lieu-dit,Niveau E (performance énergétique globale),Charges mensuelles,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Pourcentage loué,Revenu mensuel actuel,Nom du bien,Étage,Nombre d'étages,Informations supplémentaires
0,Après la signature de l’acte,1980,Excellent état,14 m,4,1,1,"Zone d'habitat (résidentiel, urbain ou rural)",250 m²,38 m²,Oui,1,Hyper équipée,15 m²,4,32 m²,11 m²,10 m²,16 m²,Non,2,2,14 m²,Oui,Oui,15 m²,Non,Non,880 m²,Non,Non,Non,Non,22 m,Connecté,Oui,880 m²,Sud,40 m²,Sud,Oui,Oui,Non,Non,Non,Non,Oui,281 kWh/m²,D,20170806010199,70 kg CO₂/m²,63192 kWh/an,"Oui, conforme",Mazout,Oui,Oui,Oui,Toutes sortes,Oui,Non,Non,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",475.000 €,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Selon le locataire,,Excellent état,,2,,1,"Zone d'habitat (résidentiel, urbain ou rural)",160 m²,21 m²,Oui,,Équipée,14 m²,4,21 m²,12 m²,12 m²,9 m²,,1,1,,,,10 m²,Non,,170 m²,,,,,,Connecté,Oui,,,22 m²,,,,,,,,,295 kWh/m²,D,20210922020885,58 kg CO₂/m²,Non communiqué,,Gaz,,Oui,,,,,Non,,"Zone d'habitat (résidentiel, urbain ou rural)",210.000 €,,Oui,10 m²,572 €,"Rue Petit Warichet 9
1367 - Ramillies",Serge Decloux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,2008,Excellent état,15 m,4,1,4,Isolé,50 m²,Équipée,,,16 m²,5,14 m²,20 m²,19 m²,16 m²,24 m²,,2,Oui,,Oui,,,646 m²,,20.4 m,,,,,Connecté,Non,20 m²,,,Non,,,Non,,,,206 kWh/m²,,C,20210817015525,Non communiqué,60494 kWh/an,Gaz,,Oui,,145 m²,,,,,,,,Non,"Rue de la Victoire 20
5380 - Noville-les-Bois",,,,4444092,,250 m²,2,2,Non,Non,Oui,Faire offre à partir de 450.000 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,,Bon,,4,,3,,350 m²,50 m²,,,Équipée,24 m²,8,18 m²,10 m²,10 m²,10 m²,Non,3,3,12 m²,Oui,,25 m²,Non,,1580 m²,,,,,,,,,Sud-ouest,15 m²,,,,,,,,,252 kWh/m²,C,20210507002735,Non communiqué,Non communiqué,Non,Mazout,,Oui,Oui,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",525.000 €,Non,Oui,15 m²,1.323 €,"Avenue Général Mellier 20
5030 - Gembloux",,,10 m²,2,,,,,Oui,Non,Non,spir1878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,1968,À rénover,,4,,2,,155 m²,31 m²,,,Pas équipée,10 m²,3,12 m²,11 m²,,,,1,1,,,,,Non,,519 m²,,,,,,Connecté,Non,519 m²,,,,,,,,,,,461 kWh/m²,F,20210725002048,Non communiqué,50910 kWh/an,,Mazout,,,,,,,,Zone non inondable,,230.000 €,Non,,,790 €,"Chaussée de Tirlemont 1
1370 - Jodoigne",,,,1,Oui,,,,,,,4522140,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Après la signature de l’acte,1985,À rafraîchir,,4,2,,,167 m²,,,1,Équipée,15 m²,3,16 m²,16 m²,15 m²,,,1,,,,,,Non,,1125 m²,,,,,,,,,Ouest,,,,,,,,,,284 kWh/m²,D,20210303018176,Non communiqué,67690 kWh/an,,Mazout,,Oui,,,,,,,,345.000 €,Non,,,1.460 €,"Grand' Route 3
1435 - Mont Saint-Guibert",,,,,,,,,Oui,,,,,Oui,Non,8978 - 354907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Après la signature de l’acte,,Excellent état,,4,5,2,,185 m²,33 m²,,,Américaine hyper-équipée,22 m²,3,13 m²,13 m²,25 m²,,,1,2,5 m²,Oui,Oui,25 m²,Non,,475 m²,,,,Oui,,Connecté,Oui,374 m²,,25 m²,,,,,,,,,362 kWh/m²,E,20210819006593,Non communiqué,51824 kWh/an,"Oui, conforme",Mazout,,Oui,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",415.000 €,,Oui,18 m²,974 €,"Rue Dessus 17
1370 - Jodoigne",VAN REMOORTEL,,,2,,,,,,,,,,,,,28 m²,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,1978,À rafraîchir,,,,3,,140 m²,36 m²,,,Semi-équipée,12 m²,4,28 m²,14 m²,8 m²,8 m²,,1,1,,,,,Non,,1178 m²,,,,,,,,,Sud-est,,,,,,,,,,315 kWh/m²,D,20210807004017,780 kg CO₂/m²,42688 kWh/an,"Oui, conforme",Mazout,,Oui,,,,,,,,Faire offre à partir de 320.000 €,Non,,,1.187 €,"Avenue Faculté d'Agronomie 41
5030 - Gembloux",,,,,,,,,Oui,,,41610 - 20085/RNI,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,,,,4,1,,"Zone d'habitat (résidentiel, urbain ou rural)",105 m²,25 m²,,,,,3,9 m²,10 m²,9 m²,,,1,1,,,,,,,1551 m²,,,,,,Connecté,Oui,,,,,,,,,,,,538 kWh/m²,G,20210913007657,111 kg CO₂/m²,Non communiqué,,Gaz,,Oui,,,,,,,,240.000 €,,,,1.098 €,"Rue Bois Merau 15
1367 - Ramillies",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,,Bon,,3,1,4,,110 m²,44 m²,,,Équipée,,3,13 m²,13 m²,8 m²,,,,2,,,,,,,590 m²,,,,,,,Oui,,,,,,,,,,,,336 kWh/m²,D,20210829010286,Non communiqué,45837 kWh/an,,Mazout,,Oui,,,,,,Zone non inondable,"Zone d'habitat (résidentiel, urbain ou rural)",275.000 €,,Oui,60 m²,694 €,"Chaussée de Louvain 258
5004 - Bouge",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
