,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Dressing,Salles de douche,Toilettes,Cave,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Jardin,Orientation du jardin,Surface de la terrasse,Orientation de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Pompe à chaleur,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Année de construction,Nombre de façades,Salles de bains,Surface de bureau,Bureau,Grenier,Porte blindée,Concierge,Ascenseur,Parlophone,Accès sécurisé / alarme,Interphone vidéo,Procédure pour violation de la réglementation urbanistique,Type de zone inondable,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Adresse,Site internet,Accessible aux personnes avec un handicap,Piscine,Terrasse,Buanderie,Salle à manger,Combien de feux ouverts ?,Droit d'achat prioritaire possible,Lieu de la vente,Séance unique,Mise à prix,Surface du jardin,Attestation de conformité des citernes à mazout,Disponible le,Type d’environnement,Espace professionnel,Surface de la cave,Surface du grenier,Isolé,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Climatisation,Jacuzzi,Sauna,Internet,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Référence externe,Attestation as-built,Surface constructible totale au sol,Largeur de la façade à rue,Largeur du terrain à rue,Salon,Surface de l'espace professionnel,Nombre d'annexes,Quartier ou lieu-dit,Permis de bâtir obtenu,Autorisation de lotissement,Modalités de visite,Nom de l'agent,Charges mensuelles,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Durée maximale de la rente,Âge du rentier,Niveau E (performance énergétique globale),Obligation de construire,Informations supplémentaires
0,À définir,Bon,1,1,257 m²,62 m²,Équipée,19 m²,5,16 m²,10 m²,12 m²,24 m²,18 m²,Non,1,3,Oui,Non,5912 m²,Connecté,Oui,Oui,Sud,100 m²,Sud,302 kWh/m²,D,20210811017473,Non communiqué,Non communiqué,Mazout,Non,Oui,595.000 €,2.555 €,Non,"Avenue Alphonse Allard 288
1420 - Braine-l'Alleud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Après la signature de l’acte,Excellent état,,4,,500 m²,50 m²,Équipée,28 m²,4,34 m²,33 m²,27 m²,24 m²,17 m²,,,6,Oui,,2400 m²,,Oui,,,54 m²,,54 kWh/m²,A+,20170313501357,Non communiqué,26 kWh/an,,,Oui,1.680.000 €,5.900 €,Non,2013,4,5,108 m²,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Zone riveraine délimitée,"Zone d'habitat (résidentiel, urbain ou rural)","Rue Darwin 56
1050 - Ixelles",V80000598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Immédiatement,Bon,,3,,500 m²,,Équipée,,5,,,,,,,3,3,Oui,Non,2200 m²,Connecté,Oui,,,,,299 kWh/m²,D,20211006025986,Non communiqué,84899 kWh/an,Mazout,,Oui,1.150.000 €,,Non,,4,3,,Oui,Oui,,,Non,,Oui,,,,,"rue de la Gendarmerie 1
1380 - Lasne",4517738,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Après la signature de l’acte,Bon,1,4,,250 m²,,Hyper équipée,,5,,,,,,,,,Oui,Non,2500 m²,,,,,,,335 kWh/m²,D,20210707014169,Non communiqué,Non communiqué,,,Oui,1.185.000 €,,Non,,4,2,,Oui,Oui,,,Non,Oui,,,,,,"Avenue Legrand 30
1050 - Ixelles",4519140,Non,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,391 m²,62 m²,Équipée,,7,22 m²,18 m²,17 m²,17 m²,13 m²,,,4,,Non,3480 m²,,,,,,,193 kWh/m²,C,20210920012907,48 kg CO₂/m²,72395 kWh/an,Mazout,,Oui,1.475.000 €,5.713 €,Non,1990,4,4,23 m²,Oui,Oui,Non,Non,Non,Oui,Non,Oui,,,,"Rue des Saules, 31
1380 - Ohain",102925,Non,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,1,,125 m²,36 m²,,,2,16 m²,14 m²,,,,,,1,,Non,595 m²,,,,,,,611 kWh/m²,G,2020120816384,152 kg CO₂/m²,96677 kWh/an,Mazout,,Oui,350.000 €,1.072 €,Non,1959,4,1,15 m²,Oui,Oui,Non,,,,,,,,,"Rue des Saules, 31
1380 - Ohain",102890,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,6,,200 m²,60 m²,Équipée,,5,11 m²,11 m²,11 m²,11 m²,,,,2,,Non,2116 m²,,,,,,,350 kWh/m²,E,20170217014684,89 kg CO₂/m²,105073 kWh/an,Mazout,,Oui,685.000 €,,Non,1966,4,3,,Oui,,Non,Non,Non,Non,Oui,Non,,,,"Rue des Saules, 31
1380 - Ohain",102893,Non,Oui,Oui,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,Bon,2,4,,275 m²,21 m²,Équipée,26 m²,4,21 m²,16 m²,17 m²,15 m²,,Oui,,,,Non,2200 m²,,Oui,,,,,247 kWh/m²,C,20121121012131,61 kg CO₂/m²,Non communiqué,Mazout,,,950.000 €,,Non,,4,4,17 m²,Oui,,,,,,,,,,,"Avenue Capouillet 58 A
1410 - Waterloo",,,,Oui,,Oui,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,À rafraîchir,,8,,,,,,7,,,,,,,4,4,,Non,9000 m²,,Oui,,,,,328 kWh/m²,D,20210721006325,Non communiqué,132147 kWh/an,Gaz,,,950.000 €,,Non,,3,4,,,,,,,,,,,,,"rue de la Gendarmerie 1
1380 - Lasne",4405148,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Après la signature de l’acte,Excellent état,4,,,,,,,7,,,,,,,,,Oui,,10500 m²,,,,,,,166 kWh/m²,B,20210612002985,Non communiqué,143216 kWh/an,Mazout,,,2.750.000 €,11.415 €,Non,2000,4,6,,Oui,Oui,,,,,,,,,,"Avenue Delleur, 8
1170 - Watermael-Boitsfort",030/27647,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
