,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Surface habitable,Type de cuisine,Chambres,Salles de bains,Toilettes,Cave,Meublé,Surface du terrain,Terrain à front de rue,Terrasse,Ascenseur,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,Type d’environnement,Surface du salon,Salles de douche,Surface de bureau,Bureau,Largeur du terrain à rue,"Eau, gaz & électricité",Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,À partir de,Parkings extérieurs,Combien de feux ouverts ?,Accès sécurisé / alarme,Interphone vidéo,Type de zone inondable,Référence externe,Surface du jardin,Surface de la terrasse,Disponible le,Surface de la cuisine,Buanderie,Orientation du jardin,Parlophone,Largeur de la façade à rue,Salle à manger,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Surface de l'espace professionnel,Grenier,Raccordement à l'égout,Accessible aux personnes avec un handicap,Piscine,Surface constructible totale au sol,Jardin,Nom de l'agent,Dressing,Concierge,Attestation de conformité des citernes à mazout,Obligation de construire,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Quartier ou lieu-dit,Visite virtuelle,Surface de la cave,Espace professionnel,Surface du grenier,Porte blindée,Terrain boisé,Terrain arrière,Terrain plat,Orientation de la terrasse,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Droit d'achat prioritaire possible,Charges mensuelles,Revenu mensuel actuel,Salon,Nombre d'annexes,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Isolé,Climatisation,Jacuzzi,Sauna,Internet,Nom du bien,Étage,Nombre d'étages,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
0,1956,Bon,2,9,655 m²,Semi-équipée,16,8,8,Oui,Non,400 m²,Non,Oui,Oui,184 kWh/m²,C,20140825019941,Non communiqué,Non communiqué,Non,Gaz,Oui,1.550.000 €,8.719 €,Oui,"Rue de Namur 15
1400 - Nivelles",993 - 669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2022,,3,2,,Équipée,3,1,2,,Non,704 m²,Non,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,518.196 €,,Non,"Avenue Franklin Roosevelt 104/29,
1330 - Rixensart",575 - 10000610,Pays,54 m²,1,13 m²,Oui,11.52 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,2,,100 m²,Équipée,3,,2,,Non,50 m²,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,195.000 €,659 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6675-Maison,"Zone d'habitat (résidentiel, urbain ou rural)",28 m²,1,,,,,Non,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022,,3,2,154 m²,Équipée,3,1,2,,Non,568 m²,Non,Oui,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,412.000 €,,Non,"Avenue Franklin Roosevelt 104/29,
1330 - Rixensart",594 - 10000613,,46 m²,1,10 m²,Oui,13.11 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022,,3,2,167 m²,Équipée,4,1,2,,Non,749 m²,Non,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Oui,508.051 €,,Non,"Avenue Franklin Roosevelt 104/29,
1330 - Rixensart",574 - 10000614,,46 m²,1,10 m²,Oui,16.42 m,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Bon,,,80 m²,Pas équipée,2,1,1,Oui,Non,75 m²,Non,Oui,,195 kWh/m²,C,20210929015252,Non communiqué,Non communiqué,Non,Gaz,Oui,190.000 €,562 €,Non,"Rue de Namur 15
1400 - Nivelles",1021 - 695,,24 m²,,,,,,,,,Après la signature de l’acte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,4,4,225 m²,Équipée,3,1,2,Oui,Non,629 m²,,Oui,,221 kWh/m²,C,Non communiqué,Non communiqué,41946 kWh/an,Non,Gaz,Oui,695.000 €,3.432 €,Non,"7 rue de Namur
1400 - Nivelles",,,46 m²,2,,,,,,,,,6,1,Oui,Oui,Zone non inondable,3592 - 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Fraîchement rénové,3,1,125 m²,Équipée,3,1,1,,Non,285 m²,,,,302 kWh/m²,D,Non communiqué,Non communiqué,30263 kWh/an,Non,Gaz,Oui,305.000 €,,Non,"7 rue de Namur
1400 - Nivelles",,,25 m²,1,,,,,,,,,1,,,,,3553 - 1829,210 m²,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,3,1,150 m²,Équipée,4,2,3,Oui,Non,89 m²,,,,137 kWh/m²,B,Non communiqué,Non communiqué,25605 kWh/an,Non,Gaz,Oui,395.000 €,1.722 €,Non,"7 rue de Namur
1400 - Nivelles",,,,,,,,,,,,,,,,,,3595 - 2042,20 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,3,1,235 m²,,4,1,2,Oui,Non,650 m²,,,,293 kWh/m²,D,Non communiqué,Non communiqué,70160 kWh/an,Non,Gaz,Oui,469.000 €,944 €,Non,"7 rue de Namur
1400 - Nivelles",,,78 m²,,,,,,,,,Après la signature de l’acte,4,1,,,,3552 - 2006,600 m²,40 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
