,Année de construction,État du bâtiment,Nombre de façades,Surface habitable,Chambres,Surface du terrain,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Adresse,À partir de,Quartier ou lieu-dit,Largeur de la façade à rue,Parkings intérieurs,Parkings extérieurs,Type d’environnement,Surface du salon,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Surface de la chambre 4,Surface de la chambre 5,Salles de bains,Toilettes,Grenier,"Eau, gaz & électricité",Surface de la terrasse,Accès sécurisé / alarme,Prix,Revenu cadastral,Immeuble de rapport,Référence externe,Combien de feux ouverts ?,Type de cuisine,Surface de bureau,Bureau,Raccordement à l'égout,Jardin,Orientation du jardin,Piscine,Salles de douche,Meublé,Surface du jardin,Orientation de la terrasse,Attestation as-built,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Site internet,Visite virtuelle,Terrasse,Ascenseur,Type de zone inondable,Autorisation de lotissement,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Nom de l'agent,Dressing,Espace professionnel,Surface de la cave,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Concierge,Accessible aux personnes avec un handicap,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Chauffe-eau commun,Salon,Cave,Surface de l'espace professionnel,Buanderie,Largeur du terrain à rue,Attestation de conformité des citernes à mazout,Disponible le,Droit d'achat prioritaire possible,Permis de bâtir obtenu,Type de construction,Obligation de construire,Surface constructible totale au sol,Surface du grenier,Nombre d'annexes,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Mise à prix
0,1920,Excellent état,2,120 m²,2,550 m²,266 kWh/m²,D,20210926005998,Non communiqué,Non communiqué,Gaz,Oui,400.000 €,40.000 €,1.500 €,Oui,Oui,Oui,2,"76, 82",15 ans max,"2 Rue Solleveld
1200 - Bruxelles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1967,,4,220 m²,5,999 m²,381 kWh/m²,E,20210707026730,Non communiqué,Non communiqué,Gaz,Oui,,,,,,,,,,"Rue de Nivelles 1
1440 - Braine-le-Château",Après la signature de l’acte,Brabant Wallon,17 m,3,3,"Zone d'habitat (résidentiel, urbain ou rural)",40 m²,Oui,12 m²,16 m²,14 m²,13 m²,12 m²,11 m²,1,2,Oui,Oui,110 m²,Oui,Faire offre à partir de 649.000 €,3.834 €,Non,4404975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1991,Bon,4,224 m²,4,1174 m²,341 kWh/m²,E,20210501001911,Non communiqué,Non communiqué,Mazout,,,,,,,,,,,"Avenue du Roi Soleil 41
1410 - Waterloo",,,,2,3,,53 m²,,,21 m²,16 m²,16 m²,15 m²,,3,4,,Oui,,Oui,890.000 €,2.700 €,Non,,1,Équipée,14 m²,Oui,Connecté,Oui,Ouest,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,4,370 m²,6,1925 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,,,,,,,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",,,,2,3,"Zone d'habitat (résidentiel, urbain ou rural)",66 m²,,,,,,,,3,3,,,50 m²,,875.000 €,5.528 €,Non,,,Équipée,,,,,Sud-ouest,,2,Non,800 m²,Sud-ouest,Non,Non,Non,Non,6971-ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,4,370 m²,6,4000 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Non,,,,,,,,,,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",,,,2,3,"Zone d'habitat (résidentiel, urbain ou rural)",66 m²,,,,,,,,3,3,,,50 m²,,1.500.000 €,5.528 €,Non,,,Équipée,,,,,Sud-ouest,,2,Non,2800 m²,,Non,Non,Non,Non,6971-AT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1973,,4,49 m²,19 m²,Oui,D,20210805000973,Non communiqué,Non communiqué,Gaz,Oui,Faire offre à partir de 649.000 €,,,,,,,,,,4427210,Après la signature de l’acte,Brabant Wallon,,,2,"Zone d'habitat (résidentiel, urbain ou rural)",15 m²,,4,16 m²,15 m²,9 m²,4,,3,Oui,,Oui,,Oui,4.217 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",,,,,691 m²,,,,306 kWh/m²,,,,,,,,,,206 m²,Non,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1975,,4,130 m²,3,1084 m²,Non communiqué,Non communiqué,20210603016287,Non communiqué,651 kWh/an,,Non,,,,,,,,,,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",,,,2,2,,40 m²,,,,,,,,1,1,,,12 m²,,435.000 €,2.754 €,Non,,,Équipée,,,,,Sud-ouest,,,Non,350 m²,,Non,Non,Non,Non,6548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,À rénover,2,140 m²,2,195 m²,525 kWh/m²,G,Non communiqué,Non communiqué,42563 kWh/an,Gaz,Oui,,,,,,,,,,"7 rue de Namur
1400 - Nivelles",,,,3,1,,40 m²,,,,,,,,1,,,,,,249.000 €,,Non,3555 - 2019,,Semi-équipée,,,,,,,,Non,,,Non,,,,,,Oui,,Zone non inondable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,À rafraîchir,2,150 m²,3,,424 kWh/m²,E,20210527017875,Non communiqué,71172 kWh/an,Mazout,Oui,,,,,,,,,,"Rue de la Montagne, 46
1460 - ITTRE",Après la signature de l’acte,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,20 m²,18 m²,8 m²,,,,,,,,,Faire offre à partir de 325.000 €,1.003 €,Non,,,,,,,,,,,,,,,Non,,,,,,,,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",Nicolas NOLLET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1918,Bon,3,134 m²,3,240 m²,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Électrique,Oui,,,,,,,,,,,Après la signature de l’acte,,,,,,24 m²,,11 m²,11 m²,16 m²,17 m²,,,1,2,,Oui,14 m²,Non,400.000 €,778 €,Non,,1,Équipée,11 m²,Oui,Connecté,,,Non,,Non,85 m²,,,Non,Non,Non,,,,Non,Zone non inondable,,,,,Non,Oui,24 m²,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,,,,,,,,,,,,,,,,,,
