,Année de construction,Nombre de façades,Surface habitable,Surface du salon,Type de cuisine,Chambres,Salles de bains,Salles de douche,Toilettes,Meublé,Surface du terrain,Surface du jardin,Orientation du jardin,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Attestation as-built,Type de chauffage,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Site internet,À partir de,État du bâtiment,Parkings intérieurs,Parkings extérieurs,Salle à manger,Surface de la cuisine,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Bureau,Grenier,"Eau, gaz & électricité",Surface de la terrasse,Accès sécurisé / alarme,Piscine,Attestation de conformité des citernes à mazout,Permis de bâtir obtenu,Référence externe,Type d’environnement,Largeur de la façade à rue,Surface de la chambre 4,Buanderie,Surface du grenier,Terrain à front de rue,Terrain boisé,Largeur du terrain à rue,Raccordement à l'égout,Jardin,Orientation de la terrasse,Accessible aux personnes avec un handicap,Salon,Quartier ou lieu-dit,Surface de la chambre 5,Surface de bureau,Espace professionnel,Surface de la cave,Porte blindée,Niveau E (performance énergétique globale),Chauffe-eau commun,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Terrain arrière,Terrain plat,Type de construction,Disponible le,Combien de feux ouverts ?,Ascenseur,Dressing,Nombre d'annexes,Concierge,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Type de zone inondable,Visite virtuelle,Cave,Terrasse,Pourcentage loué,Nom de l'agent,Isolé,Surface constructible totale au sol,Informations supplémentaires,Surface de l'espace professionnel,Description libre du PEB,Obligation de construire,Lieu de la vente,Séance unique,Modalités de visite,Mise à prix,Charges mensuelles,Valeur du bien,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge du rentier,Durée maximale de la rente
0,1930,2,165 m²,32 m²,Équipée,3,1,1,1,Non,202 m²,115 m²,Est,Non communiqué,Non communiqué,20210510013455,Non communiqué,47396 kWh/an,Non,Mazout,Non,Non,Non,Non,375.000 €,1.001 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,,,,,Non,"Rue du Bailli, 18
1480 - Tubize",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1980,4,335 m²,24 m²,,3,2,,3,,2676 m²,,,277 kWh/m²,D,2021061423228,Non communiqué,Non communiqué,,Mazout,,,,Oui,Faire offre à partir de 675.000 €,3.081 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",,Après la signature de l’acte,Excellent état,1,4,Oui,12 m²,16 m²,15 m²,12 m²,Oui,Oui,Non,80 m²,Oui,Oui,"Oui, conforme",Oui,4534860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1933,3,130 m²,40 m²,Équipée,3,,1,1,Non,311 m²,100 m²,Sud,477 kWh/m²,F,20210507007642,Non communiqué,72672 kWh/an,Non,,Non,Non,Non,Non,197.500 €,835 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6575-2021,,,,,,,,,,,,,20 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1998,2,93 m²,32 m²,Équipée,4,1,1,2,Non,139 m²,,Sud,192 kWh/m²,C,20210726012907,Non communiqué,24820 kWh/an,,Gaz,,,,Oui,330.000 €,2.691 €,,"Ch. de Bruxelles 548
1410 - Waterloo",,Après la signature de l’acte,Bon,1,,,,7 m²,9 m²,12 m²,,,Oui,18 m²,,,,,,,6 m,13 m²,Oui,30 m²,Oui,Oui,6 m,Connecté,Oui,Sud,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1900,2,230 m²,,Équipée,4,2,2,2,Non,260 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Non,550.000 €,1.318 €,Oui,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6314-2021,,,5,,,,,,,,,,,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1997,4,167 m²,32 m²,Équipée,3,1,1,3,Non,2100 m²,1800 m²,Sud,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non,Gaz,Non,Non,Non,Non,525.000 €,1.779 €,Non,"Avenue Napoléon, 1
1420 - Braine-l'Alleud",6736-BLA -1,,,1,3,,,,,,,,,50 m²,,,,,,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1967,4,220 m²,40 m²,,5,1,,2,,999 m²,,,381 kWh/m²,E,20210707026730,Non communiqué,Non communiqué,,Gaz,,,,Oui,Faire offre à partir de 649.000 €,3.834 €,Non,"Rue de Nivelles 1
1440 - Braine-le-Château",,Après la signature de l’acte,,3,3,Oui,12 m²,16 m²,14 m²,13 m²,,Oui,Oui,110 m²,Oui,,,,4417059,"Zone d'habitat (résidentiel, urbain ou rural)",17 m,12 m²,,,,,,,,,,,Brabant Wallon,11 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1987,4,308 m²,,,4,1,,,Non,2457 m²,,,496 kWh/m²,F,20210506026340,Non communiqué,Non communiqué,,Électrique,Non,Non,Non,Oui,745.000 €,3.098 €,Non,"Alsembergsesteenweg 570
1653 - Dworp",,,,,,,17 m²,,,,Oui,,Non,,,,,Oui,304,,,,,,,,,Connecté,,,,,,,7 m²,Oui,124 m²,Non,496,Non,Non,Non,Non,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1900,3,,,,,,,,,1934 m²,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,Gaz,Non,Non,Non,Non,1.700.000 €,,Oui,,,Après la signature de l’acte,À rafraîchir,,,,,,,,,,Oui,,,,,,,,,,,,Oui,Non,,,,,,,,,,,,,,Non,,,,,Non,Non,Toutes sortes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
