,Année de construction,État du bâtiment,Nombre de façades,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Toilettes,Grenier,Meublé,Surface du terrain,Largeur du terrain à rue,Raccordement à l'égout,"Eau, gaz & électricité",Surface de la terrasse,Accessible aux personnes avec un handicap,Accès sécurisé / alarme,Piscine,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Double vitrage,Type de zone inondable,Prix,Revenu cadastral,Immeuble de rapport,Adresse,À partir de,Disponible le,Quartier ou lieu-dit,Site internet,Salle à manger,Salles de douche,Cave,Attestation as-built,Type de chauffage,Largeur de la façade à rue,Type d’environnement,Salon,Type de cuisine,Surface de la chambre 4,Dressing,Bureau,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Surface du jardin,Orientation du jardin,Orientation de la terrasse,Concierge,Ascenseur,Parlophone,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Permis de bâtir obtenu,Type de construction,Obligation de construire,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Parkings intérieurs,Surface de la chambre 5,Buanderie,Surface de bureau,Surface de l'espace professionnel,Jardin,Terrasse,Charges mensuelles,Revenu mensuel actuel,Référence externe,Attestation de conformité des citernes à mazout,Surface de la cave,Description libre du PEB,Combien de feux ouverts ?,Isolé,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Surface constructible totale au sol,Surface du grenier,Nombre d'annexes,Nom de l'agent,Niveau E (performance énergétique globale),Lieu de la vente,Séance unique,Modalités de visite,Mise à prix
0,2019,Excellent état,2,2,156 m²,34 m²,8 m²,3,14 m²,10 m²,12 m²,1,2,Oui,Non,303 m²,8.72 m,Connecté,Oui,32 m²,Non,Oui,Non,55 kWh/m²,A,20210825500168,11 kg CO₂/m²,8494 kWh/an,Oui,Zone non inondable,Faire offre à partir de 369.000 €,990 €,Non,"Route d'Ath 458
7050 - Jurbise",4446781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Rue Fort d'Andoy 5
5100 - Wierde",À la livraison,31 décembre 2021 - 00:00,Brabant wallon,4196244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,175 m²,,9 m²,5,15 m²,8 m²,,3,3,,Non,86 m²,,,,,,,,227 kWh/m²,C,20210729011832,Non communiqué,40264 kWh/an,Oui,,290.000 €,523 €,Non,"Chaussée de Marche 940
5100 - Wierde",,,,2507 - 6845,Oui,3,Oui,Non,Gaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2021,Excellent état,2,2,,165 m²,,,4,18 m²,11 m²,11 m²,2,2,,Non,499 m²,,Connecté,Oui,24 m²,Non,Non,Non,Non communiqué,A,Non communiqué,Non communiqué,Non communiqué,Oui,Zone non inondable,449.000 €,,Non,,Après la signature de l’acte,,,,Oui,1,,,,8 m,Pays,Oui,Américaine hyper-équipée,9 m²,Non,Non,Non,Non,Non,Non,Non,Non,300 m²,Sud,Sud,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Toutes sortes,Non,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,
4,2009,Excellent état,4,5,325 m²,65 m²,Équipée,,28 m²,21 m²,20 m²,17 m²,1,Oui,733 m²,,Connecté,,Oui,Oui,,,118 kWh/m²,,B,20130510007557,Non communiqué,49983 kWh/an,Gaz,795.000 €,,2.668 €,Non,"Chaussée de Mons, 303
1480 - Tubize",12519/116,Après la signature de l’acte,,Braine-le-chateau,,,,Oui,,Oui,,"Zone d'habitat (résidentiel, urbain ou rural)",,5,14 m²,,25 m²,,,,,,,,Oui,,,Oui,,,,,,,,,,,,,,,,,1,3,25 m²,Oui,Oui,Nord-est,Non,,,,,,,,,,,,,,,,,,
5,1988,Bon,4,3,,145 m²,32 m²,18 m²,2,17 m²,9 m²,,,1,,Non,1519 m²,20 m,,,,,,,353 kWh/m²,E,20170228007431,101 kg CO₂/m²,61268 kWh/an,Oui,,Faire offre à partir de 390.000 €,1.517 €,Non,"Avenue de Burlet 11A
1400 - Nivelles",,,,78310 - B37,,1,,Non,,12 m,,,Équipée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,Oui,,,,,,,,,,,,,,,,,,
6,,Bon,2,,,213 m²,21 m²,16 m²,5,24 m²,20 m²,19 m²,1,2,,Non,,,,Oui,,,,,233 kWh/m²,C,201111080018638,47 kg CO₂/m²,Non communiqué,Oui,,315.000 €,1.183 €,Non,"Av. de la Belle Province 101
1420 - Braine-l Alleud",,1 juillet 2021 - 00:00,,78212 - B25+CV38,,1,Oui,Non,Gaz,,Rue commerçante,,Équipée,15 m²,,Oui,,,,,,,,Sud-ouest,,,,Oui,,,,,,,,,,,,,,,,,10 m²,,,,Oui,,120 €,,,,,,,,,,,,,,,,,
7,,Bon,2,,,338 m²,,,7,,,,3,4,,Non,,,,Oui,,,,,Non communiqué,Non communiqué,Non communiqué,47 kg CO₂/m²,Non communiqué,Oui,,590.000 €,1.183 €,Oui,"Av. de la Belle Province 101
1420 - Braine-l Alleud",,,,78227 -,,1,Oui,Non,Gaz,,Rue commerçante,,Équipée,,,Oui,,,,,,,,Sud-ouest,,,,Oui,,,,,,,,,,,,,,,,,,,,,Oui,Oui,,2296,,,,,,,,,,,,,,,,
8,1777,Bon,3,4,,245 m²,53 m²,34 m²,5,22 m²,18 m²,13 m²,1,4,,Non,936 m²,,,,,,,,228 kWh/m²,C,20210910009357,57 kg CO₂/m²,48505 kWh/an,Oui,,615.000 €,,Oui,"Avenue de Burlet 11A
1400 - Nivelles",Après la signature de l’acte,,,78349 - B13,,2,Oui,Non,Mazout,,,,Équipée,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11 m²,,,,,,,,,,,,,,,,,,,,,,,
9,1777,Bon,3,4,,245 m²,53 m²,34 m²,5,22 m²,18 m²,13 m²,1,4,,Non,936 m²,,,,,,,,228 kWh/m²,C,20210910009357,57 kg CO₂/m²,48505 kWh/an,Oui,,615.000 €,,Oui,"Avenue de Burlet 11A
1400 - Nivelles",Après la signature de l’acte,,,78331 - B13,,2,Oui,Non,Mazout,,,,Équipée,13 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11 m²,,,,,,,,,,,,,,,,,,,,,,,
