,À partir de,Année de construction,État du bâtiment,Nombre de façades,Parkings intérieurs,Parkings extérieurs,Visite virtuelle,Surface habitable,Surface du salon,Type de cuisine,Surface de la cuisine,Chambres,Surface de la chambre 1,Surface de la chambre 2,Surface de la chambre 3,Salles de bains,Salles de douche,Toilettes,Cave,Grenier,Meublé,Surface du terrain,Raccordement à l'égout,"Eau, gaz & électricité",Surface du jardin,Surface de la terrasse,Consommation d'énergie primaire,Classe énergétique,Numéro du rapport PEB,Emission CO₂,Consommation théorique totale d'énergie primaire,Type de chauffage,Double vitrage,Prix,Revenu cadastral,Immeuble de rapport,Adresse,Largeur de la façade à rue,Type d’environnement,Surface de la chambre 4,Surface de l'espace professionnel,Largeur du terrain à rue,Terrasse,Type de zone inondable,Site internet,Surface de bureau,Bureau,Surface du grenier,Surface constructible totale au sol,Affectation urbanistique la plus récente sur la base des dénominations utilisées dans le registre des plans,Permis de bâtir obtenu,Autorisation de lotissement,Droit d'achat prioritaire possible,Procédure pour violation de la réglementation urbanistique,Quartier ou lieu-dit,Salle à manger,Ascenseur,Accessible aux personnes avec un handicap,Parlophone,Piscine,Dressing,Buanderie,Espace professionnel,Porte blindée,Terrain à front de rue,Terrain boisé,Terrain arrière,Terrain plat,Orientation du jardin,Orientation de la terrasse,Concierge,Accès sécurisé / alarme,Climatisation,Interphone vidéo,Jacuzzi,Sauna,Internet,Pompe à chaleur,Panneaux photovoltaïques,Panneaux solaires,Chauffe-eau commun,Type de construction,Disponible le,Jardin,Attestation as-built,Surface de la cave,Attestation de conformité des citernes à mazout,Bouquet,Rente mensuelle,Rente indexée,Rente réversible,Vente en nue propriété,Nombre de rentiers,Âge des rentiers,Durée maximale de la rente,Obligation de construire,Combien de feux ouverts ?,Isolé,Nombre d'annexes,Surface de la chambre 5,Nom du bien,Salon,Informations supplémentaires,Référence externe,Niveau E (performance énergétique globale),Charges mensuelles
0,Après la signature de l’acte,1960,Excellent état,2,2,2,150 m²,30 m²,Hyper équipée,12 m²,3,12 m²,14 m²,16 m²,1,1,2,Oui,Oui,Non,400 m²,Connecté,Non,90 m²,50 m²,635 kWh/m²,F,201009140000637653000000103,Non communiqué,Non communiqué,Mazout,Oui,245.000 €,396 €,Non,"Chaussée de Tirlemont 30
4520 - Wanze",4528872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Trekschurenstraat 245
3500 - Hasselt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Après la signature de l’acte,1900,À rafraîchir,2,1,2,,200 m²,40 m²,Semi-équipée,17 m²,4,19 m²,16 m²,14 m²,1,1,2,Oui,Oui,Non,647 m²,Connecté,Oui,,,321 kWh/m²,D,Non communiqué,Non communiqué,Non communiqué,Gaz,Oui,349.000 €,,Non,"Nieuwstraat 32b1
1730 - Asse",12.32 m,Urbain,13 m²,20 m²,12.32 m,Oui,Zone non inondable,4433493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,1850,Bon,4,1,7,,190 m²,33 m²,Équipée,22 m²,3,22 m²,16 m²,15 m²,1,,2,,,Non,1612 m²,Non connecté,Oui,1458 m²,60 m²,266 kWh/m²,D,20210928009985,Non communiqué,63477 kWh/an,Mazout,Oui,350.000 €,845 €,Non,"116 boulevard d'Avroy
4000 - Liège",19 m,Isolé,,,28.65 m,,Zone non inondable,4518602,6 m²,Oui,27 m²,154 m²,"Zone d'habitat (résidentiel, urbain ou rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Après la signature de l’acte,1951,Bon,4,1,2,,132 m²,23 m²,Équipée,10 m²,3,12 m²,18 m²,18 m²,1,,2,,,Non,317 m²,Connecté,Oui,100 m²,,487 kWh/m²,E,2466368,Non communiqué,Non communiqué,Gaz,,389.000 €,1.056 €,Non,"Brusselbaan 110
1790 - Affligem",7 m,Urbain,,,13 m,Oui,Zone non inondable,4533983,,,,107 m²,"Zone d'habitat (résidentiel, urbain ou rural)",Oui,Non,Oui,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Oui,"Korenmarkt 55
2800 - Mechelen",,,,,,,,,,,,,,Oui,Oui,Non,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,À définir,,,,,,,,,,,,,,,,,,,,,,,,,,Non communiqué,Non communiqué,Non communiqué,Non communiqué,Non communiqué,,,,,Non,"Veemarkt 19
2800 - Mechelen",,,,,,,Zone non inondable,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Après la signature de l’acte,1937,Bon,2,1,,133 m²,30 m²,Oui,6 m²,3,15 m²,13 m²,20 m²,2,1,2,Oui,Oui,Non,105 m²,Connecté,Oui,45 m²,5 m²,Non,G,Non communiqué,76 kg CO₂/m²,Non communiqué,Gaz,549.000 €,,1.529 €,Non,"Avenue des Cerisiers, 212
1200 - Woluwe-St-Lambert",4528536,5.9 m,Isolé,,,,,,,,,,,,,,,,Bruxelles (19 communes),Hyper équipée,Non,Oui,Non,383 kWh/m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Après la signature de l’acte,2000,Bon,4,1,3,,350 m²,43 m²,Hyper équipée,9 m²,2,17 m²,13 m²,,2,,2,,,Non,850 m²,Connecté,Oui,400 m²,24 m²,192 kWh/m²,C,20200210003019,36 kg CO₂/m²,60847 kWh/an,Gaz,Oui,695.000 €,3.299 €,Non,,11 m,"Zone d'habitat (résidentiel, urbain ou rural)",,110 m²,17 m,,Zone non inondable,,17 m²,Oui,70 m²,180 m²,Zone de récréation et de séjour,Oui,,Non,Non,,,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Sud-est,Sud-est,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Villa,,,,,,,,,,,,,,,,,,,,,,,,
9,À définir,1989,Bon,3,2,,,200 m²,,Semi-équipée,13 m²,3,13 m²,13 m²,13 m²,1,,2,Oui,Oui,Non,825 m²,Connecté,Oui,520 m²,,339 kWh/m²,D,20200915028538,83 kg CO₂/m²,83811 kWh/an,Mazout,,Faire offre à partir de 260.000 €,818 €,Non,"Chaussée Paul Houtart 232
7110 - Houdeng-Goegnies",,,,,,Oui,,4516807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
